"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
7.065203750×10^-1,1.045269608×10^0,-7.663440704×10^-1,-2.437766641×10^-1
7.164703750×10^-1,9.170258641×10^-1,-6.566218734×10^-1,-3.848530948×10^-1
7.264203750×10^-1,8.400904536×10^-1,-7.586708665×10^-1,-5.171155334×10^-1
7.363703750×10^-1,7.729375362×10^-1,-8.295162916×10^-1,-5.406184196×10^-1
7.463203750×10^-1,5.447712541×10^-1,-5.729006529×10^-1,-4.803267121×10^-1
7.562703750×10^-1,4.441935420×10^-1,-2.840568721×10^-1,-4.147082865×10^-1
7.662203750×10^-1,5.264627934×10^-1,-9.017851204×10^-3,-3.464482427×10^-1
7.761703750×10^-1,6.116759777×10^-1,3.637836576×10^-1,-3.173460066×10^-1
7.861203750×10^-1,5.924158692×10^-1,1.594207436×10^-1,-2.851246297×10^-1
7.960703750×10^-1,5.318830013×10^-1,-3.128695786×10^-1,-1.710697114×10^-1
8.060203750×10^-1,4.138313234×10^-1,-4.245806038×10^-1,-6.459715962×10^-2
8.159703750×10^-1,2.752737105×10^-1,-1.337655634×10^-1,6.459997594×10^-2
8.259203750×10^-1,2.045125961×10^-1,2.414514124×10^-1,1.693378091×10^-1
8.358703750×10^-1,2.232974768×10^-1,4.802200496×10^-1,2.982259989×10^-1
8.458203750×10^-1,3.898070753×10^-1,6.977217793×10^-1,3.010765314×10^-1
8.557703750×10^-1,6.000466347×10^-1,7.405773997×10^-1,3.572481871×10^-1
8.657203750×10^-1,7.022402287×10^-1,5.720713139×10^-1,4.294098318×10^-1
8.756703750×10^-1,6.676742435×10^-1,3.564620614×10^-1,4.672048688×10^-1
8.856203750×10^-1,5.051357150×10^-1,2.778788507×10^-1,5.090836287×10^-1
8.955703750×10^-1,3.428325355×10^-1,2.920423448×10^-1,5.083819032×10^-1
9.055193750×10^-1,2.658507824×10^-1,3.251737058×10^-1,3.972943127×10^-1
9.154693750×10^-1,-1.533430517×10^-1,3.827315569×10^-1,2.642992437×10^-1
9.254193750×10^-1,-2.835539579×10^-1,1.273536086×10^-1,1.978643388×10^-1
9.353693750×10^-1,6.239093840×10^-2,-8.405345678×10^-2,1.201889962×10^-1
9.453193750×10^-1,3.836098611×10^-1,7.948178798×10^-2,-2.015331760×10^-3
9.552693750×10^-1,5.225567818×10^-1,2.168854475×10^-1,-3.432293609×10^-2
9.652193750×10^-1,6.400992870×10^-1,2.464367449×10^-1,-1.056727096×10^-1
9.751693750×10^-1,7.619807124×10^-1,1.527880132×10^-1,-1.844221205×10^-1
9.851193750×10^-1,8.204778433×10^-1,1.155123040×10^-1,-2.678937018×10^-1
9.950693750×10^-1,9.450432062×10^-1,1.093806401×10^-1,-3.402166367×10^-1
1.005019375×10^0,9.973587990×10^-1,2.255778015×10^-1,-3.541593254×10^-1
1.014969375×10^0,1.039953232×10^0,5.195486546×10^-1,-2.815474272×10^-1
1.024919375×10^0,1.220570445×10^0,8.371945024×10^-1,-1.926766038×10^-1
1.034869375×10^0,1.318024039×10^0,9.123978615×10^-1,-2.142458111×10^-1
1.044819375×10^0,1.321486354×10^0,5.705078244×10^-1,-2.321032733×10^-1
1.054769375×10^0,1.322904110×10^0,2.408934832×10^-1,-2.595093250×10^-1
1.064719375×10^0,1.381679654×10^0,1.929589361×10^-1,-3.152749836×10^-1
1.074669375×10^0,1.467309833×10^0,2.986102402×10^-1,-3.684143722×10^-1
1.084619375×10^0,1.535382271×10^0,5.112681985×10^-1,-4.672764540×10^-1
1.094569375×10^0,1.503036857×10^0,5.546316504×10^-1,-5.432921052×10^-1
1.104519375×10^0,1.307422638×10^0,3.788995445×10^-1,-6.032674313×10^-1
1.114469375×10^0,1.128536224×10^0,3.942755759×10^-1,-6.064121127×10^-1
1.124419375×10^0,1.013881683×10^0,4.525292218×10^-1,-5.442011356×10^-1
1.134369375×10^0,9.962338209×10^-1,5.640584230×10^-1,-4.595394731×10^-1
1.144319375×10^0,1.040704131×10^0,5.435417295×10^-1,-3.004769981×10^-1
1.154269375×10^0,1.143577814×10^0,2.819932401×10^-1,-1.370292306×10^-1
1.164219375×10^0,1.171194196×10^0,1.282454282×10^-1,1.502977684×10^-2
1.174169375×10^0,1.216364384×10^0,1.943562776×10^-1,2.195232660×10^-1
1.184119375×10^0,1.369091392×10^0,3.976839483×10^-1,3.394498229×10^-1
1.194069375×10^0,1.557638407×10^0,3.004652560×10^-1,4.535180628×10^-1
1.204019375×10^0,8.021717072×10^-1,1.499758661×10^-1,3.131285012×10^-1
1.213969375×10^0,7.843213528×10^-2,-7.339291573×10^-1,-3.948681056×10^-2
