"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
6.837458335×10^-3,-1.865937710×10^-1,-2.248638272×10^-1,5.844447762×10^-2
1.678745834×10^-2,-2.412353456×10^-1,-3.036689460×10^-1,9.050735831×10^-2
2.673745833×10^-2,-2.856190503×10^-1,-3.741420507×10^-1,1.201992035×10^-1
3.668745834×10^-2,-3.338576853×10^-1,-4.234463274×10^-1,1.500457972×10^-1
4.663745833×10^-2,-3.610523045×10^-1,-4.227373898×10^-1,1.726009101×10^-1
5.658745834×10^-2,-3.451367915×10^-1,-4.136113822×10^-1,1.821912080×10^-1
6.653745833×10^-2,-3.112536669×10^-1,-4.067611992×10^-1,1.745221019×10^-1
7.648745834×10^-2,-2.650213838×10^-1,-4.176296890×10^-1,1.549167037×10^-1
8.643745833×10^-2,-2.173907459×10^-1,-3.839484453×10^-1,1.398690492×10^-1
9.638745834×10^-2,-1.695418954×10^-1,-2.898374498×10^-1,1.355909556×10^-1
1.063374583×10^-1,-1.338651329×10^-1,-1.752607971×10^-1,1.537300050×10^-1
1.162874583×10^-1,-1.018980592×10^-1,-5.467603356×10^-2,2.038916945×10^-1
1.262374583×10^-1,-7.758766413×10^-2,6.355234236×10^-2,3.136112690×10^-1
1.361874583×10^-1,-6.618089974×10^-2,1.600579023×10^-1,4.297269583×10^-1
1.461374583×10^-1,-7.849375904×10^-2,2.131733149×10^-1,5.192307234×10^-1
1.560874583×10^-1,-1.040781960×10^-1,2.018363178×10^-1,5.892199874×10^-1
1.660374583×10^-1,-1.425382346×10^-1,1.487512589×10^-1,6.431729198×10^-1
1.759874583×10^-1,-1.594081372×10^-1,1.258454025×10^-1,6.876394153×10^-1
1.859374583×10^-1,-1.431953460×10^-1,1.035925522×10^-1,7.186119556×10^-1
1.958874583×10^-1,-9.753429145×10^-2,6.967438757×10^-2,7.322458029×10^-1
2.058374583×10^-1,-3.668851778×10^-2,3.489989415×10^-2,7.121818662×10^-1
2.157874583×10^-1,4.345905036×10^-2,4.219322652×10^-2,6.583415270×10^-1
2.257384583×10^-1,1.493716389×10^-1,5.833544582×10^-2,5.715885162×10^-1
2.356884583×10^-1,2.711907625×10^-1,2.118097246×10^-2,4.829262793×10^-1
2.456384583×10^-1,3.652123213×10^-1,-3.148543462×10^-2,4.153821170×10^-1
2.555884583×10^-1,4.020211995×10^-1,-1.184518486×10^-1,3.733489215×10^-1
2.655384583×10^-1,3.873847425×10^-1,-2.425034791×10^-1,3.658521175×10^-1
2.754884583×10^-1,3.399088383×10^-1,-3.930683136×10^-1,3.720149398×10^-1
2.854384583×10^-1,2.887535095×10^-1,-5.458906293×10^-1,3.649016321×10^-1
2.953884583×10^-1,2.418634742×10^-1,-6.561588049×10^-1,3.329063952×10^-1
3.053384583×10^-1,2.245904803×10^-1,-7.158572674×10^-1,2.802218795×10^-1
3.152884583×10^-1,2.534935176×10^-1,-7.476081848×10^-1,2.073215842×10^-1
3.252384583×10^-1,3.445611000×10^-1,-7.776843309×10^-1,5.139776692×10^-2
3.351884583×10^-1,4.728435278×10^-1,-7.376915216×10^-1,-1.266911440×10^-2
3.451384583×10^-1,5.986158848×10^-1,-6.385005116×10^-1,5.189244170×10^-3
3.550884583×10^-1,7.241754532×10^-1,-5.083346367×10^-1,5.993372574×10^-2
3.650384583×10^-1,8.202279210×10^-1,-4.371110797×10^-1,1.219100133×10^-1
3.749884583×10^-1,8.948998451×10^-1,-4.055776298×10^-1,1.387899220×10^-1
3.849384583×10^-1,9.487242103×10^-1,-3.372406363×10^-1,2.038264573×10^-1
3.948884583×10^-1,9.671999216×10^-1,-2.667119801×10^-1,2.121525705×10^-1
4.048384583×10^-1,9.551352262×10^-1,-2.339974344×10^-1,2.187239230×10^-1
4.147884583×10^-1,9.354273081×10^-1,-2.259363234×10^-1,2.361809462×10^-1
4.247384583×10^-1,9.493687153×10^-1,-2.166291028×10^-1,2.592409849×10^-1
4.346884583×10^-1,1.027710915×10^0,-1.824297905×10^-1,2.703631222×10^-1
4.446384583×10^-1,1.109223843×10^0,-1.602786779×10^-1,2.140007913×10^-1
4.545884583×10^-1,1.190726757×10^0,-1.905935109×10^-1,2.304956168×10^-1
4.645382083×10^-1,1.272766709×10^0,-2.923499644×10^-1,2.498677224×10^-1
4.744882083×10^-1,1.342464209×10^0,-3.950443268×10^-1,2.648842037×10^-1
4.844382083×10^-1,1.322405577×10^0,-3.577238321×10^-1,2.662341595×10^-1
4.943892083×10^-1,1.205681562×10^0,-2.812246680×10^-1,2.514011860×10^-1
5.043392083×10^-1,1.046057343×10^0,-1.767477989×10^-1,2.270391136×10^-1
5.142892083×10^-1,8.793896437×10^-1,-1.085761338×10^-1,1.879255176×10^-1
5.242392083×10^-1,7.272701859×10^-1,-3.403638676×10^-2,1.574088931×10^-1
5.341892083×10^-1,5.900543928×10^-1,1.078094542×10^-2,1.248538643×10^-1
5.441392083×10^-1,5.531371236×10^-1,-2.863493981×10^-3,9.836658835×10^-2
5.540892083×10^-1,5.960999727×10^-1,-1.648612693×10^-2,7.528419048×10^-2
5.640392083×10^-1,6.649666429×10^-1,8.584072813×10^-3,5.757763609×10^-2
5.739892083×10^-1,7.517625093×10^-1,6.942842156×10^-2,2.749082074×10^-2
5.839392083×10^-1,8.448274732×10^-1,1.470116377×10^-1,-8.647475392×10^-3
5.938892083×10^-1,9.095761776×10^-1,2.419238836×10^-1,-4.182351753×10^-2
6.038392083×10^-1,9.578095078×10^-1,3.191283941×10^-1,-5.737637728×10^-2
6.137892083×10^-1,9.365074039×10^-1,3.937162459×10^-1,-7.757459581×10^-2
6.237392083×10^-1,9.178959131×10^-1,4.529103339×10^-1,-1.009334475×10^-1
6.336892083×10^-1,9.541651607×10^-1,5.076531768×10^-1,-1.279133707×10^-1
6.436392083×10^-1,1.037504196×10^0,5.445595384×10^-1,-1.653512865×10^-1
6.535892083×10^-1,1.137699842×10^0,5.166526437×10^-1,-1.787038594×10^-1
6.635392083×10^-1,1.209726453×10^0,4.599060118×10^-1,-1.574574262×10^-1
6.734892083×10^-1,1.228135109×10^0,4.105806947×10^-1,-1.255948693×10^-1
6.834392083×10^-1,1.228211880×10^0,3.704191744×10^-1,-1.096164361×10^-1
6.933892083×10^-1,1.234728694×10^0,3.159999847×10^-1,-8.614865690×10^-2
7.033392083×10^-1,1.276573420×10^0,2.610850632×10^-1,-5.917377025×10^-2
7.132892083×10^-1,1.344558358×10^0,2.351318747×10^-1,-4.002856091×10^-2
7.232392083×10^-1,1.439633250×10^0,2.830903530×10^-1,-2.529462241×10^-2
7.331892083×10^-1,1.556214452×10^0,3.236512542×10^-1,-1.884617377×10^-4
7.431392083×10^-1,1.675228477×10^0,3.121165931×10^-1,3.364992887×10^-2
7.530902083×10^-1,1.778575420×10^0,2.475822568×10^-1,5.925034732×10^-2
7.630402083×10^-1,1.876112819×10^0,1.560161114×10^-1,8.700288087×10^-2
7.729902083×10^-1,1.909491420×10^0,8.183843642×10^-2,1.274728328×10^-1
7.829402083×10^-1,1.835381269×10^0,1.177216023×10^-1,2.040182054×10^-1
7.928902083×10^-1,1.720322251×10^0,1.649209410×10^-1,2.982623577×10^-1
8.028402083×10^-1,1.645669341×10^0,1.861527264×10^-1,3.713416457×10^-1
8.127902083×10^-1,1.585213184×10^0,1.652495265×10^-1,4.180958867×10^-1
8.227402083×10^-1,1.533697367×10^0,1.359851062×10^-1,4.531667829×10^-1
8.326902083×10^-1,1.499794364×10^0,5.629975349×10^-2,4.461133778×10^-1
8.426402083×10^-1,1.528147221×10^0,4.264515825×10^-3,3.431648910×10^-1
8.525902083×10^-1,1.550485611×10^0,1.147385016×10^-1,2.423453331×10^-1
8.625402083×10^-1,1.529880524×10^0,1.916668415×10^-1,1.710149646×10^-1
8.724902083×10^-1,1.463754535×10^0,1.818728149×10^-1,1.279678792×10^-1
8.824402083×10^-1,1.361391187×10^0,2.475522310×10^-1,1.188702583×10^-1
8.923902083×10^-1,1.268339396×10^0,2.800378203×10^-1,1.275492758×10^-1
9.023402083×10^-1,1.190858722×10^0,2.465054393×10^-1,1.260832101×10^-1
9.122902083×10^-1,1.097199440×10^0,1.910302043×10^-1,9.643580765×10^-2
9.222402083×10^-1,9.947833419×10^-1,8.116681874×10^-2,1.340723410×10^-2
9.321902083×10^-1,9.196566343×10^-1,3.606813028×10^-2,-6.516267359×10^-2
9.421402083×10^-1,8.872827291×10^-1,8.045636863×10^-2,-6.757842004×10^-2
9.520902083×10^-1,8.704199791×10^-1,1.254703403×10^-1,-1.726493053×10^-2
9.620402083×10^-1,9.164522290×10^-1,1.719092131×10^-1,6.811015308×10^-2
9.719902083×10^-1,1.013496995×10^0,3.056196868×10^-1,1.698168069×10^-1
9.819402083×10^-1,1.055745602×10^0,2.983244956×10^-1,1.982433945×10^-1
9.918902083×10^-1,1.021297216×10^0,3.037283421×10^-1,1.876283139×10^-1
1.001841208×10^0,9.544692039×10^-1,3.972465694×10^-1,2.043478936×10^-1
1.011791208×10^0,8.680887222×10^-1,3.644720316×10^-1,2.370818853×10^-1
1.021741208×10^0,7.920440435×10^-1,2.622902691×10^-1,2.937475741×10^-1
1.031691208×10^0,7.758412957×10^-1,1.878264695×10^-1,3.603913486×10^-1
1.041641208×10^0,7.814217210×10^-1,1.086669341×10^-1,3.985067606×10^-1
1.051591208×10^0,7.945366502×10^-1,6.379894912×10^-2,3.928594887×10^-1
1.061541208×10^0,8.089184761×10^-1,-1.888527721×10^-2,3.542295396×10^-1
1.071491208×10^0,8.266190290×10^-1,-2.683176659×10^-2,3.402644396×10^-1
1.081441208×10^0,8.437894583×10^-1,-6.017880514×10^-2,3.459396362×10^-1
1.091391208×10^0,8.098222613×10^-1,-1.552702188×10^-1,3.229304552×10^-1
