"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
6.194583402×10^-4,-2.481539612×10^0,4.726870422×10^0,7.948321381×10^0
1.056945833×10^-2,-2.480641479×10^0,4.694687347×10^0,7.865992584×10^0
2.051945834×10^-2,-2.409838715×10^0,4.689597931×10^0,7.943980408×10^0
3.046945833×10^-2,-2.246528320×10^0,4.685406647×10^0,8.086933136×10^0
4.041945834×10^-2,-2.217039642×10^0,4.641547852×10^0,8.121810608×10^0
5.036945833×10^-2,-2.147434387×10^0,4.659809875×10^0,8.220156097×10^0
6.031945834×10^-2,-2.071093140×10^0,4.686753845×10^0,8.428522797×10^0
7.026945833×10^-2,-2.028431854×10^0,4.668641510×10^0,8.652157745×10^0
8.021945834×10^-2,-1.980381775×10^0,4.701573029×10^0,8.904083862×10^0
9.016945833×10^-2,-1.921703796×10^0,4.740791473×10^0,8.974437561×10^0
1.001194583×10^-1,-1.843266907×10^0,4.853956146×10^0,8.949589233×10^0
1.100694583×10^-1,-1.854194183×10^0,5.032235413×10^0,8.818012848×10^0
1.200194583×10^-1,-2.010768585×10^0,5.166805573×10^0,8.756191406×10^0
1.299694583×10^-1,-2.316133575×10^0,5.578000488×10^0,8.739875336×10^0
1.399194583×10^-1,-2.530038757×10^0,5.782026215×10^0,8.706794128×10^0
1.498694583×10^-1,-2.523901520×10^0,5.783672791×10^0,8.621621246×10^0
1.598194583×10^-1,-2.584824829×10^0,5.674100647×10^0,8.523874512×10^0
1.697694583×10^-1,-2.650837555×10^0,5.612728271×10^0,8.501271515×10^0
1.797194583×10^-1,-2.685116272×10^0,5.536836090×10^0,8.661438446×10^0
1.896694583×10^-1,-2.604434052×10^0,5.484594727×10^0,8.788823547×10^0
1.996194583×10^-1,-2.514471130×10^0,5.341492310×10^0,8.898545380×10^0
2.095694583×10^-1,-2.282902679×10^0,5.219795380×10^0,8.955127716×10^0
2.195194583×10^-1,-1.939516754×10^0,5.149890747×10^0,9.062005463×10^0
2.294704583×10^-1,-1.541793823×10^0,5.124892731×10^0,9.265282745×10^0
2.394204583×10^-1,-1.317260742×10^0,5.096601562×10^0,9.316476288×10^0
2.493704583×10^-1,-1.262324982×10^0,5.025499420×10^0,9.196875000×10^0
2.593204583×10^-1,-1.154848480×10^0,5.079836426×10^0,8.803193665×10^0
2.692704583×10^-1,-1.149759064×10^0,5.058281250×10^0,8.505911865×10^0
2.792204583×10^-1,-1.116528168×10^0,5.040767670×10^0,8.447383575×10^0
2.891704583×10^-1,-1.007255402×10^0,5.088518372×10^0,8.532406769×10^0
2.991204583×10^-1,-9.321116638×10^-1,5.121898956×10^0,8.707841949×10^0
3.090704583×10^-1,-6.884184265×10^-1,5.185067596×10^0,8.869805145×10^0
3.190204583×10^-1,-3.803590393×10^-1,5.166356506×10^0,9.028924255×10^0
3.289704583×10^-1,3.353027344×10^-1,5.329666901×10^0,9.270521851×10^0
3.389204583×10^-1,-9.355545044×10^-2,5.338947601×10^0,9.570348358×10^0
3.488704583×10^-1,-1.122964783×10^0,5.534590759×10^0,9.432485046×10^0
3.588204583×10^-1,-1.007105713×10^0,6.061045990×10^0,9.338480530×10^0
3.687704583×10^-1,-8.020321655×10^-1,6.291267242×10^0,9.066047058×10^0
3.787204583×10^-1,-4.385879517×10^-1,6.264922028×10^0,8.876391449×10^0
3.886704583×10^-1,-1.075962524×10^0,5.887556763×10^0,8.650211792×10^0
3.986204583×10^-1,-8.943901062×10^-1,5.977369995×10^0,8.215964813×10^0
4.085704583×10^-1,-5.189707947×10^-1,6.149362335×10^0,8.165070648×10^0
4.185204583×10^-1,-6.960525513×10^-1,6.049070892×10^0,7.991282043×10^0
4.284704583×10^-1,-6.477030945×10^-1,6.093528442×10^0,7.844587097×10^0
4.384204583×10^-1,-6.646179199×10^-1,6.133345642×10^0,8.041278076×10^0
4.483704583×10^-1,-2.279759216×10^-1,6.309678955×10^0,8.133336639×10^0
4.583204583×10^-1,-6.960525513×10^-1,6.086792450×10^0,8.080795898×10^0
4.682702083×10^-1,-8.729846191×10^-1,6.175557861×10^0,7.863298187×10^0
4.782202083×10^-1,-9.286688232×10^-1,6.559808807×10^0,7.593858490×10^0
4.881702083×10^-1,-1.022823029×10^0,6.552174683×10^0,7.065457306×10^0
4.981212083×10^-1,-8.849597168×10^-1,6.550228729×10^0,6.561305695×10^0
5.080712083×10^-1,-5.409750366×10^-1,6.452032928×10^0,6.512507172×10^0
5.180212083×10^-1,-2.490820312×10^-1,6.398594055×10^0,6.536157990×10^0
5.279712083×10^-1,-1.886077881×10^-1,6.362968140×10^0,6.498286743×10^0
5.379212083×10^-1,-6.047424316×10^-2,6.342909851×10^0,6.459966431×10^0
5.478712083×10^-1,7.035369873×10^-2,6.270310822×10^0,6.790329437×10^0
5.578212083×10^-1,1.752854919×10^-1,6.184838562×10^0,7.107819214×10^0
5.677712083×10^-1,1.202000427×10^-1,6.231840820×10^0,7.254065094×10^0
5.777212083×10^-1,6.631210327×10^-2,6.203699341×10^0,7.271728363×10^0
5.876712083×10^-1,4.775070190×10^-2,6.154451752×10^0,7.264842682×10^0
5.976212083×10^-1,-3.188369751×10^-2,6.142177277×10^0,7.138355713×10^0
6.075712083×10^-1,-6.271957397×10^-2,6.040838013×10^0,6.944957886×10^0
6.175212083×10^-1,4.221221924×10^-2,6.031108246×10^0,6.802304535×10^0
6.274712083×10^-1,6.780899048×10^-2,6.026617584×10^0,6.767127686×10^0
6.374212083×10^-1,9.804611206×10^-2,6.094725952×10^0,7.024741974×10^0
6.473712083×10^-1,1.410067749×10^-1,6.230493622×10^0,7.341333618×10^0
6.573212083×10^-1,4.266128540×10^-2,6.251599731×10^0,7.311994629×10^0
6.672712083×10^-1,-1.269360352×10^-1,6.346801758×10^0,7.032525787×10^0
6.772212083×10^-1,-2.591111755×10^-1,6.435417480×10^0,6.701264648×10^0
6.871712083×10^-1,-4.478686523×10^-1,6.381828918×10^0,6.710395660×10^0
6.971212083×10^-1,-6.135740662×10^-1,6.397995300×10^0,6.855444031×10^0
7.070712083×10^-1,-7.789801025×10^-1,6.622827759×10^0,6.958729248×10^0
7.170212083×10^-1,-7.716453552×10^-1,6.840325470×10^0,7.117399292×10^0
7.269712083×10^-1,-8.226892090×10^-1,6.935826874×10^0,7.261100464×10^0
7.369212083×10^-1,-8.903485107×10^-1,6.997199249×10^0,7.255112915×10^0
7.468712083×10^-1,-8.649014282×10^-1,7.012467499×10^0,7.272327118×10^0
7.568222083×10^-1,-7.577243042×10^-1,7.125781860×10^0,7.273973694×10^0
7.667722083×10^-1,-7.467970276×10^-1,6.963219910×10^0,7.272925873×10^0
7.767222083×10^-1,-7.897576904×10^-1,6.913523254×10^0,6.771019592×10^0
7.866722083×10^-1,-9.955796814×10^-1,7.235054626×10^0,5.760620728×10^0
7.966222083×10^-1,-1.234183502×10^0,7.189549255×10^0,5.290448456×10^0
