"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
7.251222083×10^-1,-9.819580078×10^-1,-2.185455322×10^-2,1.007435028×10^1
7.350722083×10^-1,-9.782157898×10^-1,-1.130149841×10^-1,1.006611740×10^1
7.450212083×10^-1,-1.066831512×10^0,-2.465373230×10^-1,1.016610947×10^1
7.549712083×10^-1,-1.180445251×10^0,-3.927832031×10^-1,1.031295410×10^1
7.649212083×10^-1,-1.329684906×10^0,-4.333488464×10^-1,1.055799454×10^1
7.748712083×10^-1,-1.597927094×10^0,-3.534150696×10^-1,1.088775879×10^1
7.848212083×10^-1,-1.818717957×10^0,-2.308200073×10^-1,1.121437958×10^1
7.947712083×10^-1,-1.989812164×10^0,-2.065704346×10^-1,1.159369080×10^1
8.047212083×10^-1,-1.745669861×10^0,-3.312611389×10^-1,1.166015259×10^1
8.146712083×10^-1,-1.838327179×10^0,-3.996688843×10^-1,1.201416641×10^1
8.246212083×10^-1,-1.561253357×10^0,-5.264552307×10^-1,1.321781342×10^1
8.345702083×10^-1,1.335223389×10^-1,-6.816824341×10^-1,1.417821625×10^1
8.445202083×10^-1,-1.790277100×10^-1,-1.231040039×10^0,1.440259964×10^1
8.544702083×10^-1,-1.800904999×10^0,-2.428400116×10^0,1.431697769×10^1
8.644202083×10^-1,-2.062411194×10^0,-3.146456909×10^0,1.413989594×10^1
8.743702083×10^-1,-1.813478851×10^0,-3.285966797×10^0,1.348979782×10^1
8.843202083×10^-1,-1.926643524×10^0,-2.957250366×10^0,1.271201523×10^1
8.942702083×10^-1,-2.396666107×10^0,-2.332449646×10^0,1.248119522×10^1
9.042202083×10^-1,-2.638413391×10^0,-1.927391968×10^0,1.205263641×10^1
9.141702083×10^-1,-2.703378296×10^0,-1.575922852×10^0,1.128458359×10^1
9.241202083×10^-1,-2.211201782×10^0,-1.044677582×10^0,1.040501266×10^1
9.340692083×10^-1,-2.460882568×10^0,-1.578617249×10^0,9.515562286×10^0
9.440192083×10^-1,-2.794688416×10^0,-2.089055786×10^0,9.104966125×10^0
9.539692083×10^-1,-2.812651062×10^0,-2.587818604×10^0,8.759185181×10^0
9.639192083×10^-1,-2.838846588×10^0,-2.619851990×10^0,8.519982605×10^0
9.738692083×10^-1,-3.033741302×10^0,-2.628533936×10^0,8.627159729×10^0
9.838192083×10^-1,-2.992576904×10^0,-2.508034515×10^0,8.631650391×10^0
9.937692083×10^-1,-2.816842346×10^0,-2.446512451×10^0,8.667126617×10^0
1.003719208×10^0,-2.660267944×10^0,-2.413131866×10^0,8.583750000×10^0
1.013669208×10^0,-2.520458679×10^0,-2.413431244×10^0,8.345595245×10^0
1.023619208×10^0,-2.432142334×10^0,-2.438578949×10^0,8.167465668×10^0
1.033568208×10^0,-2.208507385×10^0,-2.417323151×10^0,8.108338623×10^0
1.043518208×10^0,-2.016606445×10^0,-2.333647156×10^0,7.964338074×10^0
1.053468208×10^0,-2.096689911×10^0,-2.091301117×10^0,8.415050812×10^0
1.063418208×10^0,-2.230212250×10^0,-1.844913483×10^0,9.229956207×10^0
1.073368208×10^0,-2.262545013×10^0,-1.807191925×10^0,8.552015991×10^0
1.083318208×10^0,-2.244582367×10^0,-1.371448059×10^0,7.486831055×10^0
1.093268208×10^0,-1.955832825×10^0,6.376739502×10^-1,6.844965820×10^0
1.103218208×10^0,-1.945653992×10^0,1.454076233×10^0,7.383545837×10^0
1.113168208×10^0,-2.002835083×10^0,1.493444366×10^0,8.516539764×10^0
1.123117583×10^0,-1.602268066×10^0,1.373693390×10^0,9.027876434×10^0
1.133066583×10^0,-1.056652679×10^0,1.105151825×10^0,8.725654907×10^0
1.143016583×10^0,-1.109193420×10^0,3.787124634×10^-1,7.775131531×10^0
1.152966583×10^0,-1.973047028×10^0,-2.859054565×10^-1,9.460027771×10^0
