"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.060033333×10^-2,-4.670288086×10^-1,5.075794830×10^0,8.625812531×10^0
2.055133333×10^-2,-3.209326172×10^-1,5.026547241×10^0,8.536148987×10^0
3.050233333×10^-2,-1.646575928×10^-1,4.940925293×10^0,8.451874237×10^0
4.045433333×10^-2,-7.679031372×10^-2,4.872667236×10^0,8.385262756×10^0
5.040533333×10^-2,-4.340972900×10^-2,4.823569336×10^0,8.435558167×10^0
6.035633333×10^-2,-4.355941772×10^-2,4.829107819×10^0,8.643625488×10^0
7.030733333×10^-2,-4.909790039×10^-2,4.886438599×10^0,8.727451172×10^0
8.025833333×10^-2,-1.348695374×10^-1,4.961432648×10^0,8.666677551×10^0
9.020933333×10^-2,-2.598596191×10^-1,4.988376617×10^0,8.491990814×10^0
1.001613333×10^-1,-2.567161560×10^-1,5.012775879×10^0,8.366551666×10^0
1.101123333×10^-1,-2.447410583×10^-1,5.000651093×10^0,8.309819641×10^0
1.200633333×10^-1,-2.351609802×10^-1,4.973108368×10^0,8.338709564×10^0
1.300143333×10^-1,-2.101629639×10^-1,4.931195526×10^0,8.403375092×10^0
1.399653333×10^-1,-2.029779053×10^-1,4.915478210×10^0,8.470884705×10^0
1.499163333×10^-1,-1.790277100×10^-1,4.900808716×10^0,8.561147003×10^0
1.598683333×10^-1,-1.224453735×10^-1,4.864434357×10^0,8.621471558×10^0
1.698193333×10^-1,-1.178050232×10^-1,4.858446808×10^0,8.559949493×10^0
1.797703333×10^-1,-1.380130005×10^-1,4.843328247×10^0,8.502019958×10^0
1.897213333×10^-1,-1.082249451×10^-1,4.858297119×10^0,8.513995056×10^0
1.996723333×10^-1,-1.197509766×10^-1,4.892575836×10^0,8.557704163×10^0
2.096233333×10^-1,-9.086105347×10^-2,4.899461517×10^0,8.661438446×10^0
2.195743333×10^-1,-1.930984497×10^-2,4.888384552×10^0,8.646020508×10^0
2.295263333×10^-1,-6.810836792×10^-2,4.882097626×10^0,8.531059570×10^0
2.394773333×10^-1,-1.053808594×10^-1,4.876409454×10^0,8.470884705×10^0
2.494283333×10^-1,-7.619155884×10^-2,4.892575836×10^0,8.457712097×10^0
2.593793333×10^-1,-8.262817383×10^-2,4.899611206×10^0,8.464897156×10^0
2.693303333×10^-1,-8.562194824×10^-2,4.883893890×10^0,8.486602020×10^0
2.792813333×10^-1,4.640350342×10^-3,4.902455292×10^0,8.496930542×10^0
2.892337917×10^-1,6.795867920×10^-2,4.921316071×10^0,8.413104858×10^0
2.991847917×10^-1,2.948867798×10^-2,4.911885681×10^0,8.359665985×10^0
3.091357917×10^-1,2.305206299×10^-2,4.903054047×10^0,8.336464233×10^0
3.190867917×10^-1,2.095642090×10^-2,4.904700623×10^0,8.342451782×10^0
3.290377917×10^-1,-2.264790344×10^-1,4.870122528×10^0,8.335566101×10^0
3.389887917×10^-1,3.293151855×10^-2,4.944218445×10^0,8.396489410×10^0
3.489407917×10^-1,-1.571731567×10^-2,4.918471985×10^0,8.207582245×10^0
3.588917917×10^-1,-2.439926147×10^-2,4.809648285×10^0,8.116721191×10^0
3.688427917×10^-1,9.026229858×10^-2,4.722529449×10^0,7.987988892×10^0
3.787937917×10^-1,1.064286804×10^-1,4.673281860×10^0,8.047714691×10^0
3.887447917×10^-1,-5.209167480×10^-2,4.558470612×10^0,8.088729401×10^0
3.986957917×10^-1,9.954299927×10^-2,4.542603607×10^0,8.252488861×10^0
4.086467917×10^-1,3.445834351×10^-1,4.453838196×10^0,8.539591827×10^0
4.185987917×10^-1,2.968327332×10^-1,4.221072235×10^0,8.672066345×10^0
4.285497917×10^-1,1.637594604×10^-1,4.184697876×10^0,8.498726807×10^0
4.385007917×10^-1,7.634124756×10^-2,4.214635620×10^0,8.161927185×10^0
4.484517917×10^-1,1.227447510×10^-1,4.264631653×10^0,8.093070374×10^0
