"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.184333333×10^-2,5.282850191×10^-2,-1.061940715×10^-1,3.608050197×10^-2
2.179433333×10^-2,3.169672936×10^-2,-1.128027439×10^-1,2.314329334×10^-2
3.174533333×10^-2,9.204202332×10^-3,-1.052596122×10^-1,7.855152711×10^-3
4.169733333×10^-2,-6.973335985×10^-3,-9.007245302×10^-2,-7.174360100×10^-3
5.164833333×10^-2,-3.646515310×10^-3,-8.300149441×10^-2,-1.700009219×10^-2
6.159933333×10^-2,1.107505150×10^-2,-7.036478072×10^-2,-2.390396222×10^-2
7.155033333×10^-2,3.011798486×10^-2,-5.437542498×10^-2,-2.383898012×10^-2
8.150133333×10^-2,3.781003878×10^-2,-3.696460649×10^-2,-1.100971084×10^-2
9.145233333×10^-2,2.261723951×10^-2,-2.961268649×10^-2,4.849412944×10^-3
1.014043333×10^-1,1.431697165×10^-3,-3.739012405×10^-2,2.192406915×10^-2
1.113553333×10^-1,-2.026587538×10^-2,-5.363593996×10^-2,3.880744427×10^-2
1.213063333×10^-1,-3.716876358×10^-2,-6.442692131×10^-2,5.105093122×10^-2
1.312573333×10^-1,-4.826855287×10^-2,-6.816253066×10^-2,5.965986103×10^-2
1.412083333×10^-1,-5.055887252×10^-2,-7.375270873×10^-2,6.514714658×10^-2
1.511593333×10^-1,-4.063247517×10^-2,-7.838767767×10^-2,6.076838076×10^-2
1.611113333×10^-1,-3.112467192×10^-2,-7.400057465×10^-2,5.443955958×10^-2
1.710623333×10^-1,-2.080732025×10^-2,-5.989034846×10^-2,4.743464664×10^-2
1.810133333×10^-1,-5.528208334×10^-3,-4.788132012×10^-2,4.219802469×10^-2
1.909643333×10^-1,1.360367425×10^-2,-4.765894637×10^-2,3.172301501×10^-2
2.009153333×10^-1,3.870057687×10^-2,-4.482509941×10^-2,2.313626744×10^-2
2.108663333×10^-1,5.360389128×10^-2,-3.272050247×10^-2,9.518725798×10^-3
2.208173333×10^-1,5.523171276×10^-2,-2.332784981×10^-2,1.878581708×10^-3
2.307693333×10^-1,4.874025658×10^-2,-2.618542314×10^-2,3.853470553×10^-4
2.407203333×10^-1,3.975361586×10^-2,-3.987378255×10^-2,-2.621176420×10^-3
2.506713333×10^-1,3.345257789×10^-2,-5.618591234×10^-2,-3.162064357×10^-3
2.606223333×10^-1,3.290699050×10^-2,-6.312429905×10^-2,2.245416399×10^-3
2.705733333×10^-1,3.249446675×10^-2,-6.288488209×10^-2,3.930665087×10^-3
2.805243333×10^-1,3.720063716×10^-2,-4.581061006×10^-2,1.442938577×10^-3
2.904767917×10^-1,3.365889937×10^-2,-1.689054444×10^-2,2.275176346×10^-3
3.004277917×10^-1,2.465494536×10^-2,1.049556583×10^-2,3.693490522×10^-3
3.103787917×10^-1,9.067198262×10^-3,3.453618661×10^-2,5.980981514×10^-4
3.203297917×10^-1,-3.120372072×10^-3,1.185408607×10^-1,1.197778434×10^-2
3.302807917×10^-1,9.583705105×10^-3,1.376282722×10^-1,6.338806357×10^-3
3.402317917×10^-1,2.740495373×10^-3,1.849204898×10^-1,-1.590560004×10^-2
3.501837917×10^-1,-1.445340551×10^-2,2.452272326×10^-1,-3.045524843×10^-2
3.601347917×10^-1,-3.733312711×10^-2,3.250506818×10^-1,-5.643054470×10^-2
3.700857917×10^-1,-4.003383964×10^-2,4.366424382×10^-1,-8.298040181×10^-2
3.800367917×10^-1,-2.520359494×10^-2,6.100125313×10^-1,-1.093938723×10^-1
3.899877917×10^-1,1.560375653×10^-2,7.847606540×10^-1,-1.372033954×10^-1
3.999387917×10^-1,8.942469209×10^-2,8.676481247×10^-1,-2.059817761×10^-1
4.098897917×10^-1,1.754423976×10^-1,9.596528411×10^-1,-2.788229585×10^-1
4.198417917×10^-1,2.486638129×10^-1,1.072820187×10^0,-3.435258567×10^-1
4.297927917×10^-1,2.940941453×10^-1,1.193327188×10^0,-3.999364078×10^-1
