"event","experiment time","system time","system time text"
"START",0.000000000000000×10^0,1.758366633386274×10^9,"2025-09-20 13:10:33.386 UTC+02:00"
"PAUSE",3.730250895833160×10^1,1.758366670688660×10^9,"2025-09-20 13:11:10.689 UTC+02:00"
