"event","experiment time","system time","system time text"
"START",0.000000000000000×10^0,1.757277486391268×10^9,"2025-09-07 22:38:06.391 UTC+02:00"
"PAUSE",1.734339991667366×10^1,1.757277503734666×10^9,"2025-09-07 22:38:23.735 UTC+02:00"
