"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
7.230083327×10^-3,-1.077073589×10^-1,-1.347515285×10^-1,-2.300386317×10^-2
1.718008333×10^-2,-1.357613653×10^-1,-1.414839923×10^-1,-4.531342909×10^-2
2.713008333×10^-2,-1.493743956×10^-1,-1.516739279×10^-1,-5.024112388×10^-2
3.707908333×10^-2,-1.460177451×10^-1,-1.710763872×10^-1,-3.924759477×10^-2
4.702908333×10^-2,-1.261738241×10^-1,-1.637968272×10^-1,-2.832837403×10^-2
5.697908333×10^-2,-9.803538769×10^-2,-1.363745332×10^-1,-2.183612064×10^-2
6.692908333×10^-2,-8.104105294×10^-2,-9.734184295×10^-2,-1.634176075×10^-2
7.687908334×10^-2,-6.373982131×10^-2,-4.885740206×10^-2,-1.128308754×10^-2
8.682908333×10^-2,-5.640318617×10^-2,-3.272963688×10^-2,1.769809984×10^-3
9.677808333×10^-2,-6.530346721×10^-2,-3.633502498×10^-2,5.720876157×10^-3
1.067280833×10^-1,-8.601592481×10^-2,-4.054820538×10^-2,1.806631451×10^-3
1.166780833×10^-1,-1.190385893×10^-1,-4.699971527×10^-2,-6.384186447×10^-3
1.266280833×10^-1,-1.594017148×10^-1,-7.348211855×10^-2,-7.354885340×10^-3
1.365780833×10^-1,-1.897556335×10^-1,-1.035017967×10^-1,-2.530302852×10^-3
1.465280833×10^-1,-2.086789608×10^-1,-1.281848401×10^-1,3.464277601×10^-3
1.564770833×10^-1,-2.116827518×10^-1,-1.393344253×10^-1,7.743977010×10^-3
1.664270833×10^-1,-2.116978616×10^-1,-1.312435418×10^-1,4.937984049×10^-3
1.763770833×10^-1,-2.088261694×10^-1,-1.245941743×10^-1,4.647432826×10^-3
1.863270833×10^-1,-2.071150243×10^-1,-1.283072978×10^-1,1.590016531×10^-3
1.962770833×10^-1,-2.079041302×10^-1,-1.391495615×10^-1,3.124263370×10^-3
2.062270833×10^-1,-2.086827904×10^-1,-1.632484943×10^-1,9.756254032×10^-3
2.161760833×10^-1,-2.250985056×10^-1,-1.843364686×10^-1,1.301543135×10^-2
2.261260833×10^-1,-2.568053007×10^-1,-2.027852982×10^-1,2.074949257×10^-2
2.360760833×10^-1,-3.003892601×10^-1,-2.217323631×10^-1,2.132713236×10^-2
2.460260833×10^-1,-3.434343934×10^-1,-2.409135848×10^-1,1.814679429×10^-2
2.559760833×10^-1,-3.966746926×10^-1,-2.664503455×10^-1,1.909221523×10^-2
2.659260833×10^-1,-4.490228295×10^-1,-2.935210168×10^-1,4.075869173×10^-2
2.758750833×10^-1,-4.695427418×10^-1,-2.943322361×10^-1,9.530316293×10^-2
2.858250833×10^-1,-4.432859719×10^-1,-2.734942138×10^-1,7.352567464×10^-2
2.957750833×10^-1,-3.809301853×10^-1,-2.070014924×10^-1,4.266171250×10^-3
3.057250833×10^-1,-3.049300611×10^-1,-1.136267483×10^-1,-3.085942753×10^-2
3.156750833×10^-1,-2.409766465×10^-1,-7.693158090×10^-2,-3.134811670×10^-2
3.256250833×10^-1,-1.787562668×10^-1,-6.134104356×10^-2,-1.592130214×10^-2
3.355740833×10^-1,-1.268139780×10^-1,-6.228646263×10^-2,-4.111248534×10^-3
3.455240833×10^-1,-9.674979001×10^-2,-6.175595149×10^-2,1.553921029×10^-3
3.554740833×10^-1,-8.561937511×10^-2,-6.717814505×10^-2,1.267474983×10^-2
3.654240833×10^-1,-8.562967181×10^-2,-8.732803166×10^-2,2.264720574×10^-2
3.753740833×10^-1,-8.725313842×10^-2,-8.733628690×10^-2,2.445336245×10^-2
3.853240833×10^-1,-9.572553635×10^-2,-7.346986234×10^-2,2.753172442×10^-2
3.952730833×10^-1,-9.735859185×10^-2,-6.794434041×10^-2,2.582517266×10^-2
4.052230833×10^-1,-9.006009251×10^-2,-6.167812273×10^-2,1.982033066×10^-2
