"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.255083338×10^-3,-1.038240967×10^0,4.873265991×10^0,8.441096649×10^0
1.220508333×10^-2,-1.070573730×10^0,4.947960663×10^0,8.387059021×10^0
2.215508334×10^-2,-8.984317017×10^-1,4.968917084×10^0,8.408464508×10^0
3.210408334×10^-2,-8.901988220×10^-1,4.950655060×10^0,8.470285950×10^0
4.205408333×10^-2,-8.825646973×10^-1,4.927004242×10^0,8.553662567×10^0
5.200408334×10^-2,-7.840695190×10^-1,4.915328522×10^0,8.691974945×10^0
6.195408333×10^-2,-6.761439514×10^-1,4.883295135×10^0,8.785829773×10^0
7.190408334×10^-2,-6.471043396×10^-1,4.853656769×10^0,8.734037476×10^0
8.185408333×10^-2,-6.798861694×10^-1,4.837640076×10^0,8.655001831×10^0
9.180308333×10^-2,-7.723937988×10^-1,4.831353149×10^0,8.563242645×10^0
1.017530833×10^-1,-8.285270691×10^-1,4.863386536×10^0,8.483458557×10^0
1.117030833×10^-1,-8.187973022×10^-1,4.875810699×10^0,8.377478943×10^0
1.216530833×10^-1,-8.375083923×10^-1,4.842430115×10^0,8.287516022×10^0
1.316030833×10^-1,-9.092092896×10^-1,4.828359375×10^0,8.240214386×10^0
1.415530833×10^-1,-9.134005737×10^-1,4.808301086×10^0,8.232430573×10^0
1.515020833×10^-1,-8.964857483×10^-1,4.770878906×10^0,8.280780029×10^0
1.614520833×10^-1,-8.553213501×10^-1,4.759203186×10^0,8.396639099×10^0
1.714020833×10^-1,-7.685018921×10^-1,4.756209412×10^0,8.432714081×10^0
1.813520833×10^-1,-7.405101013×10^-1,4.726271667×10^0,8.402177582×10^0
1.913020833×10^-1,-7.370672607×10^-1,4.705015869×10^0,8.365354156×10^0
2.012520833×10^-1,-7.891589355×10^-1,4.670587463×10^0,8.359067230×10^0
2.112020833×10^-1,-8.167016602×10^-1,4.630919952×10^0,8.352630615×10^0
2.211510833×10^-1,-7.902067566×10^-1,4.616250458×10^0,8.319100342×10^0
