"event","experiment time","system time","system time text"
"START",0.000000000000000×10^0,1.758529006003634×10^9,"2025-09-22 10:16:46.004 UTC+02:00"
"PAUSE",2.552946825000254×10^1,1.758529031532963×10^9,"2025-09-22 10:17:11.533 UTC+02:00"
