"event","experiment time","system time","system time text"
"START",0.000000000000000×10^0,1.758369546509250×10^9,"2025-09-20 13:59:06.509 UTC+02:00"
"PAUSE",2.624426537500403×10^1,1.758369572753451×10^9,"2025-09-20 13:59:32.753 UTC+02:00"
