"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.825333333×10^-3,-1.568288727×10^0,6.578519897×10^0,6.971901855×10^0
1.277333333×10^-2,-1.601519623×10^0,6.488257599×10^0,7.125482483×10^0
2.272233333×10^-2,-1.574725342×10^0,6.348747711×10^0,7.046297150×10^0
3.267033333×10^-2,-1.521286469×10^0,6.373596039×10^0,6.590345306×10^0
4.261833333×10^-2,-1.652264099×10^0,6.345155182×10^0,6.048771515×10^0
5.256633333×10^-2,-1.618883514×10^0,6.150559845×10^0,5.434598694×10^0
6.251433333×10^-2,-1.238374786×10^0,5.968238983×10^0,4.915927277×10^0
7.246333333×10^-2,-3.088078308×10^-1,5.846691742×10^0,5.598058777×10^0
8.241133333×10^-2,-5.031037903×10^-1,5.477709045×10^0,5.917494507×10^0
9.235933333×10^-2,-1.043779449×10^0,5.394182739×10^0,4.515809326×10^0
1.023073333×10^-1,-6.029461670×10^-1,5.120701447×10^0,4.216581573×10^0
1.122553333×10^-1,-6.370751953×10^-1,5.298531647×10^0,4.335733795×10^0
1.222033333×10^-1,-7.343728638×10^-1,5.572462006×10^0,4.309837646×10^0
1.321523333×10^-1,-9.583071899×10^-1,5.824537811×10^0,4.230951691×10^0
1.421003333×10^-1,-5.861810303×10^-1,5.586083679×10^0,4.223018188×10^0
1.520483333×10^-1,-1.245410156×10^-1,5.767057343×10^0,4.265080719×10^0
1.619963333×10^-1,1.371148682×10^-1,6.271208954×10^0,4.042643280×10^0
1.719443333×10^-1,7.156617737×10^-1,6.581962738×10^0,3.518283691×10^0
1.818933333×10^-1,9.572593689×10^-1,6.449937286×10^0,2.959495697×10^0
1.918413333×10^-1,1.273851013×10^-1,6.209237823×10^0,2.787952423×10^0
2.017893333×10^-1,-1.926793213×10^0,5.901028748×10^0,3.614084473×10^0
2.117373333×10^-1,-4.327500916×10^0,5.819149017×10^0,4.289030914×10^0
2.216853333×10^-1,-5.888305206×10^0,6.335425415×10^0,3.562441864×10^0
2.316343333×10^-1,-6.406078491×10^0,6.782994690×10^0,3.593427429×10^0
2.415823333×10^-1,-6.967111816×10^0,7.222780151×10^0,3.885021057×10^0
2.515303333×10^-1,-7.930358734×10^0,7.579039307×10^0,4.029620361×10^0
2.614783333×10^-1,-8.415649567×10^0,8.164920959×10^0,4.339476013×10^0
2.714263333×10^-1,-8.183632050×10^0,8.612490234×10^0,3.950135651×10^0
2.813753333×10^-1,-7.841443634×10^0,7.144942017×10^0,-3.821553040×10^-1
2.913233333×10^-1,-9.067993011×10^0,8.092920685×10^0,-6.168672180×10^-1
3.012713333×10^-1,-9.997260590×10^0,8.682394867×10^0,2.979254608×10^0
3.112193333×10^-1,-9.969268799×10^0,7.804021454×10^0,3.811374207×10^0
3.211673333×10^-1,-1.045216461×10^1,7.429799652×10^0,3.100801849×10^0
3.311163333×10^-1,-1.060200302×10^1,6.949747925×10^0,2.492167511×10^0
3.410643333×10^-1,-1.093985046×10^1,6.290518799×10^0,1.985471191×10^0
3.510123333×10^-1,-1.068313431×10^1,5.685626678×10^0,1.522483978×10^0
3.609603333×10^-1,-8.737929382×10^0,4.937632141×10^0,1.245410156×10^0
3.709083333×10^-1,-6.618337097×10^0,4.410727844×10^0,8.973838806×10^-1
3.808563333×10^-1,-5.979765015×10^0,4.221371613×10^0,5.611830139×10^-1
3.908053333×10^-1,-6.349346466×10^0,3.903881836×10^0,6.511459351×10^-2
4.007533333×10^-1,-6.742578735×10^0,3.956721954×10^0,-5.206173706×10^-1
4.107013333×10^-1,-7.617509308×10^0,3.901337128×10^0,-1.220262451×10^0
4.206493333×10^-1,-8.230783997×10^0,2.460882568×10^0,-1.776954803×10^0
4.305973333×10^-1,-9.242530060×10^0,2.111658783×10^0,-1.211131439×10^0
4.405463333×10^-1,-1.032927017×10^1,3.420087891×10^0,-1.727856903×10^0
4.504943333×10^-1,-1.101679047×10^1,4.724625092×10^0,-2.502795410×10^0
4.604423333×10^-1,-1.029708710×10^1,6.397396545×10^0,-1.680704956×10^0
4.703903333×10^-1,-1.027942383×10^1,7.018604736×10^0,-2.621049500×10^-1
4.803383333×10^-1,-1.090886490×10^1,6.938072205×10^0,1.016536102×10^0
4.902873333×10^-1,-1.193557983×10^1,6.897356873×10^0,3.557801514×10^0
5.002353333×10^-1,-1.333157684×10^1,7.267686768×10^0,4.736600189×10^0
5.101833333×10^-1,-1.378288834×10^1,7.431296539×10^0,4.938230896×10^0
5.201313333×10^-1,-1.434107758×10^1,7.762707367×10^0,4.938829651×10^0
5.300793333×10^-1,-1.382225647×10^1,8.539891205×10^0,2.953508148×10^0
