"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
7.240665833×10^-1,-2.077679443×10^-1,4.873864746×10^0,8.599317627×10^0
7.340165833×10^-1,-2.082170105×10^-1,4.844825134×10^0,8.573571167×10^0
7.439655833×10^-1,-2.155517578×10^-1,4.830904083×10^0,8.587192841×10^0
7.539155833×10^-1,-2.327659607×10^-1,4.818180542×10^0,8.599617004×10^0
7.638655833×10^-1,-2.101629639×10^-1,4.775668945×10^0,8.657546539×10^0
7.738155833×10^-1,-1.501377869×10^-1,4.750970306×10^0,8.719218292×10^0
7.837645833×10^-1,-8.068222046×10^-2,4.740192719×10^0,8.767867126×10^0
7.937145833×10^-1,-8.532257080×10^-2,4.718338165×10^0,8.729397125×10^0
8.036645833×10^-1,-1.531315613×10^-1,4.693340149×10^0,8.571026459×10^0
8.136145833×10^-1,-1.922003174×10^-1,4.717589722×10^0,8.384364624×10^0
8.235635833×10^-1,-2.125579834×10^-1,4.746779022×10^0,8.238268433×10^0
8.335135833×10^-1,-2.737806702×10^-1,4.714146881×10^0,8.217012634×10^0
8.434635833×10^-1,-3.432362366×10^-1,4.714595947×10^0,8.307424622×10^0
8.534135833×10^-1,-3.832031250×10^-1,4.715344391×10^0,8.350085907×10^0
8.633625833×10^-1,-4.270619202×10^-1,4.698878632×10^0,8.318351898×10^0
8.733125833×10^-1,-3.993695068×10^-1,4.718487854×10^0,8.272098083×10^0
8.832625833×10^-1,-4.162843323×10^-1,4.732708282×10^0,8.176596680×10^0
8.932125833×10^-1,-4.436773682×10^-1,4.705464935×10^0,8.108188934×10^0
9.031615833×10^-1,-4.993615723×10^-1,4.695884857×10^0,8.105195160×10^0
9.131115833×10^-1,-5.734574890×10^-1,4.684807892×10^0,8.097710724×10^0
9.230615833×10^-1,-6.089337158×10^-1,4.697531433×10^0,8.182883606×10^0
9.330115833×10^-1,-5.893244934×10^-1,4.726571045×10^0,8.396489410×10^0
9.429605833×10^-1,-6.183641052×10^-1,4.721331940×10^0,8.504414978×10^0
9.529105833×10^-1,-6.749464417×10^-1,4.672832794×10^0,8.427474976×10^0
9.628605833×10^-1,-8.521778870×10^-1,4.721331940×10^0,8.316256256×10^0
9.728105833×10^-1,-1.006207581×10^0,4.977599030×10^0,8.072712708×10^0
9.827595833×10^-1,-1.039438477×10^0,5.137616272×10^0,7.906408539×10^0
9.927095833×10^-1,-1.353784790×10^0,5.106331329×10^0,7.902816010×10^0
1.002659583×10^0,-1.248703308×10^0,5.130131836×10^0,7.889344025×10^0
1.012608583×10^0,-1.145717468×10^0,5.076842651×10^0,8.036787415×10^0
1.022558583×10^0,-1.097667389×10^0,4.995411987×10^0,8.238867188×10^0
1.032508583×10^0,-1.153351593×10^0,5.014871521×10^0,8.465046844×10^0
1.042458583×10^0,-1.192270660×10^0,5.095254364×10^0,8.627459106×10^0
1.052408583×10^0,-1.225800934×10^0,5.081183624×10^0,8.787925415×10^0
1.062357583×10^0,-1.160237274×10^0,5.078788605×10^0,8.868607635×10^0
1.072307583×10^0,-1.122515717×10^0,5.134622498×10^0,8.867260437×10^0
1.082257583×10^0,-1.125808868×10^0,5.216053162×10^0,8.709039459×10^0
1.092206583×10^0,-1.245110779×10^0,5.155878296×10^0,8.221503296×10^0
1.102156583×10^0,-1.559606781×10^0,4.872816925×10^0,7.280410309×10^0
1.112106583×10^0,-1.414708099×10^0,4.923262024×10^0,7.613767090×10^0
1.122056583×10^0,-1.673669586×10^0,4.825215912×10^0,7.926915894×10^0
1.132005583×10^0,-2.007774811×10^0,4.885690155×10^0,8.268804932×10^0
1.141955583×10^0,-2.330354004×10^0,5.065017242×10^0,8.618028717×10^0
1.151905583×10^0,-2.623444519×10^0,5.315745850×10^0,8.588540039×10^0
1.161854708×10^0,-2.945874023×10^0,5.282514954×10^0,8.650211792×10^0
1.171803708×10^0,-3.385958862×10^0,4.848417664×10^0,8.721763000×10^0
1.181753708×10^0,-3.713777161×10^0,4.299359436×10^0,8.929081879×10^0
1.191703708×10^0,-3.411106567×10^0,3.863166504×10^0,9.191037140×10^0
1.201653708×10^0,-2.608176270×10^0,3.814667358×10^0,9.460476837×10^0
1.211602708×10^0,-1.808539124×10^0,4.162394257×10^0,9.682614899×10^0
1.221552708×10^0,-1.589394836×10^0,4.319567413×10^0,9.687854004×10^0
1.231502708×10^0,-2.025587769×10^0,4.077820129×10^0,9.589807892×10^0
1.241452708×10^0,-2.731070709×10^0,3.769910431×10^0,9.460177460×10^0
1.251401708×10^0,-3.354673920×10^0,3.619922333×10^0,9.371262360×10^0
1.261351708×10^0,-4.137096863×10^0,3.665278015×10^0,9.158255310×10^0
1.271301708×10^0,-4.711751862×10^0,3.872297516×10^0,9.078171844×10^0
1.281251708×10^0,-4.244273987×10^0,4.203408966×10^0,8.942553864×10^0
1.291200708×10^0,-3.695964203×10^0,4.123624878×10^0,8.494385834×10^0
1.301150708×10^0,-3.307521973×10^0,3.500620422×10^0,8.332572327×10^0
1.311100708×10^0,-2.860701141×10^0,2.884950714×10^0,8.637637939×10^0
1.321050708×10^0,-2.582280121×10^0,2.680326233×10^0,9.286837921×10^0
1.330999708×10^0,-2.431393890×10^0,2.667153625×10^0,9.843530273×10^0
1.340949708×10^0,-2.565514984×10^0,2.732118530×10^0,1.027149033×10^1
1.350899708×10^0,-2.633323975×10^0,3.434008942×10^0,1.024364822×10^1
1.360849708×10^0,-2.633773041×10^0,4.038751373×10^0,9.931547241×10^0
1.370798708×10^0,-2.779270477×10^0,4.077071686×10^0,9.442963257×10^0
1.380748708×10^0,-3.313509521×10^0,3.926185455×10^0,8.731343079×10^0
1.390698708×10^0,-3.620371399×10^0,3.851490784×10^0,7.941735077×10^0
1.400648708×10^0,-3.845054169×10^0,3.618874512×10^0,7.300468597×10^0
1.410597708×10^0,-3.464096375×10^0,3.789220276×10^0,6.912475433×10^0
1.420547708×10^0,-3.146007843×10^0,3.930077362×10^0,6.575077057×10^0
1.430497708×10^0,-3.320245514×10^0,3.538940735×10^0,5.991141357×10^0
1.440447708×10^0,-3.429218903×10^0,3.013383636×10^0,5.373675385×10^0
1.450396708×10^0,-3.567531281×10^0,2.800675964×10^0,4.824916534×10^0
1.460346708×10^0,-3.727698212×10^0,2.918480988×10^0,4.380640411×10^0
1.470296708×10^0,-3.570225677×10^0,3.210823059×10^0,4.317322083×10^0
1.480246708×10^0,-3.747307434×10^0,3.206182709×10^0,4.547693024×10^0
1.490195708×10^0,-4.147275696×10^0,3.085683289×10^0,5.190306702×10^0
1.500145708×10^0,-4.103865967×10^0,3.320544891×10^0,6.256240082×10^0
1.510095708×10^0,-3.371738434×10^0,2.931054840×10^0,7.113357697×10^0
1.520045708×10^0,-2.852767639×10^0,2.194586334×10^0,7.808811493×10^0
1.529994708×10^0,-2.410138092×10^0,1.827998657×10^0,8.336913300×10^0
1.539944708×10^0,-1.927841034×10^0,1.707948303×10^0,8.654403076×10^0
1.549894708×10^0,-2.075583801×10^0,1.847458191×10^0,8.929231567×10^0
1.559844708×10^0,-2.729723511×10^0,2.024090881×10^0,9.353898468×10^0
1.569793708×10^0,-3.543281708×10^0,1.810634766×10^0,1.005818390×10^1
1.579743708×10^0,-3.831432495×10^0,1.296004944×10^0,1.076202026×10^1
1.589693708×10^0,-3.067421265×10^0,1.031205597×10^0,1.099867813×10^1
1.599643708×10^0,-2.282154236×10^0,1.631607056×10^0,1.108474915×10^1
1.609592708×10^0,-2.067650299×10^0,2.489173737×10^0,1.116617981×10^1
1.619542708×10^0,-2.498753815×10^0,2.679877167×10^0,1.119536911×10^1
1.629492708×10^0,-3.114423523×10^0,2.315085754×10^0,1.132425110×10^1
1.639442708×10^0,-3.626209259×10^0,1.855691071×10^0,1.137230118×10^1
1.649391708×10^0,-3.640279999×10^0,1.707499237×10^0,1.090227859×10^1
1.659341708×10^0,-3.278482361×10^0,1.730700989×10^0,1.003468277×10^1
1.669291708×10^0,-2.808759155×10^0,1.860930176×10^0,9.171128540×10^0
1.679241708×10^0,-2.581681366×10^0,2.287543030×10^0,8.598269806×10^0
1.689190708×10^0,-2.788850555×10^0,2.433938599×10^0,8.587492218×10^0
1.699140708×10^0,-2.922522583×10^0,1.947599945×10^0,8.843160553×10^0
1.709090708×10^0,-2.373164978×10^0,1.328786774×10^0,9.076375580×10^0
1.719040708×10^0,-6.382727051×10^-1,1.095272369×10^0,8.985514526×10^0
1.728989708×10^0,6.370751953×10^-1,1.527573395×10^0,9.108259277×10^0
1.738939708×10^0,8.316705322×10^-1,1.816023560×10^0,9.312734070×10^0
1.748889708×10^0,3.689826965×10^-1,2.367776184×10^0,9.623188477×10^0
1.758839708×10^0,-4.236190796×10^-2,2.142195282×10^0,9.836794281×10^0
1.768788708×10^0,-6.839277649×10^-1,1.848056946×10^0,9.906549225×10^0
1.778738708×10^0,-1.163081360×10^0,1.713037720×10^0,9.610614624×10^0
1.788688708×10^0,-1.303190002×10^0,1.650767212×10^0,9.680519257×10^0
1.798637708×10^0,-1.129102020×10^0,1.442400513×10^0,9.458231506×10^0
1.808587708×10^0,-9.569599915×10^-1,1.006057892×10^0,9.574240265×10^0
1.818537708×10^0,-7.361691284×10^-1,1.016985168×10^0,9.754465485×10^0
1.828487708×10^0,-4.544549561×10^-1,8.629554749×10^-1,9.725874939×10^0
1.838436708×10^0,-2.565664673×10^-1,1.168769531×10^0,9.750573578×10^0
1.848386708×10^0,-2.918930054×10^-2,1.272204437×10^0,9.577383728×10^0
1.858336708×10^0,-5.289999390×10^-1,1.500779114×10^0,9.827962646×10^0
1.868286708×10^0,-4.017645264×10^-1,1.281185760×10^0,9.750872955×10^0
1.878235708×10^0,-7.348219299×10^-1,1.037193146×10^0,1.025786865×10^1
1.888185708×10^0,-8.753796387×10^-1,9.686357117×10^-1,1.004336472×10^1
1.898135708×10^0,-4.445755005×10^-2,6.782395935×10^-1,9.605974274×10^0
1.908085708×10^0,1.157093811×10^-1,1.422042847×10^0,9.780062256×10^0
1.918034708×10^0,4.616400146×10^-1,1.725461884×10^0,9.827812958×10^0
1.927984708×10^0,8.818162537×10^-1,8.219407654×10^-1,9.936187592×10^0
1.937934708×10^0,2.122586060×10^-1,9.440867615×10^-1,1.050934570×10^1
1.947884708×10^0,-5.044509888×10^-2,9.954299927×10^-1,1.038914566×10^1
1.957833708×10^0,-3.147953796×10^-1,4.619393921×10^-1,1.025188110×10^1
1.967783708×10^0,-9.777667236×10^-1,7.547305298×10^-1,1.038450531×10^1
1.977733708×10^0,-9.283694458×10^-1,3.062631226×10^-1,1.002345612×10^1
1.987683708×10^0,-6.081852722×10^-1,-7.978408813×10^-2,1.028376480×10^1
1.997632708×10^0,-4.825964355×10^-1,-6.689588928×10^-1,1.101349731×10^1
2.007582708×10^0,-2.484832764×10^-1,-3.740721130×10^-1,1.145807281×10^1
2.017532708×10^0,3.905378723×10^-1,-4.113446045×10^-1,1.232956055×10^1
2.027482708×10^0,1.056652679×10^0,1.257984009×10^0,1.324221268×10^1
2.037431708×10^0,9.475296021×10^-1,1.514251099×10^0,1.235575607×10^1
2.047381708×10^0,3.049159241×10^-1,-1.236129456×10^0,1.181478104×10^1
2.057331708×10^0,-4.552033997×10^-1,-7.589218140×10^-1,1.205817490×10^1
2.067281708×10^0,-2.909948730×10^-1,1.869612122×10^-1,1.057341248×10^1
2.077230708×10^0,-2.136058044×10^-1,3.137475586×10^-1,9.709259491×10^0
2.087180708×10^0,2.350112915×10^-2,-7.738906860×10^-2,8.701405334×10^0
2.097130708×10^0,6.306385803×10^-1,-3.279679871×10^-1,7.903863831×10^0
2.107080708×10^0,2.668949890×10^-1,2.884501648×10^-1,7.843539276×10^0
2.117029708×10^0,7.514373779×10^-2,2.296224976×10^-1,7.329657898×10^0
2.126979708×10^0,-9.723779297×10^-1,-4.086502075×10^-2,1.935729630×10^1
2.136929708×10^0,2.050735474×10^-1,-2.998265076×10^-1,7.527546387×10^0
2.146879708×10^0,1.066083069×10^0,-1.022972717×10^0,1.155761581×10^1
2.156829583×10^0,-4.300556946×10^-1,-2.186952209×10^-1,9.764494629×10^0
2.166779583×10^0,2.782713318×10^-1,-1.535806274×10^-1,9.252110138×10^0
2.176729583×10^0,8.081694031×10^-1,-5.604345703×10^-1,9.994715881×10^0
2.186679583×10^0,6.354286194×10^-1,6.390211487×10^-1,1.031534912×10^1
2.196628583×10^0,-7.530839539×10^-1,1.825154572×10^0,9.097930756×10^0
2.206578583×10^0,-3.698808289×10^-1,4.058061218×10^-1,9.915530548×10^0
2.216528583×10^0,3.935316467×10^-1,3.712280273×10^-2,1.059421921×10^1
2.226478583×10^0,-2.905458069×10^-1,2.165995789×10^-1,9.218280487×10^0
2.236427583×10^0,-4.131408691×10^-2,7.843688965×10^-2,9.806407471×10^0
2.246377583×10^0,-1.496887207×10^-2,6.152206421×10^-2,9.871372375×10^0
2.256327583×10^0,-1.826202393×10^-2,5.733078003×10^-2,9.845326538×10^0
2.266276583×10^0,-1.526824951×10^-2,5.792953491×10^-2,9.833351440×10^0
2.276226583×10^0,-1.571731567×10^-2,7.110214233×10^-2,9.845476227×10^0
2.286176583×10^0,-2.215393066×10^-2,8.457412720×10^-2,9.848919067×10^0
2.296126583×10^0,-4.340972900×10^-3,1.119671631×10^-1,9.835746460×10^0
2.306076583×10^0,-9.280700684×10^-3,1.534309387×10^-1,9.846823425×10^0
2.316025583×10^0,-1.437011719×10^-2,1.974394226×10^-1,9.849368134×10^0
2.325975583×10^0,-4.595443726×10^-2,2.237846375×10^-1,9.839488678×10^0
2.335925583×10^0,-5.733078003×10^-2,2.339634705×10^-1,9.834249573×10^0
2.345874583×10^0,-3.832031250×10^-2,2.201921082×10^-1,9.838440857×10^0
2.355824583×10^0,-2.439926147×10^-2,1.484912109×10^-1,9.833351440×10^0
2.365774583×10^0,2.095642090×10^-3,7.289840698×10^-2,9.837842102×10^0
2.375724583×10^0,9.131011963×10^-3,8.681945801×10^-3,9.838440857×10^0
2.385673583×10^0,1.137634277×10^-2,2.604583740×10^-2,9.854008484×10^0
2.395623583×10^0,-6.436614990×10^-3,6.301895142×10^-2,9.843530273×10^0
2.405573583×10^0,-2.350112915×10^-2,1.013392639×10^-1,9.840237122×10^0
2.415523583×10^0,-4.041595459×10^-2,1.496887207×10^-1,9.832303619×10^0
2.425472583×10^0,-4.101470947×10^-2,1.850152588×10^-1,9.838291168×10^0
2.435422583×10^0,-3.861968994×10^-2,1.832189941×10^-1,9.834848328×10^0
2.445372583×10^0,-3.532653809×10^-2,1.844165039×10^-1,9.833052063×10^0
2.455322583×10^0,-2.424957275×10^-2,1.755848694×10^-1,9.844877472×10^0
2.465271583×10^0,-2.559677124×10^-2,1.463955688×10^-1,9.851463776×10^0
2.475221583×10^0,-2.380050659×10^-2,1.318757629×10^-1,9.849218445×10^0
2.485171583×10^0,-2.694396973×10^-3,1.067280579×10^-1,9.849667511×10^0
2.495121583×10^0,3.592529297×10^-3,7.978408813×10^-2,9.849218445×10^0
2.505070583×10^0,2.245330811×10^-3,5.583389282×10^-2,9.854457550×10^0
2.515020583×10^0,9.879455566×10^-3,5.388793945×10^-2,9.843979340×10^0
2.524970583×10^0,1.347198486×10^-3,7.319778442×10^-2,9.845625916×10^0
2.534920583×10^0,-6.436614990×10^-3,1.140628052×10^-1,9.859696655×10^0
2.544869583×10^0,-3.367996216×10^-2,1.498384094×10^-1,9.857601013×10^0
2.554819583×10^0,-5.343887329×10^-2,1.748364258×10^-1,9.846973114×10^0
2.564769583×10^0,-6.601272583×10^-2,1.953437805×10^-1,9.848020935×10^0
2.574719583×10^0,-5.403762817×10^-2,2.058219910×10^-1,9.847871246×10^0
2.584668583×10^0,-3.427871704×10^-2,1.823208618×10^-1,9.835896149×10^0
2.594618583×10^0,-4.340972900×10^-3,1.399589539×10^-1,9.849817200×10^0
2.604568583×10^0,-1.047821045×10^-3,8.966354370×10^-2,9.836345215×10^0
2.614518583×10^0,1.901046753×10^-2,6.526428223×10^-2,9.836794281×10^0
2.624467583×10^0,2.784210205×10^-2,5.284011841×10^-2,9.852062531×10^0
2.634417583×10^0,3.442840576×10^-3,7.035369873×10^-2,9.849517822×10^0
2.644367583×10^0,-1.721420288×10^-2,1.154100037×10^-1,9.838291168×10^0
2.654317583×10^0,-3.457809448×10^-2,1.450483704×10^-1,9.834548950×10^0
2.664266583×10^0,-3.083587646×10^-2,1.513352966×10^-1,9.836644592×10^0
2.674216583×10^0,-4.565505981×10^-2,1.634600830×10^-1,9.836045837×10^0
2.684166583×10^0,-4.445755005×10^-2,1.573228455×10^-1,9.847871246×10^0
2.694115583×10^0,-4.745132446×10^-2,1.616638184×10^-1,9.848919067×10^0
2.704065583×10^0,-3.727249146×10^-2,1.478924561×10^-1,9.833650818×10^0
2.714015583×10^0,-2.784210205×10^-2,1.411564636×10^-1,9.836644592×10^0
2.723965583×10^0,-1.047821045×10^-2,1.302291870×10^-1,9.854307861×10^0
2.733914583×10^0,3.592529297×10^-3,8.382568359×10^-2,9.848020935×10^0
2.743864583×10^0,1.332229614×10^-2,8.442443848×10^-2,9.853559418×10^0
2.753814583×10^0,1.437011719×10^-2,8.337661743×10^-2,9.845625916×10^0
2.763764583×10^0,2.005828857×10^-2,6.586303711×10^-2,9.847721558×10^0
2.773713583×10^0,-6.286926270×10^-3,1.050814819×10^-1,9.851912842×10^0
2.783663583×10^0,-2.948867798×10^-2,1.395098877×10^-1,9.856104126×10^0
