"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
7.683958334×10^-3,4.285753239×10^-3,-5.296462774×10^-2,2.287331782×10^-2
1.763395833×10^-2,-1.367061026×10^-2,-8.502882719×10^-2,3.320611268×10^-2
2.758395833×10^-2,-4.431092367×10^-2,-1.254908741×10^-1,2.515607886×10^-2
3.753295833×10^-2,-6.659226865×10^-2,-1.554895192×10^-1,1.282883808×10^-2
4.748295833×10^-2,-7.271745056×10^-2,-1.607642919×10^-1,8.019150235×10^-3
5.743295833×10^-2,-5.610677972×10^-2,-1.417993903×10^-1,2.566498891×10^-2
6.738295832×10^-2,-3.444577008×10^-2,-1.375836879×10^-1,5.127186701×10^-2
7.733195832×10^-2,-2.204955369×10^-2,-1.537496001×10^-1,6.184594706×10^-2
8.728195833×10^-2,-2.992791496×10^-2,-1.640866697×10^-1,5.878908932×10^-2
9.723195832×10^-2,-4.246421531×10^-2,-1.548215300×10^-1,4.753510281×10^-2
1.071819583×10^-1,-5.384490266×10^-2,-1.325578094×10^-1,4.063075036×10^-2
1.171309583×10^-1,-5.817360431×10^-2,-1.187716872×10^-1,3.273634240×10^-2
1.270809583×10^-1,-6.451799721×10^-2,-1.124102399×10^-1,3.539947420×10^-2
1.370309583×10^-1,-6.342583895×10^-2,-1.255998164×10^-1,3.538562730×10^-2
1.469809583×10^-1,-6.355232745×10^-2,-1.566721797×10^-1,3.425514325×10^-2
1.569305833×10^-1,-8.251589537×10^-2,-1.949950606×10^-1,3.213793039×10^-2
1.668805833×10^-1,-1.093697324×10^-1,-2.231677473×10^-1,2.945652977×10^-2
1.768305833×10^-1,-1.266611069×10^-1,-2.213312387×10^-1,2.259942330×10^-2
1.867805833×10^-1,-1.297840625×10^-1,-2.052572370×10^-1,1.062574610×10^-2
1.967295833×10^-1,-1.199889630×10^-1,-1.852166802×10^-1,-5.220062565×10^-3
2.066795833×10^-1,-1.071675196×10^-1,-1.657464355×10^-1,-2.264065854×10^-2
2.166295833×10^-1,-9.710716456×10^-2,-1.446475536×10^-1,-2.802104317×10^-2
2.265795833×10^-1,-9.637548029×10^-2,-1.339902580×10^-1,-2.483047917×10^-2
2.365285833×10^-1,-1.000019088×10^-1,-1.375237405×10^-1,1.567040570×10^-3
2.464785833×10^-1,-1.129051447×10^-1,-1.120284125×10^-1,2.486260980×10^-2
2.564285833×10^-1,-1.238073260×10^-1,-6.809557974×10^-2,4.724834114×10^-2
2.663785833×10^-1,-1.200844198×10^-1,3.063314967×10^-2,9.465207905×10^-2
2.763275833×10^-1,-9.613594413×10^-2,1.337081343×10^-1,1.556861252×10^-1
2.862775833×10^-1,-6.201368943×10^-2,1.974405944×10^-1,2.052008659×10^-1
2.962275833×10^-1,-3.547102585×10^-2,2.322329283×10^-1,2.334487438×10^-1
3.061775833×10^-1,-3.000115231×10^-2,2.458207011×10^-1,2.405410409×10^-1
3.161265833×10^-1,-4.604962841×10^-2,2.337565720×10^-1,2.334128171×10^-1
3.260765833×10^-1,-7.356142253×10^-2,2.016603649×10^-1,2.233953178×10^-1
3.360265833×10^-1,-1.056937948×10^-1,1.547322720×10^-1,2.141070068×10^-1
3.459755833×10^-1,-1.316665262×10^-1,1.161820740×10^-1,2.051276863×10^-1
3.559255833×10^-1,-1.374248117×10^-1,7.194590569×10^-2,1.960300654×10^-1
3.658755833×10^-1,-1.203915253×10^-1,3.481826931×10^-2,1.937334985×10^-1
3.758255833×10^-1,-9.124615788×10^-2,8.722752333×10^-3,1.993445158×10^-1
3.857745833×10^-1,-7.244670391×10^-2,-8.568901569×10^-3,2.131379098×10^-1
3.957245833×10^-1,-6.679467857×10^-2,-9.312455542×10^-3,2.279805094×10^-1
4.056745833×10^-1,-7.589966804×10^-2,6.538876798×10^-3,2.340613008×10^-1
4.156245833×10^-1,-8.699066937×10^-2,3.020452522×10^-2,2.314319611×10^-1
4.255735833×10^-1,-9.001415968×10^-2,5.156041309×10^-2,2.234965414×10^-1
4.355235833×10^-1,-8.598852158×10^-2,7.001079619×10^-2,2.193811536×10^-1
4.454735833×10^-1,-7.759062201×10^-2,6.635209173×10^-2,2.116326392×10^-1
4.554235833×10^-1,-7.317216694×10^-2,5.755406991×10^-2,2.051241398×10^-1
4.653725833×10^-1,-7.453214377×10^-2,5.133206025×10^-2,1.967578083×10^-1
4.753225833×10^-1,-8.669587225×10^-2,5.455794558×10^-2,1.936496347×10^-1
4.852725833×10^-1,-9.968178719×10^-2,6.123175099×10^-2,1.872104406×10^-1
4.952225833×10^-1,-1.049034446×10^-1,8.669822663×10^-2,1.862218827×10^-1
5.051715833×10^-1,-9.693118185×10^-2,1.197341457×10^-1,1.847747117×10^-1
5.151215833×10^-1,-7.380722463×10^-2,1.452765167×10^-1,1.820470989×10^-1
5.250715833×10^-1,-4.452960938×10^-2,1.531407088×10^-1,1.678182781×10^-1
5.350215833×10^-1,-2.261711843×10^-2,1.425610483×10^-1,1.424838901×10^-1
5.449705833×10^-1,-1.264728699×10^-2,1.240117773×10^-1,1.111782491×10^-1
5.549205833×10^-1,-1.549367327×10^-2,9.757670760×10^-2,7.775371522×10^-2
5.648705833×10^-1,-2.514631487×10^-2,6.382315606×10^-2,6.241199002×10^-2
5.748205833×10^-1,-3.776090965×10^-2,2.863640152×10^-2,5.805718526×10^-2
5.847695833×10^-1,-5.077544227×10^-2,3.159552813×10^-3,6.079190969×10^-2
5.947195833×10^-1,-6.280520558×10^-2,4.533478059×10^-3,6.380101293×10^-2
6.046695833×10^-1,-7.233443856×10^-2,4.283745214×10^-2,6.623571366×10^-2
6.146195833×10^-1,-7.550599426×10^-2,9.921550751×10^-2,6.661202013×10^-2
6.245685833×10^-1,-7.867403328×10^-2,1.484231502×10^-1,6.605828553×10^-2
6.345185833×10^-1,-7.330510020×10^-2,1.718810797×10^-1,6.697174907×10^-2
6.444685833×10^-1,-7.072304934×10^-2,1.674462259×10^-1,7.168397307×10^-2
6.544185833×10^-1,-7.600223273×10^-2,1.502648443×10^-1,7.860019803×10^-2
6.643675833×10^-1,-9.310886264×10^-2,1.421333402×10^-1,9.042148292×10^-2
6.743175833×10^-1,-1.132817715×10^-1,1.221268773×10^-1,1.092779934×10^-1
6.842675833×10^-1,-1.237582415×10^-1,9.013281018×10^-2,1.241597012×10^-1
6.942175833×10^-1,-1.222937703×10^-1,5.460118502×10^-2,1.262731701×10^-1
7.041665833×10^-1,-1.156240255×10^-1,3.410807252×10^-2,1.160501465×10^-1
7.141165833×10^-1,-1.118316799×10^-1,3.399888054×10^-2,1.022025123×10^-1
7.240665833×10^-1,-1.106504574×10^-1,4.697311670×10^-2,8.656799048×10^-2
7.340165833×10^-1,-1.118978858×10^-1,7.646789402×10^-2,7.887624949×10^-2
7.439655833×10^-1,-1.104084849×10^-1,1.127725840×10^-1,7.581993192×10^-2
7.539155833×10^-1,-1.005771607×10^-1,1.497412622×10^-1,7.624417543×10^-2
7.638655833×10^-1,-7.898880541×10^-2,1.957604438×10^-1,7.126189768×10^-2
7.738155833×10^-1,-4.892837256×10^-2,2.426653653×10^-1,5.677137151×10^-2
7.837645833×10^-1,-1.095376816×10^-2,2.760307491×10^-1,4.001358896×10^-2
7.937145833×10^-1,1.384904981×10^-2,2.798196077×10^-1,2.578538284×10^-2
8.036645833×10^-1,1.239236910×10^-2,2.645357251×10^-1,1.399282645×10^-2
8.136145833×10^-1,-1.552874316×10^-2,2.621412873×10^-1,1.920718234×10^-3
8.235635833×10^-1,-5.012593791×10^-2,2.679562867×10^-1,-7.838089950×10^-3
8.335135833×10^-1,-7.091963291×10^-2,2.806960642×10^-1,-1.021416299×10^-2
8.434635833×10^-1,-7.022166252×10^-2,2.857921720×10^-1,-6.127452478×10^-3
8.534135833×10^-1,-6.198131293×10^-2,2.754143775×10^-1,7.036286406×10^-3
8.633625833×10^-1,-5.734788999×10^-2,2.863236368×10^-1,1.752881519×10^-2
8.733125833×10^-1,-6.561061740×10^-2,3.215489984×10^-1,2.249933966×10^-2
8.832625833×10^-1,-8.482220769×10^-2,3.609842062×10^-1,3.017808124×10^-2
8.932125833×10^-1,-1.043716744×10^-1,3.994205594×10^-1,3.812255710×10^-2
9.031615833×10^-1,-1.265311837×10^-1,4.252531230×10^-1,4.474189132×10^-2
9.131115833×10^-1,-1.492367685×10^-1,4.506090879×10^-1,5.379077792×10^-2
9.230615833×10^-1,-1.573127657×10^-1,4.812689722×10^-1,5.374376103×10^-2
9.330115833×10^-1,-1.457996517×10^-1,4.925117493×10^-1,4.443734512×10^-2
9.429605833×10^-1,-1.289356202×10^-1,4.774458706×10^-1,3.285736963×10^-2
9.529105833×10^-1,-1.182459742×10^-1,4.574860036×10^-1,1.874581166×10^-2
9.628605833×10^-1,-1.183624417×10^-1,4.937974811×10^-1,8.501571137×10^-4
9.728105833×10^-1,-1.277487427×10^-1,5.264143348×10^-1,1.822477207×10^-3
9.827595833×10^-1,-1.500371099×10^-1,5.950822830×10^-1,3.215637803×10^-2
9.927095833×10^-1,-1.823766828×10^-1,6.363689899×10^-1,5.791287124×10^-2
1.002659583×10^0,-2.191485316×10^-1,6.499066353×10^-1,4.819633067×10^-2
1.012608583×10^0,-2.549738884×10^-1,6.500789523×10^-1,9.528560564×10^-3
1.022558583×10^0,-2.830718458×10^-1,6.522067785×10^-1,-3.643564880×10^-2
1.032508583×10^0,-3.033568859×10^-1,6.792165637×10^-1,-6.719941646×10^-2
1.042458583×10^0,-3.056737483×10^-1,6.998378038×10^-1,-7.258754224×10^-2
1.052408583×10^0,-2.954522669×10^-1,6.906240582×10^-1,-7.285971940×10^-2
1.062357583×10^0,-2.843236029×10^-1,6.808676720×10^-1,-8.752763271×10^-2
1.072307583×10^0,-2.858988643×10^-1,7.008190155×10^-1,-1.046477631×10^-1
1.082257583×10^0,-3.002334535×10^-1,7.190957069×10^-1,-1.229402870×10^-1
1.092206583×10^0,-3.517291546×10^-1,5.195676684×10^-1,-1.129827276×10^-1
1.102156583×10^0,-3.812773228×10^-1,3.629463017×10^-1,-1.282739341×10^-1
1.112106583×10^0,-4.244767129×10^-1,4.722538888×10^-1,-1.758560985×10^-1
1.122056583×10^0,-4.808005393×10^-1,6.014101505×10^-1,-2.123673409×10^-1
1.132005583×10^0,-5.489205122×10^-1,7.132075429×10^-1,-2.175317556×10^-1
1.141955583×10^0,-6.045951247×10^-1,6.194720864×10^-1,-2.175360173×10^-1
1.151905583×10^0,-6.267531514×10^-1,4.281415939×10^-1,-1.904287785×10^-1
1.161854708×10^0,-5.951622128×10^-1,1.856210828×10^-1,-8.342216164×10^-2
1.171803708×10^0,-5.366768241×10^-1,-6.498929113×10^-2,6.496837735×10^-2
1.181753708×10^0,-4.622231424×10^-1,-1.410138905×10^-1,1.974646449×10^-1
1.191703708×10^0,-3.675682545×10^-1,-2.062436193×10^-2,2.540805340×10^-1
1.201653708×10^0,-2.563485205×10^-1,3.143902421×10^-1,1.718133986×10^-1
1.211602708×10^0,-1.394916922×10^-1,7.401474118×10^-1,2.161858045×10^-2
1.221552708×10^0,-2.968139760×10^-2,1.052815080×10^0,-9.939150512×10^-2
1.231502708×10^0,3.913601488×10^-2,1.235251188×10^0,-1.402814090×10^-1
1.241452708×10^0,6.925921142×10^-2,1.266348839×10^0,-1.179475859×10^-1
1.251401708×10^0,3.954765573×10^-2,9.172834158×10^-1,-8.018769324×10^-2
1.261351708×10^0,-7.474423200×10^-2,1.917387843×10^-1,-3.696573153×10^-2
1.271301708×10^0,-1.901832074×10^-1,2.146435678×10^-1,6.747598201×10^-2
1.281251708×10^0,-2.623507679×10^-1,4.397466183×10^-1,1.828370541×10^-1
1.291200708×10^0,-3.145713508×10^-1,4.388357997×10^-1,2.975705564×10^-1
1.301150708×10^0,-3.317335546×10^-1,3.636298180×10^-1,4.161058962×10^-1
1.311100708×10^0,-2.995508611×10^-1,2.592794597×10^-1,4.794851542×10^-1
1.321050708×10^0,-2.096174359×10^-1,1.400786340×10^-1,5.804607272×10^-1
1.330999708×10^0,-1.015479639×10^-1,8.507690579×10^-2,6.617827415×10^-1
1.340949708×10^0,-2.538863569×10^-3,1.897814274×10^-1,6.231234670×10^-1
1.350899708×10^0,1.464626044×10^-1,2.817209661×10^-1,4.743305147×10^-1
1.360849708×10^0,2.863434851×10^-1,4.670384526×10^-1,3.378914893×10^-1
1.370798708×10^0,3.896024823×10^-1,5.719515085×10^-1,2.817009389×10^-1
1.380748708×10^0,4.530216157×10^-1,6.145035028×10^-1,3.048223257×10^-1
1.390698708×10^0,4.277093410×10^-1,5.436341166×10^-1,3.843637407×10^-1
1.400648708×10^0,3.406921923×10^-1,5.042847395×10^-1,4.787340462×10^-1
1.410597708×10^0,2.286961526×10^-1,6.198750138×10^-1,5.104117990×10^-1
1.420547708×10^0,8.934522420×10^-2,6.846172810×10^-1,4.761823416×10^-1
1.430497708×10^0,-8.414240927×10^-2,6.907896996×10^-1,4.343456924×10^-1
1.440447708×10^0,-3.052968979×10^-1,6.970340014×10^-1,3.968979120×10^-1
1.450396708×10^0,-6.051299572×10^-1,6.870000362×10^-1,4.624079466×10^-1
1.460346708×10^0,-9.539892673×10^-1,5.507536530×10^-1,6.085280776×10^-1
1.470296708×10^0,-1.295139670×10^0,2.660518885×10^-1,7.751199603×10^-1
1.480246708×10^0,-1.566222548×10^0,1.659768051×10^-3,9.887649417×10^-1
1.490195708×10^0,-1.750531673×10^0,-2.514649034×10^-1,1.197931170×10^0
1.500145708×10^0,-1.849048376×10^0,-4.815090895×10^-1,1.328674197×10^0
1.510095708×10^0,-1.892699718×10^0,-5.926864743×10^-1,1.415580869×10^0
1.520045708×10^0,-1.869957447×10^0,-5.313513875×10^-1,1.466167808×10^0
1.529994708×10^0,-1.801070571×10^0,-3.534344435×10^-1,1.407000065×10^0
1.539944708×10^0,-1.725296497×10^0,-8.570761234×10^-2,1.282222867×10^0
1.549894708×10^0,-1.649838805×10^0,1.064977795×10^-1,1.178641081×10^0
1.559844708×10^0,-1.542574286×10^0,2.222001255×10^-1,1.190945506×10^0
1.569793708×10^0,-1.396219015×10^0,3.140868843×10^-1,1.328762770×10^0
1.579743708×10^0,-1.184246182×10^0,2.966691256×10^-1,1.487014771×10^0
1.589693708×10^0,-9.536632299×10^-1,1.105676666×10^-1,1.576454878×10^0
1.599643708×10^0,-7.646687627×10^-1,-8.562106639×10^-3,1.609768987×10^0
1.609592708×10^0,-6.586033106×10^-1,-1.137607023×10^-1,1.638923168×10^0
1.619542708×10^0,-5.347411633×10^-1,-1.516926736×10^-1,1.683645606×10^0
1.629492708×10^0,-3.830504119×10^-1,-1.010284200×10^-1,1.766628861×10^0
1.639442708×10^0,-2.320848107×10^-1,-8.724888414×10^-2,1.861287713×10^0
1.649391708×10^0,-1.211819947×10^-1,-1.723035872×10^-1,1.964993834×10^0
