"event","experiment time","system time","system time text"
"START",0.000000000000000×10^0,1.758405562129079×10^9,"2025-09-20 23:59:22.129 UTC+02:00"
"PAUSE",2.377905245832517×10^1,1.758405585908022×10^9,"2025-09-20 23:59:45.908 UTC+02:00"
