"event","experiment time","system time","system time text"
"START",0.000000000000000×10^0,1.758473940167163×10^9,"2025-09-21 18:59:00.167 UTC+02:00"
"PAUSE",2.700240633333306×10^1,1.758473967169321×10^9,"2025-09-21 18:59:27.169 UTC+02:00"
