"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
7.357730000×10^-1,-9.628128204×10^0,4.258195038×10^0,-1.954186249×10^0
7.457220000×10^-1,-9.639803925×10^0,4.195625153×10^0,-8.084687805×10^-1
7.556722500×10^-1,-9.354197845×10^0,3.714525604×10^0,1.387165375×10^0
7.656212500×10^-1,-8.565338287×10^0,3.975133667×10^0,3.460653534×10^0
7.755712500×10^-1,-7.917036438×10^0,5.135820007×10^0,3.895798645×10^0
7.855202500×10^-1,-7.526199188×10^0,6.010600891×10^0,3.172652435×10^0
7.954692500×10^-1,-7.533533936×10^0,6.538253632×10^0,1.506616974×10^0
8.054192500×10^-1,-7.688761139×10^0,6.679410095×10^0,1.474433899×10^-1
8.153682500×10^-1,-7.892637177×10^0,5.382357330×10^0,-1.995350647×10^-1
8.253172500×10^-1,-7.333849182×10^0,5.701793060×10^0,4.881349182×10^-1
8.352672500×10^-1,-7.663463745×10^0,6.053561554×10^0,1.187181244×10^0
8.452162500×10^-1,-6.415957947×10^0,6.607559509×10^0,1.459315338×10^0
8.551662500×10^-1,-5.712271271×10^0,7.423961792×10^0,4.754113770×10^-1
8.651152500×10^-1,-4.988077240×10^0,7.736212463×10^0,-5.060975647×10^-1
8.750642500×10^-1,-4.180207214×10^0,7.461234283×10^0,-1.186133423×10^0
8.850142500×10^-1,-3.838018799×10^0,7.895930328×10^0,-2.600242767×10^0
8.949632500×10^-1,-3.107088776×10^0,8.117619324×10^0,-2.474803619×10^0
9.049132500×10^-1,-2.974614258×10^0,7.771539001×10^0,-1.416654053×10^0
9.148622500×10^-1,-2.918331299×10^0,6.743476868×10^0,-6.279441833×10^-1
9.248112500×10^-1,-2.149979095×10^0,4.932093658×10^0,1.224304047×10^0
9.347612500×10^-1,-8.183482361×10^-1,3.102598114×10^0,1.453327789×10^0
9.447102500×10^-1,-2.633024597×10^-1,2.544259186×10^0,7.943980408×10^-1
9.546592500×10^-1,-1.656455383×10^0,2.395767975×10^0,-1.471739502×10^0
9.646092500×10^-1,-4.227059784×10^0,3.223097534×10^0,-6.243067474×10^0
9.745582500×10^-1,-5.113217010×10^0,4.607119446×10^0,-1.431622925×10^1
9.845082500×10^-1,-1.272653503×10^0,4.609813843×10^0,-1.576491669×10^1
9.944572500×10^-1,1.937421112×10^0,4.000131683×10^0,-6.198011169×10^0
1.004406250×10^0,2.782413940×10^0,4.178410950×10^0,4.352947998×10^-1
1.014356250×10^0,-3.761677551×10^-1,3.323538666×10^0,-4.990621948×10^-1
1.024305250×10^0,-9.862989807×10^-1,2.196981354×10^0,-3.572620697×10^0
1.034255250×10^0,1.089284821×10^0,1.902843018×10^0,-3.585643616×10^0
1.044204250×10^0,1.208287354×10^0,1.840722198×10^0,-3.516936493×10^0
1.054153250×10^0,1.010249176×10^0,2.049537964×10^0,-4.409230957×10^0
1.064103250×10^0,7.616162109×10^-1,3.476370850×10^0,-5.342390442×10^0
1.074052250×10^0,1.238374786×10^0,1.796234711×10^1,-3.340004425×10^0
1.084001250×10^0,5.068310394×10^0,3.854050461×10^1,2.920127563×10^0
