"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
5.305833332×10^-3,-5.029596016×10^-2,-1.625795215×10^-1,-4.197663367×10^-1
1.525483333×10^-2,-1.557406187×10^-1,-1.317843348×10^-1,-2.902339101×10^-1
2.520483333×10^-2,-2.229990214×10^-1,-1.025672853×10^-1,-1.747240573×10^-1
3.515483333×10^-2,-2.462582588×10^-1,-9.620819241×10^-2,-8.141594380×10^-2
4.510383333×10^-2,-2.367851436×10^-1,-1.406233907×10^-1,-2.477171645×10^-2
5.505383333×10^-2,-2.121413201×10^-1,-2.373624593×10^-1,6.918837316×10^-3
6.500283333×10^-2,-1.732271910×10^-1,-3.924569190×10^-1,4.019251093×10^-2
7.495283333×10^-2,-8.935999870×10^-2,-5.700631142×10^-1,8.024857938×10^-2
8.490183333×10^-2,7.429477572×10^-2,-7.036762238×10^-1,1.167401746×10^-1
9.485183333×10^-2,3.152828813×10^-1,-7.541230917×10^-1,1.227469370×10^-1
1.048008333×10^-1,6.105021834×10^-1,-7.229609489×10^-1,6.137554348×10^-2
1.147508333×10^-1,9.342663884×10^-1,-6.232873201×10^-1,-5.788506567×10^-2
1.246998333×10^-1,1.268664002×10^0,-4.457304180×10^-1,-2.084090710×10^-1
1.346498333×10^-1,1.576440454×10^0,-1.890376508×10^-1,-3.551226258×10^-1
1.445988333×10^-1,1.800950885×10^0,8.953938633×10^-2,-4.681524932×10^-1
1.545488333×10^-1,1.906028509×10^0,3.355582058×10^-1,-5.364839435×10^-1
1.644988333×10^-1,1.895194292×10^0,5.285352468×10^-1,-5.819296837×10^-1
1.744478333×10^-1,1.790092111×10^0,7.613626719×10^-1,-6.415833831×10^-1
1.843978333×10^-1,1.710850120×10^0,1.119515896×10^0,-7.212530375×10^-1
1.943468333×10^-1,1.615378141×10^0,9.519085288×10^-1,-8.169993162×10^-1
2.042968333×10^-1,1.528417945×10^0,7.659514546×10^-1,-9.227338433×10^-1
2.142458333×10^-1,1.386403561×10^0,6.275467277×10^-1,-1.059114575×10^0
2.241958333×10^-1,1.194233060×10^0,5.165946484×10^-1,-1.207300305×10^0
2.341448333×10^-1,9.728927016×10^-1,3.994589746×10^-1,-1.330286145×10^0
2.440948333×10^-1,7.586044073×10^-1,2.949093282×10^-1,-1.415183663×10^0
2.540438333×10^-1,5.800812840×10^-1,2.284778506×10^-1,-1.472840548×10^0
2.639938333×10^-1,4.489077926×10^-1,1.975284070×10^-1,-1.522249460×10^0
2.739438333×10^-1,3.461633027×10^-1,1.663688868×10^-1,-1.572115779×10^0
2.838928333×10^-1,2.718414068×10^-1,1.235663295×10^-1,-1.622794628×10^0
2.938428333×10^-1,2.361137569×10^-1,9.735789150×10^-2,-1.659630656×10^0
3.037918333×10^-1,2.694442868×10^-1,9.195608646×10^-2,-1.672102571×10^0
3.137418333×10^-1,4.147066772×10^-1,1.384658068×10^-1,-1.689012051×10^0
3.236908333×10^-1,6.296697855×10^-1,2.855002582×10^-1,-1.746556640×10^0
3.336408333×10^-1,8.391963840×10^-1,4.461043179×10^-1,-1.834283352×10^0
3.435898333×10^-1,1.007463336×10^0,5.940784812×10^-1,-1.907474041×10^0
3.535398333×10^-1,1.125411034×10^0,7.624188066×10^-1,-1.933211446×10^0
3.634888333×10^-1,1.209903002×10^0,9.330291152×10^-1,-1.901237249×10^0
3.734388333×10^-1,1.295010805×10^0,1.123169184×10^0,-1.863238215×10^0
3.833888333×10^-1,1.387346268×10^0,1.306001067×10^0,-1.859586835×10^0
3.933378333×10^-1,1.493323565×10^0,1.454136729×10^0,-1.894227624×10^0
4.032878333×10^-1,1.606850624×10^0,1.622940660×10^0,-1.952166319×10^0
4.132368333×10^-1,1.719032764×10^0,1.799796581×10^0,-1.974833608×10^0
4.231868333×10^-1,1.826660514×10^0,1.901803493×10^0,-1.921337247×10^0
4.331358333×10^-1,1.901390672×10^0,1.971554637×10^0,-1.790262938×10^0
4.430858333×10^-1,1.863946795×10^0,2.086276531×10^0,-1.557247996×10^0
4.530348333×10^-1,1.693915248×10^0,2.550696373×10^0,-1.221361399×10^0
4.629848333×10^-1,1.549952149×10^0,2.897382975×10^0,-8.694286942×10^-1
4.729338333×10^-1,1.512304664×10^0,2.778989553×10^0,-5.033848882×10^-1
4.828842083×10^-1,1.492197394×10^0,2.628041029×10^0,-7.494206727×10^-2
4.928332083×10^-1,1.437245131×10^0,2.683588505×10^0,3.427558243×10^-1
5.027832083×10^-1,1.396249533×10^0,2.795380354×10^0,6.145656705×10^-1
5.127332083×10^-1,1.359735489×10^0,2.853305101×10^0,6.733043194×10^-1
5.226822083×10^-1,1.313888669×10^0,2.842463732×10^0,5.407035947×10^-1
5.326322083×10^-1,1.474365473×10^0,2.532850742×10^0,1.018058509×10^-1
