"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
3.308333326×10^-4,-2.184856567×10^0,4.231101379×10^0,9.124126282×10^0
1.028083333×10^-2,-2.105072479×10^0,4.104165344×10^0,8.901539154×10^0
2.022983333×10^-2,-1.873653717×10^0,3.910917206×10^0,8.816066895×10^0
3.017983333×10^-2,-1.564546509×10^0,3.852089539×10^0,8.837921448×10^0
4.012883333×10^-2,-1.377136230×10^0,3.825744324×10^0,8.732540588×10^0
5.007883333×10^-2,-1.255888367×10^0,3.875590668×10^0,8.519383850×10^0
6.002783333×10^-2,-1.108894043×10^0,3.972139893×10^0,8.302933960×10^0
6.997783333×10^-2,-1.060843964×10^0,4.015100555×10^0,8.180937653×10^0
7.992683333×10^-2,-9.442364502×10^-1,4.056564331×10^0,8.451125793×10^0
8.987683333×10^-2,-7.214996338×10^-1,4.110751648×10^0,9.032217407×10^0
9.982683333×10^-2,-3.510200500×10^-1,4.144132233×10^0,9.689500580×10^0
1.097758333×10^-1,3.616479492×10^-1,4.182153168×10^0,1.033705399×10^1
1.197258333×10^-1,1.048719177×10^0,4.077371063×10^0,1.078641953×10^1
1.296748333×10^-1,1.475631409×10^0,3.886068878×10^0,1.115450409×10^1
1.396248333×10^-1,1.682650909×10^0,3.621269531×10^0,1.124536514×10^1
1.495738333×10^-1,1.586550751×10^0,3.391796722×10^0,1.081935104×10^1
1.595238333×10^-1,1.170715485×10^0,3.495231628×10^0,1.008303223×10^1
1.694728333×10^-1,7.212002563×10^-1,3.841761017×10^0,9.191336517×10^0
1.794228333×10^-1,3.629951477×10^-1,4.237238617×10^0,8.390052795×10^0
1.893718333×10^-1,1.429527283×10^-1,4.585414581×10^0,8.044571228×10^0
1.993218333×10^-1,-1.956431580×10^-1,4.925357666×10^0,7.662715302×10^0
2.092718333×10^-1,-5.354365540×10^-1,5.166655884×10^0,7.291786652×10^0
2.192208333×10^-1,-6.830296326×10^-1,5.164560242×10^0,6.746320953×10^0
2.291708333×10^-1,-9.060658264×10^-1,5.057383118×10^0,6.313271484×10^0
2.391198333×10^-1,-1.285975800×10^0,5.043462067×10^0,6.019582214×10^0
2.490698333×10^-1,-1.765578461×10^0,5.150489502×10^0,6.050418091×10^0
2.590188333×10^-1,-2.219135284×10^0,5.376669159×10^0,6.453230438×10^0
2.689688333×10^-1,-2.404749298×10^0,5.510490875×10^0,6.852300568×10^0
2.789178333×10^-1,-2.464624786×10^0,5.424270172×10^0,7.097640381×10^0
2.888678333×10^-1,-2.546953583×10^0,5.396428070×10^0,7.263046417×10^0
2.988168333×10^-1,-2.770588531×10^0,5.508844299×10^0,7.575895844×10^0
3.087668333×10^-1,-3.229085083×10^0,5.735772400×10^0,8.201445007×10^0
3.187168333×10^-1,-3.548520813×10^0,6.136040039×10^0,9.260043640×10^0
3.286658333×10^-1,-3.476370850×10^0,6.129453735×10^0,1.002061203×10^1
3.386158333×10^-1,-3.428021393×10^0,5.704936523×10^0,1.010264145×10^1
3.485648333×10^-1,-3.670666809×10^0,5.564079437×10^0,9.932744751×10^0
3.585148333×10^-1,-3.948040009×10^0,5.734275513×10^0,9.627679138×10^0
3.684638333×10^-1,-4.302203522×10^0,5.926475830×10^0,9.239087219×10^0
3.784138333×10^-1,-4.618046722×10^0,6.079607391×10^0,9.003477173×10^0
3.883628333×10^-1,-4.747078400×10^0,5.992189178×10^0,8.689879303×10^0
3.983128333×10^-1,-4.914131012×10^0,5.852529602×10^0,8.384664001×10^0
4.082618333×10^-1,-4.910538483×10^0,5.699248352×10^0,7.978857880×10^0
