"event","experiment time","system time","system time text"
"START",0.000000000000000×10^0,1.758474893254676×10^9,"2025-09-21 19:14:53.255 UTC+02:00"
"PAUSE",2.576615929166655×10^1,1.758474919020727×10^9,"2025-09-21 19:15:19.021 UTC+02:00"
