"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
7.465107083×10^-1,-6.357279968×10^0,3.339106293×10^0,7.796686707×10^0
7.564597083×10^-1,-6.409221954×10^0,3.057541809×10^0,8.118816833×10^0
7.664087083×10^-1,-6.418203278×10^0,2.986739044×10^0,8.203390961×10^0
7.763587083×10^-1,-6.526278534×10^0,2.923121338×10^0,7.958799591×10^0
7.863077083×10^-1,-6.573580170×10^0,2.909200287×10^0,7.441026306×10^0
7.962567083×10^-1,-6.598278809×10^0,2.974165192×10^0,6.626270599×10^0
8.062057083×10^-1,-6.552923126×10^0,2.818039856×10^0,4.755610657×10^0
8.161547083×10^-1,-6.773414612×10^0,2.946622467×10^0,2.906505890×10^0
8.261047083×10^-1,-6.786886597×10^0,3.246748352×10^0,2.403551788×10^0
8.360537083×10^-1,-6.616391144×10^0,3.129392395×10^0,2.592159576×10^0
8.460027083×10^-1,-6.514453125×10^0,3.035088501×10^0,3.227139130×10^0
8.559517083×10^-1,-6.408623199×10^0,3.197650452×10^0,3.538791046×10^0
8.659017083×10^-1,-6.578819275×10^0,3.585643616×10^0,3.781586151×10^0
8.758507083×10^-1,-6.943460999×10^0,4.067790985×10^0,3.838617554×10^0
8.857997083×10^-1,-7.345375214×10^0,4.481081543×10^0,3.348686371×10^0
8.957487083×10^-1,-7.958200836×10^0,4.897216187×10^0,2.922971649×10^0
9.056977083×10^-1,-8.177644501×10^0,5.475613403×10^0,2.646795959×10^0
9.156477083×10^-1,-7.358098755×10^0,7.123835907×10^0,2.261796570×10^0
9.255967083×10^-1,-6.956783295×10^0,8.323141937×10^0,2.089804230×10^0
9.355457083×10^-1,-6.594237213×10^0,8.746611328×10^0,2.135010223×10^0
9.454947083×10^-1,-6.285579071×10^0,8.713829498×10^0,2.632725220×10^0
9.554437083×10^-1,-6.697522430×10^0,8.378526764×10^0,3.649261322×10^0
9.653937083×10^-1,-7.642956390×10^0,7.903863831×10^0,4.664599915×10^0
9.753427083×10^-1,-8.422385559×10^0,7.294031982×10^0,5.228627014×10^0
9.852917083×10^-1,-9.138346710×10^0,6.608906708×10^0,5.301226044×10^0
9.952407083×10^-1,-9.926008759×10^0,6.054010620×10^0,5.165458374×10^0
1.005189708×10^0,-1.046428940×10^1,5.703888702×10^0,5.020709381×10^0
1.015139708×10^0,-1.069076843×10^1,5.246290283×10^0,4.875211945×10^0
1.025088708×10^0,-1.056203613×10^1,4.914879456×10^0,4.787194977×10^0
1.035037708×10^0,-1.011356873×10^1,5.012626190×10^0,4.825215912×10^0
1.044986708×10^0,-9.443562012×10^0,5.217999115×10^0,4.938380585×10^0
1.054935708×10^0,-8.815168762×10^0,5.599855042×10^0,4.771926727×10^0
1.064885708×10^0,-8.523724823×10^0,5.557642822×10^0,4.550537109×10^0
1.074834708×10^0,-8.490793304×10^0,5.398523712×10^0,4.294868774×10^0
1.084783708×10^0,-8.514743500×10^0,5.133125610×10^0,4.203858032×10^0
1.094732708×10^0,-8.750503235×10^0,4.649032288×10^0,4.460574188×10^0
1.104681708×10^0,-8.930129700×10^0,4.376598816×10^0,4.786745911×10^0
1.114631708×10^0,-8.796906738×10^0,4.707859955×10^0,4.922363892×10^0
1.124580708×10^0,-8.601562958×10^0,4.836143188×10^0,5.264851685×10^0
1.134529708×10^0,-8.459807739×10^0,5.003495178×10^0,5.883664856×10^0
1.144478708×10^0,-8.371192017×10^0,5.639821930×10^0,5.631888428×10^0
1.154427708×10^0,-7.818092194×10^0,5.831273804×10^0,5.512885895×10^0
1.164377708×10^0,-7.265591125×10^0,5.995931396×10^0,5.452860718×10^0
1.174326708×10^0,-6.671626282×10^0,6.108197937×10^0,4.542453918×10^0
1.184275708×10^0,-6.183341675×10^0,7.248975677×10^0,3.324287109×10^0
1.194224708×10^0,-5.245092773×10^0,7.955805817×10^0,3.258124695×10^0
1.204173708×10^0,-4.576732635×10^0,8.746761017×10^0,3.788322144×10^0
1.214123708×10^0,-4.279899902×10^0,9.665550385×10^0,3.183280334×10^0
1.224072708×10^0,-3.893553314×10^0,9.981543274×10^0,2.148931274×10^0
1.234021708×10^0,-3.852388916×10^0,9.398655396×10^0,2.369123383×10^0
1.243970708×10^0,-4.557722168×10^0,9.044940948×10^0,2.623594208×10^0
1.253919708×10^0,-5.528154144×10^0,8.421487427×10^0,2.559826813×10^0
1.263869708×10^0,-6.034251709×10^0,7.218439178×10^0,2.050436096×10^0
1.273818708×10^0,-6.431226196×10^0,6.092480621×10^0,1.775008850×10^0
1.283767708×10^0,-6.612050171×10^0,5.414241028×10^0,1.387614441×10^0
1.293716708×10^0,-6.201903076×10^0,4.830604706×10^0,1.429527283×10^0
