"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.385458327×10^-3,1.676513672×10^-1,7.707472229×10^0,6.306535492×10^0
1.233545833×10^-2,5.978567505×10^-1,7.762407990×10^0,5.490432587×10^0
2.228545833×10^-2,5.049000549×10^-1,7.920928345×10^0,5.162464600×10^0
3.223545833×10^-2,6.119274902×10^-1,8.029602356×10^0,5.205425262×10^0
4.218545833×10^-2,4.230203247×10^-1,8.087980957×10^0,5.182822266×10^0
5.213545833×10^-2,2.365081787×10^-1,8.114475861×10^0,5.392087097×10^0
6.208545832×10^-2,2.543211365×10^-1,8.054750061×10^0,5.685177612×10^0
7.203545833×10^-2,4.164340210×10^-1,8.078400879×10^0,6.118676147×10^0
8.198545834×10^-2,3.502716064×10^-1,7.976163483×10^0,6.817872162×10^0
9.193545833×10^-2,3.835025024×10^-1,7.809709625×10^0,7.616311798×10^0
1.018854583×10^-1,5.551954651×10^-1,7.686066742×10^0,8.212971039×10^0
1.118364583×10^-1,5.495072937×10^-1,7.544760590×10^0,8.235723724×10^0
1.217864583×10^-1,4.331991577×10^-1,7.674091644×10^0,7.755222931×10^0
1.317364583×10^-1,3.236270142×10^-1,7.848479004×10^0,6.948849792×10^0
1.416864583×10^-1,1.206491089×10^-1,8.042924652×10^0,6.518195343×10^0
1.516364583×10^-1,-5.403762817×10^-2,8.680149536×10^0,5.667214966×10^0
1.615864583×10^-1,-6.074368286×10^-1,8.793314209×10^0,4.658312988×10^0
1.715364583×10^-1,-1.218615875×10^0,8.542136536×10^0,4.179159393×10^0
1.814864583×10^-1,-1.295256500×10^0,8.383316803×10^0,4.504432983×10^0
1.914364583×10^-1,-1.055006104×10^0,8.055797882×10^0,5.597460022×10^0
2.013864583×10^-1,-1.026116180×10^0,7.580087128×10^0,6.668033752×10^0
2.113364583×10^-1,-1.420845337×10^0,7.083120575×10^0,7.271878052×10^0
2.212864583×10^-1,-2.266885986×10^0,6.692732391×10^0,7.024891663×10^0
2.312364583×10^-1,-2.586621094×10^0,6.443201294×10^0,6.403982849×10^0
2.411864583×10^-1,-2.529889069×10^0,6.262976074×10^0,6.131998444×10^0
2.511364583×10^-1,-2.717149658×10^0,6.101312256×10^0,5.919141083×10^0
2.610864583×10^-1,-2.665956116×10^0,6.073021088×10^0,5.929619293×10^0
2.710364583×10^-1,-2.370919647×10^0,5.880521393×10^0,5.808371429×10^0
2.809864583×10^-1,-2.465073853×10^0,5.444029083×10^0,5.487588501×10^0
2.909364583×10^-1,-2.535876617×10^0,5.214855652×10^0,4.907694397×10^0
3.008864583×10^-1,-2.607427826×10^0,5.054688721×10^0,4.277953949×10^0
3.108364583×10^-1,-2.875819702×10^0,4.859794006×10^0,4.255949707×10^0
3.207864583×10^-1,-3.252436523×10^0,4.702471161×10^0,4.053121490×10^0
3.307364583×10^-1,-3.670217743×10^0,4.582570496×10^0,3.623664551×10^0
3.406874583×10^-1,-4.537663879×10^0,4.817731476×10^0,4.073329468×10^0
3.506374583×10^-1,-5.372028809×10^0,5.332061920×10^0,4.237687683×10^0
3.605874583×10^-1,-5.713917847×10^0,5.603597260×10^0,2.996917877×10^0
3.705374583×10^-1,-6.590494995×10^0,5.621709595×10^0,1.932930450×10^0
3.804874583×10^-1,-7.188351746×10^0,6.042484589×10^0,2.012564850×10^0
3.904374583×10^-1,-7.433841248×10^0,6.356681213×10^0,1.797911224×10^0
4.003874583×10^-1,-7.129224701×10^0,6.349795532×10^0,1.335672455×10^0
4.103374583×10^-1,-6.726861420×10^0,6.308631134×10^0,1.020577698×10^0
4.202874583×10^-1,-6.823111267×10^0,6.306086426×10^0,7.685018921×10^-1
4.302374583×10^-1,-7.544161835×10^0,6.223907318×10^0,4.998106384×10^-1
4.401874583×10^-1,-7.394772491×10^0,6.185736694×10^0,3.284170532×10^-1
4.501374583×10^-1,-7.882458344×10^0,6.049969025×10^0,2.107617188×10^-1
4.600874583×10^-1,-9.444160767×10^0,6.004763031×10^0,-5.438191223×10^-1
4.700374583×10^-1,-9.467212830×10^0,5.934559021×10^0,-9.075627136×10^-1
4.799874583×10^-1,-8.781788177×10^0,5.796546021×10^0,-4.909790039×10^-2
