"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
7.041322500×10^-1,-6.485435367×10^-2,7.207716815×10^-3,5.286578462×10^-2
7.140822500×10^-1,-6.887039542×10^-2,2.361412160×10^-2,5.471002311×10^-2
7.240312500×10^-1,-6.730359048×10^-2,4.237432033×10^-2,4.549329728×10^-2
7.339812500×10^-1,-5.740967765×10^-2,5.237875134×10^-2,2.858009748×10^-2
7.439312500×10^-1,-4.271585867×10^-2,5.849590525×10^-2,1.810190454×10^-2
7.538802500×10^-1,-3.152898327×10^-2,6.916932017×10^-2,1.115771197×10^-2
7.638302500×10^-1,-2.587784827×10^-2,7.805263996×10^-2,1.319102384×10^-2
7.737802500×10^-1,-2.442216314×10^-2,7.620280236×10^-2,2.105347440×10^-2
7.837292500×10^-1,-2.509048209×10^-2,6.526564807×10^-2,2.782977000×10^-2
7.936792500×10^-1,-3.233534470×10^-2,4.278058186×10^-2,3.453347832×10^-2
8.036282500×10^-1,-4.407098517×10^-2,1.784841903×10^-2,4.032699764×10^-2
8.135782500×10^-1,-6.091041863×10^-2,-9.661503136×10^-3,4.744083434×10^-2
8.235282500×10^-1,-7.297690958×10^-2,-3.144562989×10^-2,5.621945113×10^-2
8.334772500×10^-1,-7.818844914×10^-2,-4.677718505×10^-2,6.999278814×10^-2
8.434272500×10^-1,-7.516534626×10^-2,-5.489921570×10^-2,7.821817696×10^-2
8.533762500×10^-1,-7.468544692×10^-2,-5.456978083×10^-2,7.881206274×10^-2
8.633262500×10^-1,-7.370069623×10^-2,-3.915432096×10^-2,7.505113631×10^-2
8.732762500×10^-1,-6.962312758×10^-2,-1.346627064×10^-2,7.050432265×10^-2
8.832252500×10^-1,-5.787008256×10^-2,1.740957052×10^-2,6.828906387×10^-2
8.931752500×10^-1,-4.229564965×10^-2,4.560632259×10^-2,6.567810476×10^-2
9.031252500×10^-1,-2.784501947×10^-2,6.764071435×10^-2,6.627798826×10^-2
9.130742500×10^-1,-2.009228989×10^-2,8.865971863×10^-2,7.017552108×10^-2
9.230242500×10^-1,-2.711344324×10^-2,9.801790118×10^-2,8.038638532×10^-2
9.329732500×10^-1,-3.903827816×10^-2,9.269211441×10^-2,8.352865279×10^-2
9.429232500×10^-1,-5.502442271×10^-2,6.560515612×10^-2,7.777944952×10^-2
9.528732500×10^-1,-6.661556661×10^-2,1.204046234×10^-2,7.643242180×10^-2
9.628222500×10^-1,-7.932858914×10^-2,-4.216117412×10^-2,7.890044898×10^-2
9.727722500×10^-1,-9.271949530×10^-2,-8.267611265×10^-2,8.449788392×10^-2
9.827212500×10^-1,-1.168968081×10^-1,-1.025397629×10^-1,9.427171946×10^-2
9.926712500×10^-1,-1.466118246×10^-1,-1.066631302×10^-1,1.073861867×10^-1
1.002621250×10^0,-1.782709807×10^-1,-8.562825620×10^-2,1.123081669×10^-1
1.012570250×10^0,-2.024836391×10^-1,-6.484761089×10^-2,1.200880557×10^-1
1.022520250×10^0,-2.231625766×10^-1,-4.300979152×10^-2,1.236307919×10^-1
1.032470250×10^0,-2.401215881×10^-1,-3.861638252×10^-4,1.215207726×10^-1
1.042419250×10^0,-2.424146533×10^-1,5.032666773×10^-2,1.224177405×10^-1
1.052369250×10^0,-2.385408282×10^-1,1.129583642×10^-1,1.219466403×10^-1
1.062318250×10^0,-2.354222834×10^-1,1.827202886×10^-1,1.146476418×10^-1
1.072268250×10^0,-2.339743227×10^-1,2.494364679×10^-1,1.083822846×10^-1
1.082218250×10^0,-2.347356230×10^-1,3.055358827×10^-1,1.079375520×10^-1
1.092167250×10^0,-2.403407842×10^-1,3.405612409×10^-1,1.157163754×10^-1
1.102117250×10^0,-2.451470196×10^-1,3.542003930×10^-1,1.316874772×10^-1
1.112066250×10^0,-2.447126657×10^-1,3.327403665×10^-1,1.417792588×10^-1
1.122016250×10^0,-2.504890859×10^-1,2.795795500×10^-1,1.439336836×10^-1
1.131966250×10^0,-2.610506713×10^-1,2.115107626×10^-1,1.391189545×10^-1
1.141915250×10^0,-2.785195708×10^-1,1.356564164×10^-1,1.300498396×10^-1
1.151865250×10^0,-2.985236347×10^-1,6.647547334×10^-2,1.335577518×10^-1
1.161815250×10^0,-3.164924383×10^-1,4.506574944×10^-3,1.415469944×10^-1
1.171764250×10^0,-3.281743824×10^-1,-4.219381884×10^-2,1.469065994×10^-1
1.181714250×10^0,-3.366134167×10^-1,-7.632627338×10^-2,1.566686481×10^-1
1.191663583×10^0,-3.490921855×10^-1,-8.948894590×10^-2,1.763052046×10^-1
