"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
-2.288791671×10^-3,-1.105151825×10^0,6.215075684×10^0,7.680079193×10^0
7.660208328×10^-3,-1.113684082×10^0,6.167474670×10^0,7.672145691×10^0
1.761020834×10^-2,-1.044827271×10^0,6.125861206×10^0,7.672744446×10^0
2.756020833×10^-2,-9.771679688×10^-1,6.106701050×10^0,7.617658997×10^0
3.750920834×10^-2,-8.831634521×10^-1,6.083798676×10^0,7.586074677×10^0
4.745920833×10^-2,-8.348139954×10^-1,6.064189453×10^0,7.584727478×10^0
5.740820833×10^-2,-8.089178467×10^-1,6.070925446×10^0,7.566914520×10^0
6.735820834×10^-2,-7.587721252×10^-1,6.022875366×10^0,7.631430359×10^0
7.730820833×10^-2,-6.849755859×10^-1,6.065237274×10^0,7.730823669×10^0
8.725720833×10^-2,-6.716532898×10^-1,6.071524200×10^0,7.766748962×10^0
9.720720834×10^-2,-7.029382324×10^-1,6.084247742×10^0,7.811505890×10^0
1.071562083×10^-1,-7.485932922×10^-1,6.118676147×10^0,7.767946472×10^0
1.171062083×10^-1,-8.117619324×10^-1,6.129902802×10^0,7.714657288×10^0
1.270562083×10^-1,-8.616082764×10^-1,6.130501556×10^0,7.738906860×10^0
1.370052083×10^-1,-8.852590942×10^-1,6.151158600×10^0,7.734715576×10^0
1.469552083×10^-1,-8.475375366×10^-1,6.157595215×10^0,7.671996002×10^0
1.569052083×10^-1,-8.560697937×10^-1,6.224655762×10^0,7.631879425×10^0
1.668542083×10^-1,-7.643106079×10^-1,6.206992493×10^0,7.691006470×10^0
1.768042083×10^-1,-7.435038757×10^-1,6.197711792×10^0,7.726782074×10^0
1.867522500×10^-1,-7.378157043×10^-1,6.220763855×10^0,7.747289429×10^0
1.967022500×10^-1,-7.450007629×10^-1,6.227200470×10^0,7.750732269×10^0
2.066522500×10^-1,-7.523355103×10^-1,6.225853271×10^0,7.717501373×10^0
2.166012500×10^-1,-7.818241882×10^-1,6.231242065×10^0,7.698790283×10^0
2.265512500×10^-1,-8.542735291×10^-1,6.253545685×10^0,7.686366119×10^0
2.365002500×10^-1,-9.343569946×10^-1,6.268664246×10^0,7.627688141×10^0
2.464502500×10^-1,-9.681866455×10^-1,6.243666229×10^0,7.569159851×10^0
2.564002500×10^-1,-9.964778137×10^-1,6.219716034×10^0,7.508685608×10^0
2.663492500×10^-1,-9.752220154×10^-1,6.188880157×10^0,7.441026306×10^0
2.762992500×10^-1,-9.476792908×10^-1,6.144422607×10^0,7.458689575×10^0
2.862482500×10^-1,-9.478289795×10^-1,6.181395721×10^0,7.467820587×10^0
2.961982500×10^-1,-9.645941162×10^-1,6.169270935×10^0,7.527995453×10^0
3.061482500×10^-1,-9.874964905×10^-1,6.162385254×10^0,7.495662689×10^0
3.160972500×10^-1,-9.686357117×10^-1,6.124214630×10^0,7.387138367×10^0
3.260472500×10^-1,-8.339158630×10^-1,6.151158600×10^0,7.358996887×10^0
3.359972500×10^-1,-7.464976501×10^-1,6.147416382×10^0,7.396718445×10^0
3.459462500×10^-1,-7.447013855×10^-1,6.144721985×10^0,7.496261444×10^0
3.558962500×10^-1,-6.822811890×10^-1,6.131998444×10^0,7.570057983×10^0
3.658452500×10^-1,-6.637197876×10^-1,6.151308289×10^0,7.613168335×10^0
3.757952500×10^-1,-7.310797119×10^-1,6.133345642×10^0,7.585775299×10^0
3.857452500×10^-1,-7.461982727×10^-1,6.149811401×10^0,7.624993744×10^0
3.956942500×10^-1,-7.393125916×10^-1,6.149661713×10^0,7.663014679×10^0
4.056442500×10^-1,-6.997947693×10^-1,6.138734436×10^0,7.680079193×10^0
4.155932500×10^-1,-6.685098267×10^-1,6.144422607×10^0,7.731572113×10^0
4.255432500×10^-1,-6.358776855×10^-1,6.140830078×10^0,7.742649078×10^0
4.354932500×10^-1,-6.277944946×10^-1,6.171067200×10^0,7.733967133×10^0
4.454422500×10^-1,-5.969586182×10^-1,6.156248016×10^0,7.725135498×10^0
4.553922500×10^-1,-5.758525085×10^-1,6.124963074×10^0,7.702382813×10^0
4.653422500×10^-1,-5.569917297×10^-1,6.107299805×10^0,7.657625885×10^0
4.752912500×10^-1,-5.194198608×10^-1,6.099066925×10^0,7.699838104×10^0
4.852412500×10^-1,-5.743556213×10^-1,6.093528442×10^0,7.715705109×10^0
4.951902500×10^-1,-6.406677246×10^-1,6.089486847×10^0,7.749834137×10^0
5.051402500×10^-1,-6.490502930×10^-1,6.121969299×10^0,7.771239624×10^0
5.150902500×10^-1,-6.122268677×10^-1,6.165977783×10^0,7.807464294×10^0
5.250392500×10^-1,-5.745053101×10^-1,6.155948639×10^0,7.768096161×10^0
5.349892500×10^-1,-5.605842590×10^-1,6.160738678×10^0,7.712861023×10^0
5.449382500×10^-1,-4.846920776×10^-1,6.160289612×10^0,7.681725769×10^0
5.548882500×10^-1,-4.351451111×10^-1,6.134243774×10^0,7.643704834×10^0
5.648382500×10^-1,-4.501139832×10^-1,6.110892334×10^0,7.634274445×10^0
5.747872500×10^-1,-4.520599365×10^-1,6.097869415×10^0,7.648494873×10^0
5.847372500×10^-1,-4.382885742×10^-1,6.088289337×10^0,7.659571838×10^0
5.946872500×10^-1,-4.349954224×10^-1,6.092779999×10^0,7.652835846×10^0
6.046362500×10^-1,-4.429289246×10^-1,6.109844513×10^0,7.623347168×10^0
6.145862500×10^-1,-4.245172119×10^-1,6.086792450×10^0,7.613617401×10^0
6.245352500×10^-1,-4.046086121×10^-1,6.074817352×10^0,7.608527985×10^0
6.344852500×10^-1,-4.448748779×10^-1,6.053860931×10^0,7.603887634×10^0
6.444352500×10^-1,-4.773573303×10^-1,6.076912994×10^0,7.581733704×10^0
6.543842500×10^-1,-5.469625854×10^-1,6.098318481×10^0,7.613767090×10^0
