"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.726791667×10^-3,-3.677851868×10^-1,4.274511108×10^0,7.870782623×10^0
1.267579167×10^-2,2.996768188×10^-1,4.333189087×10^0,7.726333008×10^0
2.262379166×10^-2,6.750961304×10^-1,4.351750488×10^0,7.853269043×10^0
3.257179167×10^-2,4.508624268×10^-1,4.285737762×10^0,8.244405670×10^0
4.252079167×10^-2,9.774673462×10^-2,4.545747070×10^0,8.682993622×10^0
5.246879167×10^-2,3.495231628×10^-1,4.715344391×10^0,8.731043701×10^0
6.241679167×10^-2,7.455995178×10^-1,4.616400146×10^0,8.920250244×10^0
7.236479167×10^-2,1.016386414×10^0,4.430636444×10^0,9.418863373×10^0
8.231329167×10^-2,1.481169891×10^0,4.428241425×10^0,9.842332764×10^0
9.226129167×10^-2,1.617985382×10^0,4.407135315×10^0,1.005084915×10^1
1.022092917×10^-1,1.194815369×10^0,4.520599365×10^0,9.571545868×10^0
1.121582917×10^-1,3.769161987×10^-1,4.969066772×10^0,8.325686646×10^0
1.221062917×10^-1,-3.752696228×10^-1,5.445226593×10^0,6.711443481×10^0
1.320542917×10^-1,-5.324427795×10^-1,5.563630371×10^0,5.440286865×10^0
1.420032917×10^-1,-6.852749634×10^-1,5.656886444×10^0,4.022435303×10^0
1.519512917×10^-1,-1.005159760×10^0,6.039640503×10^0,2.659669189×10^0
1.618992917×10^-1,-1.475481720×10^0,6.205944672×10^0,2.194885712×10^0
1.718482917×10^-1,-2.253863068×10^0,5.904471588×10^0,2.019300842×10^0
1.817962917×10^-1,-2.457439728×10^0,5.394482117×10^0,2.977158966×10^0
1.917442917×10^-1,-2.921175385×10^0,5.252128143×10^0,4.426594849×10^0
2.016922917×10^-1,-3.951333160×10^0,5.235363007×10^0,6.076314240×10^0
2.116412917×10^-1,-4.492308197×10^0,5.314099274×10^0,7.059020691×10^0
2.215892917×10^-1,-4.281247101×10^0,5.268444214×10^0,7.327711945×10^0
2.315372917×10^-1,-4.666096802×10^0,5.447022858×10^0,7.729027405×10^0
2.414862917×10^-1,-4.870122528×10^0,5.648204498×10^0,7.920179901×10^0
2.514342917×10^-1,-4.262386322×10^0,5.503904572×10^0,7.697443085×10^0
2.613822917×10^-1,-3.653452606×10^0,5.576054535×10^0,7.194488983×10^0
2.713312917×10^-1,-3.967649231×10^0,5.920787659×10^0,6.341412964×10^0
2.812792917×10^-1,-4.877008209×10^0,5.237009583×10^0,5.982459412×10^0
2.912272917×10^-1,-6.290668488×10^0,5.243146820×10^0,6.033054199×10^0
3.011762917×10^-1,-7.286547546×10^0,5.954766998×10^0,5.968538361×10^0
3.111242917×10^-1,-8.157286835×10^0,6.049220581×10^0,5.195994873×10^0
3.210722917×10^-1,-8.738677826×10^0,5.874234467×10^0,4.140240326×10^0
3.310202917×10^-1,-8.397836609×10^0,5.336253204×10^0,3.032543793×10^0
3.409692917×10^-1,-7.227420502×10^0,3.660937042×10^0,1.909429321×10^0
3.509172917×10^-1,-6.805148621×10^0,4.528383179×10^0,3.564088440×10^0
3.608652917×10^-1,-8.052804108×10^0,5.711971893×10^0,5.929619293×10^0
3.708142917×10^-1,-8.436007233×10^0,5.197641449×10^0,5.944887543×10^0
3.807622917×10^-1,-8.817713470×10^0,5.098547516×10^0,4.375401306×10^0
3.907102917×10^-1,-9.079069977×10^0,4.558320923×10^0,2.635718994×10^0
4.006592917×10^-1,-1.014455429×10^1,4.127816162×10^0,1.456770630×10^0
4.106072917×10^-1,-1.051712952×10^1,3.467539215×10^0,1.808239746×10^0
4.205552917×10^-1,-1.077040283×10^1,2.712509308×10^0,6.680158539×10^0
4.305032917×10^-1,-1.203766754×10^1,1.378782806×10^0,1.767135223×10^1
4.404522917×10^-1,-7.728877716×10^0,4.092489624×10^0,8.283025360×10^0
4.504002917×10^-1,-8.512797546×10^0,3.791465607×10^0,1.948348389×10^0
4.603482917×10^-1,-1.412926804×10^1,3.510499878×10^0,2.380050659×10^-1
4.702972917×10^-1,-1.319446198×10^1,3.854185181×10^0,1.715133362×10^0
4.802452917×10^-1,-9.883048096×10^0,3.624562683×10^0,1.476679230×10^0
4.901932917×10^-1,-8.948242035×10^0,2.976410522×10^0,4.902305603×10^-1
5.001422917×10^-1,-8.460705872×10^0,3.303929443×10^0,1.394500122×10^0
5.100902917×10^-1,-7.800877991×10^0,4.419559479×10^0,1.672472076×10^0
5.200382917×10^-1,-7.895930328×10^0,4.748575287×10^0,2.884950714×10^0
5.299872917×10^-1,-7.587721252×10^0,4.681814117×10^0,3.708687744×10^0
5.399352917×10^-1,-6.863078156×10^0,4.783452759×10^0,5.005141754×10^0
5.498832917×10^-1,-6.473139038×10^0,4.841082916×10^0,6.811585236×10^0
5.598312917×10^-1,-7.527546387×10^0,2.837649078×10^0,8.589138794×10^0
5.697802917×10^-1,-6.275250549×10^0,4.565206604×10^0,6.919211426×10^0
5.797282917×10^-1,-6.718927917×10^0,5.453908539×10^0,6.044729919×10^0
5.896762917×10^-1,-8.002957764×10^0,3.991599426×10^0,4.140839081×10^0
5.996252917×10^-1,-7.484436035×10^0,5.165158997×10^0,2.519261169×10^0
6.095732917×10^-1,-6.560557251×10^0,6.087989960×10^0,2.373464355×10^0
6.195212917×10^-1,-6.810537415×10^0,5.795797577×10^0,2.379751282×10^0
6.294702917×10^-1,-6.980284424×10^0,5.614524536×10^0,2.654130707×10^0
6.394182917×10^-1,-7.296277313×10^0,5.689219208×10^0,2.630330200×10^0
6.493662917×10^-1,-7.763605499×10^0,5.519771576×10^0,2.469564514×10^0
6.593152917×10^-1,-7.908204803×10^0,5.104085999×10^0,2.128423920×10^0
6.692632917×10^-1,-8.241112518×10^0,4.588258667×10^0,2.081870728×10^0
6.792112917×10^-1,-8.852740631×10^0,3.968098297×10^0,2.134261780×10^0
6.891592917×10^-1,-9.512269135×10^0,3.420087891×10^0,2.259850616×10^0
6.991082917×10^-1,-1.002749771×10^1,3.197201385×10^0,2.190844116×10^0
7.090562917×10^-1,-1.042058029×10^1,3.119812317×10^0,2.191592560×10^0
7.190042917×10^-1,-1.071965836×10^1,2.921624451×10^0,2.715353394×10^0
7.289532917×10^-1,-1.123264160×10^1,2.991678772×10^0,3.162323914×10^0
7.389012917×10^-1,-1.139685013×10^1,3.086132355×10^0,3.091521149×10^0
7.488492917×10^-1,-1.159384048×10^1,3.327729950×10^0,3.192860413×10^0
7.587982917×10^-1,-1.163769928×10^1,3.744613037×10^0,3.215613098×10^0
7.687462917×10^-1,-1.141286682×10^1,3.859723663×10^0,3.011587372×10^0
7.786942917×10^-1,-1.099119370×10^1,3.634142761×10^0,2.496059418×10^0
7.886422917×10^-1,-1.027313690×10^1,3.271596680×10^0,2.393822021×10^0
7.985912917×10^-1,-9.671238556×10^0,2.993025970×10^0,2.715952148×10^0
8.085392917×10^-1,-9.328152008×10^0,2.910098419×10^0,2.942431183×10^0
8.184872917×10^-1,-8.932674408×10^0,3.066822510×10^0,2.843786316×10^0
8.284362917×10^-1,-8.386160889×10^0,3.517385559×10^0,2.643353119×10^0
8.383842917×10^-1,-7.910599823×10^0,4.265080719×10^0,2.377655640×10^0
8.483322917×10^-1,-7.332951050×10^0,4.726720734×10^0,2.290536804×10^0
8.582812917×10^-1,-6.569089508×10^0,5.046306152×10^0,2.454146576×10^0
8.682292917×10^-1,-6.121071167×10^0,5.421575775×10^0,3.016377411×10^0
8.781772917×10^-1,-5.861061859×10^0,5.640869751×10^0,3.406765594×10^0
8.881262917×10^-1,-5.666915588×10^0,5.385201416×10^0,3.056643677×10^0
8.980742917×10^-1,-5.480104065×10^0,5.400918732×10^0,2.971620483×10^0
9.080222917×10^-1,-5.135520630×10^0,5.929768982×10^0,3.056194611×10^0
9.179702917×10^-1,-4.941673737×10^0,6.686894531×10^0,2.792143707×10^0
9.279192917×10^-1,-5.242248688×10^0,7.286697235×10^0,2.015858002×10^0
9.378672917×10^-1,-5.463039551×10^0,7.805218964×10^0,1.285676422×10^0
9.478152917×10^-1,-5.896089020×10^0,8.469687195×10^0,9.412426758×10^-1
9.577642917×10^-1,-6.316564636×10^0,9.035809937×10^0,1.016087036×10^0
9.677122917×10^-1,-7.136260071×10^0,9.255403290×10^0,1.163530426×10^0
9.776602917×10^-1,-7.938741302×10^0,9.009614410×10^0,6.468049622×10^-1
9.876092917×10^-1,-8.527616730×10^0,8.668922882×10^0,-6.285429382×10^-1
9.975572917×10^-1,-9.801467743×10^0,8.460556183×10^0,-1.359622650×10^0
1.007505292×10^0,-9.516909485×10^0,8.842711487×10^0,-8.393046570×10^-1
1.017454292×10^0,-9.243877258×10^0,1.101963455×10^1,-1.757195892×10^0
1.027402292×10^0,-8.023914185×10^0,1.298085617×10^1,-4.745132446×10^0
1.037350292×10^0,-6.505322113×10^0,1.165446442×10^1,-5.424569550×10^0
1.047299292×10^0,-5.856421509×10^0,9.547296295×10^0,-3.413351898×10^0
1.057247292×10^0,-7.118297424×10^0,1.155192764×10^1,2.386038208×10^-1
1.067195292×10^0,-1.201970490×10^1,1.430620010×10^1,2.399061127×10^0
1.077143625×10^0,-1.188648193×10^1,1.132604736×10^1,-1.257385254×10^-1
1.087092625×10^0,-1.151255951×10^1,8.287516022×10^0,-1.911075897×10^0
1.097040625×10^0,-1.055006104×10^1,8.603808289×10^0,-1.321002960×10^0
1.106988625×10^0,-9.256900177×10^0,1.060349991×10^1,6.569837952×10^-1
1.116937625×10^0,-8.829089813×10^0,1.051997360×10^1,1.886077881×10^-1
1.126885625×10^0,-8.128097534×10^0,1.085647385×10^1,-7.123686218×10^-1
1.136833625×10^0,-7.320077820×10^0,1.021371048×10^1,-1.541644135×10^0
1.146782625×10^0,-7.601941681×10^0,7.826774139×10^0,-3.982468414×10^0
1.156730625×10^0,-7.440726929×10^0,4.241878967×10^0,-9.106912079×10^0
1.166678625×10^0,-4.842729492×10^0,2.713856506×10^0,-8.879085846×10^0
1.176627625×10^0,-2.923121338×10^0,1.903591461×10^0,-5.830974426×10^0
1.186575625×10^0,-2.230811005×10^0,1.272354126×10^-2,-4.282145233×10^0
1.196523625×10^0,-1.993105316×10^0,-1.823807373×10^0,-3.097359009×10^0
1.206472625×10^0,-2.237097931×10^0,-1.707648926×10^0,-2.005828857×10^-2
1.216420625×10^0,-2.746788025×10^0,-1.403032379×10^0,1.636696472×10^0
1.226368625×10^0,-3.166365509×10^0,-2.249821472×10^-1,1.704355774×10^0
1.236317625×10^0,-3.171454926×10^0,3.981719971×10^-1,1.415755920×10^0
1.246265625×10^0,-2.707569580×10^0,3.971241760×10^-1,7.414082336×10^-1
1.256213625×10^0,-2.306254120×10^0,8.132588196×10^-1,-6.825805664×10^-1
1.266161625×10^0,-2.627935181×10^0,2.068249054×10^0,-1.992057495×10^0
1.276110625×10^0,-2.513722687×10^0,3.519032135×10^0,-3.470532990×10^0
1.286058625×10^0,-2.332749023×10^0,4.328099670×10^0,-4.808151398×10^0
1.296006625×10^0,-3.121907959×10^0,5.283562775×10^0,-6.417754211×10^0
1.305955625×10^0,-2.958597565×10^0,6.594835968×10^0,-5.391638031×10^0
1.315903625×10^0,-8.253386993×10^0,8.434809723×10^0,-2.173180847×10^0
1.325851625×10^0,-1.163575333×10^1,9.283395081×10^0,9.707313538×10^-1
1.335800625×10^0,-1.170431076×10^1,1.020398071×10^1,1.932481384×10^0
1.345748625×10^0,-1.278446457×10^1,1.067669769×10^1,2.763403473×10^0
1.355696625×10^0,-1.540416687×10^1,1.095152618×10^1,4.013304291×10^0
1.365645625×10^0,-1.738365051×10^1,1.070798264×10^1,1.753004608×10^0
1.375593625×10^0,-1.682995193×10^1,9.572444000×10^0,-9.482780457×10^-1
1.385541625×10^0,-1.591355759×10^1,8.322393494×10^0,-1.417252808×10^0
1.395490625×10^0,-1.396969986×10^1,8.754844208×10^0,-2.366279297×10^0
