"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
2.726791667×10^-3,-1.779331826×10^-2,-2.738713026×10^-1,-4.833035171×10^-1
1.267579167×10^-2,1.952815801×10^-2,-1.137399375×10^-1,-5.515784621×10^-1
2.262379166×10^-2,8.382166177×10^-2,9.700212628×10^-2,-6.520730853×10^-1
3.257179167×10^-2,2.063429058×10^-1,2.512516081×10^-1,-7.621828318×10^-1
4.252079167×10^-2,3.941389024×10^-1,5.071738958×10^-1,-8.546019793×10^-1
5.246879167×10^-2,6.457735896×10^-1,8.344782591×10^-1,-9.887798429×10^-1
6.241679167×10^-2,9.678232670×10^-1,1.183993340×10^0,-1.197147012×10^0
7.236479167×10^-2,1.383860350×10^0,1.528347731×10^0,-1.510005832×10^0
8.231329167×10^-2,1.916182876×10^0,1.873078704×10^0,-1.890094042×10^0
9.226129167×10^-2,2.533259869×10^0,2.251873732×10^0,-2.189958096×10^0
1.022092917×10^-1,3.108881474×10^0,2.610188007×10^0,-2.311423779×10^0
1.121582917×10^-1,3.465619326×10^0,2.979540348×10^0,-2.292084455×10^0
1.221062917×10^-1,3.557337523×10^0,3.454594851×10^0,-2.225254536×10^0
1.320542917×10^-1,3.487206936×10^0,3.853788376×10^0,-2.212703943×10^0
1.420032917×10^-1,3.320117712×10^0,3.840839863×10^0,-2.266458035×10^0
1.519512917×10^-1,3.063783884×10^0,3.267018318×10^0,-2.360924482×10^0
1.618992917×10^-1,2.646623611×10^0,2.639715433×10^0,-2.456554651×10^0
1.718482917×10^-1,2.225001812×10^0,1.959619641×10^0,-2.550421238×10^0
1.817962917×10^-1,1.927392364×10^0,1.422814846×10^0,-2.635145187×10^0
1.917442917×10^-1,1.833097458×10^0,9.787762165×10^-1,-2.657085657×10^0
2.016922917×10^-1,1.825857401×10^0,8.027404547×10^-1,-2.591047049×10^0
2.116412917×10^-1,1.819771409×10^0,8.761792779×10^-1,-2.547771454×10^0
2.215892917×10^-1,1.945894241×10^0,8.190576434×10^-1,-2.525405884×10^0
2.315372917×10^-1,2.162507057×10^0,7.627431154×10^-1,-2.445521832×10^0
2.414862917×10^-1,2.326977253×10^0,8.729050756×10^-1,-2.385961533×10^0
2.514342917×10^-1,2.417241335×10^0,1.048262000×10^0,-2.430673361×10^0
2.613822917×10^-1,2.502407312×10^0,1.173435092×10^0,-2.500008345×10^0
2.713312917×10^-1,2.601429224×10^0,1.095880747×10^0,-2.545587778×10^0
2.812792917×10^-1,2.680278778×10^0,8.897114992×10^-1,-2.516010046×10^0
2.912272917×10^-1,2.708189964×10^0,6.828197241×10^-1,-2.421188116×10^0
3.011762917×10^-1,2.697013617×10^0,4.266062975×10^-1,-2.270900249×10^0
3.111242917×10^-1,2.617134333×10^0,1.043068692×10^-1,-2.048946142×10^0
3.210722917×10^-1,2.413647413×10^0,-1.869667917×10^-1,-1.847847342×10^0
3.310202917×10^-1,2.075603962×10^0,-5.506060719×10^-1,-1.732243776×10^0
3.409692917×10^-1,1.786006927×10^0,-8.760262132×10^-1,-1.730779052×10^0
3.509172917×10^-1,1.801903009×10^0,-8.517534733×10^-1,-1.760240793×10^0
3.608652917×10^-1,1.933573723×10^0,-6.842856407×10^-1,-1.753662229×10^0
3.708142917×10^-1,1.949624300×10^0,-4.767397642×10^-1,-1.698604703×10^0
3.807622917×10^-1,1.804437041×10^0,-4.346868396×10^-1,-1.627987266×10^0
3.907102917×10^-1,1.507094860×10^0,-6.662094593×10^-1,-1.526938081×10^0
