"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
7.352088333×10^-1,-5.576054535×10^0,-4.354444885×10^-1,-2.326013031×10^0
7.451568333×10^-1,-5.633535004×10^0,-6.712042236×10^-1,-2.915936279×10^0
7.551048333×10^-1,-6.424340515×10^0,-3.930825806×10^-1,-3.119363251×10^0
7.650528333×10^-1,-7.475454712×10^0,-9.565109253×10^-2,-2.693947906×10^0
7.750018333×10^-1,-7.988887024×10^0,-1.746867371×10^-1,-1.999841309×10^0
7.849498333×10^-1,-8.243657227×10^0,1.886077881×10^-2,-1.961371307×10^0
7.948978333×10^-1,-8.089328156×10^0,6.285429382×10^-1,-2.710862732×10^0
8.048458333×10^-1,-7.838749237×10^0,1.472188568×10^0,-3.669020233×10^0
8.147948333×10^-1,-7.459438019×10^0,1.897304535×10^0,-4.020489349×10^0
8.247428333×10^-1,-6.850055237×10^0,1.943558350×10^0,-4.112248535×10^0
8.346908333×10^-1,-6.463259583×10^0,1.701811066×10^0,-4.176165619×10^0
8.446398333×10^-1,-6.239325256×10^0,1.388961639×10^0,-3.910468140×10^0
8.545878333×10^-1,-5.816753998×10^0,1.033301239×10^0,-3.433260498×10^0
8.645358333×10^-1,-6.382277985×10^0,1.914967804×10^0,-1.417103119×10^0
8.744838333×10^-1,-7.827372894×10^0,4.794529724×10^0,1.672172699×10^0
8.844328333×10^-1,-8.725654907×10^0,6.916966095×10^0,2.309098206×10^0
8.943808333×10^-1,-9.563163300×10^0,7.901917877×10^0,2.144290924×10^0
9.043288333×10^-1,-9.711804199×10^0,8.628207550×10^0,2.996618500×10^0
9.142768333×10^-1,-9.464967499×10^0,9.046138458×10^0,4.543501740×10^0
9.242258333×10^-1,-9.325307922×10^0,9.438322906×10^0,5.385949860×10^0
9.341738333×10^-1,-9.012757874×10^0,9.985734558×10^0,5.128485260×10^0
9.441218333×10^-1,-9.101223907×10^0,1.047836014×10^1,5.011129303×10^0
9.540698333×10^-1,-9.086554413×10^0,1.095721436×10^1,5.080734558×10^0
9.640188333×10^-1,-8.745563507×10^0,1.137484589×10^1,5.094206543×10^0
9.739668333×10^-1,-8.330027618×10^0,1.122156464×10^1,5.276228027×10^0
9.839148333×10^-1,-7.992778931×10^0,1.054347473×10^1,5.287155304×10^0
9.938628333×10^-1,-7.593110046×10^0,9.610464935×10^0,5.007087708×10^0
1.003811833×10^0,-7.344477081×10^0,8.982071686×10^0,5.040617981×10^0
1.013759833×10^0,-7.253915405×10^0,9.200317841×10^0,4.914729767×10^0
1.023707833×10^0,-6.952592010×10^0,9.409283295×10^0,4.971910858×10^0
1.033655833×10^0,-7.095993805×10^0,9.237590332×10^0,4.628524933×10^0
1.043604833×10^0,-7.483687592×10^0,9.713750153×10^0,3.598067780×10^0
1.053552833×10^0,-7.844886475×10^0,9.998308411×10^0,2.623444519×10^0
1.063500833×10^0,-8.029302979×10^0,9.329499207×10^0,1.569037170×10^0
1.073449833×10^0,-8.109386444×10^0,8.081394653×10^0,2.252515869×10^0
1.083397833×10^0,-8.431666260×10^0,7.168293457×10^0,3.086731110×10^0
1.093345583×10^0,-8.364006958×10^0,6.396797791×10^0,3.584446106×10^0
1.103293583×10^0,-9.220825195×10^0,6.134842529×10^0,4.024680634×10^0
1.113242583×10^0,-1.044273422×10^1,5.744454346×10^0,3.387455750×10^0
1.123190583×10^0,-1.081860260×10^1,5.616171112×10^0,2.111209717×10^0
1.133138583×10^0,-1.025667114×10^1,5.338049469×10^0,3.712280273×10^-1
1.143086583×10^0,-9.072483673×10^0,4.492158508×10^0,-7.750881958×10^-1
1.153035583×10^0,-6.954388275×10^0,4.201313324×10^0,-1.114731903×10^0
1.162983583×10^0,-5.028343506×10^0,3.901337128×10^0,-1.127904510×10^0
1.172931583×10^0,-3.751349030×10^0,3.325035553×10^0,-1.173409882×10^0
1.182879583×10^0,-2.519560547×10^0,2.805016937×10^0,-1.372346191×10^0
1.192828583×10^0,-1.575623474×10^0,2.856360168×10^0,-1.148711243×10^0
1.202776583×10^0,-1.498533783×10^0,2.554138641×10^0,-1.754351807×10^-1
1.212724583×10^0,-2.574196930×10^0,1.903142395×10^0,7.755372620×10^-1
1.222672583×10^0,-3.536396027×10^0,2.025887146×10^0,7.878117371×10^-1
1.232621583×10^0,-2.653232574×10^0,4.068539429×10^0,9.735754395×10^-1
1.242569583×10^0,-9.331594849×10^-1,6.240672455×10^0,2.026934967×10^0
1.252517583×10^0,-2.061063995×10^0,7.273524628×10^0,2.765050049×10^0
1.262465583×10^0,-5.045408020×10^0,6.122867432×10^0,3.647015991×10^0
1.272414583×10^0,-8.194259949×10^0,2.915936279×10^0,6.070177002×10^0
1.282362583×10^0,-1.116138977×10^1,8.032296753×10^-1,7.330556030×10^0
1.292310583×10^0,-1.127081223×10^1,3.092868347×10^0,6.895859985×10^0
1.302259583×10^0,-9.325906677×10^0,1.046937881×10^1,3.631448364×10^0
1.312207583×10^0,-2.669099579×10^0,1.357512039×10^1,9.184301147×10^0
1.322155583×10^0,-4.358336792×10^0,9.856852570×10^0,4.808301086×10^0
1.332103583×10^0,-6.676715698×10^0,1.280587006×10^1,-3.061882782×10^0
1.342052583×10^0,-8.718170471×10^0,1.166554138×10^1,-2.905009003×10^0
1.352000583×10^0,-1.179412399×10^1,1.217104019×10^1,-2.575544128×10^0
1.361948583×10^0,-1.357197693×10^1,1.206326431×10^1,-3.553011475×10^0
1.371896583×10^0,-1.702200256×10^1,1.089973389×10^1,-4.754562836×10^0
1.381845583×10^0,-2.016262161×10^1,1.001776794×10^1,-3.122506714×10^0
1.391793583×10^0,-2.097109039×10^1,1.037058426×10^1,5.490582275×10^-1
1.401741583×10^0,-1.938169556×10^1,8.312064972×10^0,9.571096802×10^-1
1.411689583×10^0,-1.734937180×10^1,6.710844727×10^0,-1.261127472×10^0
1.421638583×10^0,-1.645767609×10^1,6.606212311×10^0,-2.745291138×10^0
1.431586583×10^0,-1.506616974×10^1,5.239105225×10^0,-2.960543518×10^0
1.441534583×10^0,-1.290421555×10^1,3.630250854×10^0,-2.405198364×10^0
1.451482583×10^0,-1.065244812×10^1,2.032024384×10^0,-2.188149719×10^0
1.461431583×10^0,-9.398056641×10^0,1.134490814×10^0,-2.661914520×10^0
1.471379583×10^0,-9.021739197×10^0,-1.621128845×10^-1,-2.462678833×10^0
1.481327583×10^0,-7.410938873×10^0,-2.558180237×10^-1,-2.042053528×10^0
1.491275583×10^0,-7.110812988×10^0,2.694396973×10^-3,-2.597398682×10^0
1.501224583×10^0,-6.546785889×10^0,-1.583556976×10^0,-3.705843658×10^0
1.511172583×10^0,-5.009632416×10^0,-6.590494995×10^0,-5.435646515×10^0
1.521120583×10^0,-5.899232483×10^-1,-1.485660553×10^0,-3.175346832×10^0
1.531069583×10^0,-1.961071930×10^0,-1.828597412×10^0,-1.112785950×10^0
1.541017583×10^0,-2.855911102×10^0,-4.630171509×10^0,-3.236868896×10^0
1.550965583×10^0,-2.014510803×10^0,-1.423689423×10^0,-2.777773590×10^0
1.560913583×10^0,-6.932084656×10^-1,-7.463479614×10^-1,-5.712121582×10^-1
1.570862583×10^0,7.396119690×10^-1,-7.351213074×10^-1,9.475296021×10^-2
1.580810583×10^0,1.276246033×10^0,-2.845582581×10^-1,3.709286499×10^-1
1.590758583×10^0,5.499563599×10^-1,-6.361770630×10^-1,1.075214081×10^0
1.600706583×10^0,-8.970845032×10^-1,3.821553040×10^-1,1.539698181×10^0
1.610655583×10^0,-2.878065033×10^0,-5.219645691×10^-1,7.734416199×10^-1
1.620603583×10^0,-4.390968933×10^0,-4.231251068×10^0,-1.192120972×10^0
1.630551583×10^0,-5.399122467×10^0,-3.431164856×10^0,-2.984942780×10^0
1.640499583×10^0,-5.280569000×10^0,1.564247131×10^0,-1.221459961×10^-1
1.650448583×10^0,-6.484814758×10^0,4.428690491×10^0,3.057392120×10^0
1.660396583×10^0,-9.871372375×10^0,4.672533417×10^0,1.215023346×10^0
1.670344583×10^0,-1.260393997×10^1,6.056405640×10^0,-4.454736328×10^0
1.680292583×10^0,-1.202209991×10^1,8.750652924×10^0,-6.969357147×10^0
1.690241583×10^0,-9.321865082×10^0,1.047806076×10^1,-5.905369720×10^0
1.700189583×10^0,-8.135731659×10^0,8.082292786×10^0,-3.828289032×10^0
1.710137583×10^0,-1.065903442×10^1,8.203989716×10^0,-3.290307770×10^0
1.720085583×10^0,-1.367391495×10^1,9.644444275×10^0,-3.021766205×10^0
1.730034583×10^0,-1.422342224×10^1,9.151818695×10^0,-2.560425568×10^0
1.739982583×10^0,-1.478415619×10^1,8.758287048×10^0,-3.604504395×10^0
1.749930583×10^0,-1.494387405×10^1,9.094936981×10^0,-3.579057312×10^0
1.759878583×10^0,-1.723231522×10^1,1.021296204×10^1,-2.185904388×10^0
1.769827583×10^0,-2.051453979×10^1,1.150941605×10^1,-3.029550018×10^0
1.779775583×10^0,-2.145204025×10^1,1.140373581×10^1,-4.749473419×10^0
1.789723583×10^0,-1.986953110×10^1,1.225127335×10^1,-4.255350952×10^0
1.799672583×10^0,-1.501153336×10^1,1.329430435×10^1,-4.365521851×10^0
1.809620583×10^0,-1.066636917×10^1,1.503772888×10^1,-5.298531647×10^0
1.819568583×10^0,-9.108708344×10^0,1.431682800×10^1,-8.060587921×10^0
1.829516583×10^0,-7.671996002×10^0,1.264510437×10^1,-8.702004089×10^0
1.839465583×10^0,-8.081993408×10^0,1.062834824×10^1,-6.371051331×10^0
1.849413583×10^0,-1.019455032×10^1,8.452472992×10^0,-4.692741394×10^0
1.859361583×10^0,-8.704997864×10^0,6.339766388×10^0,-2.786006470×10^0
1.869309583×10^0,-6.270460510×10^0,4.902754669×10^0,-1.340013428×10^0
1.879258583×10^0,-4.758454742×10^0,3.405418396×10^0,-3.219804382×10^-1
1.889206583×10^0,-3.811823273×10^0,2.265239410×10^0,2.619552612×10^-2
1.899154583×10^0,-4.144730988×10^0,2.343975677×10^0,-1.098864899×10^0
1.909102583×10^0,-6.403234406×10^0,1.673968964×10^0,-1.826801147×10^0
1.919051583×10^0,-8.318501587×10^0,-1.997146912×10^0,-1.667532349×10^0
1.928999583×10^0,-9.772128754×10^0,-3.924239502×10^0,5.070555725×10^0
1.938947583×10^0,-1.352886658×10^0,-2.372566223×10^-1,6.923253021×10^0
1.948895583×10^0,1.487007751×10^0,-1.148561554×10^0,1.507365417×10^0
1.958844583×10^0,3.901187439×10^0,1.348246307×10^0,1.991009674×10^0
1.968792583×10^0,5.380411377×10^0,2.851420441×10^0,4.025429077×10^0
1.978740583×10^0,3.197351074×10^0,6.734495544×10^-1,3.254681854×10^0
1.988688583×10^0,2.431543579×10^0,-7.652087402×10^-1,2.117346954×10^0
1.998637583×10^0,3.322041779×10^0,7.544311523×10^-2,2.868784332×10^0
2.008585583×10^0,3.098706207×10^0,6.517446899×10^-1,2.575993195×10^0
2.018533583×10^0,7.476951599×10^-1,4.821473694×10^-1,5.568420410×10^-2
2.028481583×10^0,-1.372346191×10^0,8.526269531×10^-1,-3.878135376×10^0
2.038430583×10^0,-6.081403656×10^0,1.779050446×10^0,-5.175188141×10^0
2.048378583×10^0,-1.267698807×10^1,2.421963501×10^0,-4.677173767×10^0
2.058326583×10^0,-1.349937790×10^1,3.168610840×10^0,-2.073637848×10^0
2.068275583×10^0,-9.157656555×10^0,4.911885681×10^0,7.135661316×10^-1
2.078223583×10^0,-5.871091003×10^0,1.083417023×10^1,-3.480262756×10^-1
2.088171958×10^0,-3.722608795×10^0,1.950249435×10^1,-2.875370636×10^0
2.098119958×10^0,-3.498075714×10^0,2.179767151×10^1,3.094365234×10^0
2.108068958×10^0,-2.842738495×10^0,1.795501236×10^1,4.516707458×10^0
2.118016958×10^0,-1.139430542×10^1,7.926317139×10^0,-3.902235260×10^0
2.127964958×10^0,-1.035890854×10^1,4.711751862×10^0,-1.210412933×10^1
2.137912958×10^0,1.016491196×10^1,1.201865707×10^1,-1.338845856×10^1
2.147861958×10^0,1.124326950×10^1,1.984034180×10^1,-2.203867035×10^0
2.157809958×10^0,-1.782882477×10^1,1.680196014×10^1,5.847889252×10^0
2.167757958×10^0,-3.082794296×10^1,1.009500732×10^1,-1.511556702×10^0
2.177705958×10^0,-1.216565140×10^1,8.364156647×10^0,-1.207793381×10^1
2.187654958×10^0,-1.106349335×10^0,1.070932983×10^1,-1.835917191×10^1
2.197602958×10^0,2.129771118×10^0,1.739143433×10^1,-2.009496231×10^1
2.207550958×10^0,2.260299683×10^0,2.979045044×10^1,-1.857607086×10^1
2.217498958×10^0,5.388793945×10^-1,3.686264374×10^1,-4.764891357×10^0
2.227447958×10^0,-2.017504578×10^0,3.225941620×10^1,4.016747131×10^0
2.237395958×10^0,-4.971461792×10^0,2.348391495×10^1,4.592449951×10^0
2.247343958×10^0,-6.809489594×10^0,1.530088165×10^1,3.766317902×10^0
2.257291958×10^0,-6.951993256×10^0,1.014620087×10^1,3.988306274×10^0
2.267240958×10^0,-5.458399200×10^0,6.659351807×10^0,3.565285950×10^0
2.277188958×10^0,-3.017275543×10^0,3.637136536×10^0,2.620750122×10^0
2.287136958×10^0,-2.209704895×10^0,5.165757751×10^-1,2.351759491×10^0
2.297084958×10^0,-1.184187469×10^0,-1.021775208×10^0,1.923500061×10^0
2.307033958×10^0,-5.710624695×10^-1,-1.920955353×10^0,1.654060364×10^0
2.316981958×10^0,-1.701960754×10^-1,-2.252216492×10^0,1.815125427×10^0
2.326929958×10^0,4.909790039×10^-1,-2.871179352×10^0,2.219734039×10^0
2.336877958×10^0,1.352886658×10^0,-6.173013153×10^0,-4.107458496×10^-1
2.346826958×10^0,6.683601379×10^-1,-1.088386688×10^1,-4.393513641×10^0
2.356774958×10^0,4.014801178×10^0,-9.311686249×10^0,-2.522105255×10^0
2.366722958×10^0,4.650828552×10^0,-6.992858276×10^0,-5.812413025×10^-1
2.376670958×10^0,1.925296326×10^0,-5.022355957×10^0,7.032376099×10^-1
2.386619958×10^0,1.227746887×10^0,-2.423310699×10^0,8.599617004×10^-1
2.396567958×10^0,1.798360291×10^0,-1.342408447×10^0,7.708969116×10^-1
2.406515958×10^0,3.284769287×10^0,-7.845185852×10^-1,2.528990936×10^0
2.416464958×10^0,5.197192383×10^0,1.303190002×10^0,4.712799683×10^0
2.426412958×10^0,4.565505981×10^0,3.279979248×10^0,3.226091309×10^0
2.436360958×10^0,3.272345123×10^0,3.474574585×10^0,1.872605896×10^0
2.446308958×10^0,1.879940643×10^0,3.604055328×10^0,1.512454834×10^0
2.456257958×10^0,-1.796264648×10^-1,7.480394440×10^0,-1.240919495×10^-1
2.466205958×10^0,-5.261408844×10^0,2.192355972×10^1,-4.888983307×10^0
2.476153958×10^0,-1.604782837×10^1,4.653702576×10^1,1.071022797×10^0
2.486101958×10^0,-2.739228745×10^1,5.888709366×10^1,-4.193080444×10^0
2.496050958×10^0,-2.218027588×10^1,3.740346909×10^1,-1.011401779×10^1
2.505998958×10^0,-1.383947067×10^1,2.118529495×10^1,-6.479575653×10^0
2.515946958×10^0,-9.653874664×10^0,1.511646515×10^1,-1.801803131×10^0
2.525894958×10^0,-6.471941528×10^0,1.200189194×10^1,-8.578660583×10^-1
2.535843958×10^0,-4.792733459×10^0,1.033450928×10^1,-9.377998352×10^-1
2.545791958×10^0,-6.046376495×10^0,9.849966888×10^0,-2.193388824×10^0
2.555739958×10^0,-8.851393433×10^0,1.000429596×10^1,-3.785927124×10^0
2.565687958×10^0,-1.038839722×10^1,9.799372101×10^0,-4.069138184×10^0
2.575636958×10^0,-1.047357010×10^1,1.088012466×10^1,-5.632487183×10^0
2.585584958×10^0,-7.154671783×10^0,1.417896469×10^1,-7.152725830×10^0
2.595532958×10^0,-3.702400818×10^0,1.508203674×10^1,4.610412598×10^-1
2.605480958×10^0,-8.918453979×10^-1,1.281709671×10^1,5.103786621×10^0
2.615429958×10^0,1.488504639×10^0,1.101409607×10^1,2.625390472×10^0
2.625377958×10^0,2.310295715×10^0,9.504635010×10^0,4.890330505×10^-1
2.635325958×10^0,2.430645447×10^0,8.026159515×10^0,-5.849835205×10^-1
2.645273958×10^0,1.647474060×10^0,6.242618408×10^0,-2.643502808×10^-1
2.655222958×10^0,7.731422424×10^-1,4.156706085×10^0,4.173321533×10^-1
2.665170958×10^0,7.450007629×10^-1,2.384241943×10^0,1.005309448×10^0
2.675118958×10^0,9.496252441×10^-1,1.118474121×10^0,1.250349884×10^0
2.685066958×10^0,9.029223633×10^-1,-1.163081360×10^-1,1.201850739×10^0
2.695015958×10^0,6.979985046×10^-1,-8.430468750×10^-1,1.093326416×10^0
2.704963958×10^0,4.170327759×10^-1,-1.195863190×10^0,4.620890808×10^-1
2.714911958×10^0,-1.215472412×10^-1,-1.182241516×10^0,-3.778143311×10^-1
2.724859958×10^0,-1.288819885×10^0,-1.751358032×10^0,-2.022743683×10^0
2.734808958×10^0,-3.087030487×10^0,-2.848875732×10^0,-3.412453766×10^0
2.744756958×10^0,-4.180356903×10^0,-2.502496033×10^0,-1.790277100×10^0
