"event","experiment time","system time","system time text"
"START",0.000000000000000×10^0,1.758528824117520×10^9,"2025-09-22 10:13:44.118 UTC+02:00"
"PAUSE",2.494959379166903×10^1,1.758528849066978×10^9,"2025-09-22 10:14:09.067 UTC+02:00"
