"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
2.320958345×10^-3,-1.937642135×10^-2,1.590669155×10^-2,-1.898746938×10^-2
1.227095834×10^-2,-4.132326320×10^-2,4.813786596×10^-2,-2.602966689×10^-2
2.222095834×10^-2,-5.714776739×10^-2,6.852831692×10^-2,-3.769515082×10^-2
3.217095834×10^-2,-6.365547329×10^-2,7.611779869×10^-2,-4.632858559×10^-2
4.212195834×10^-2,-6.074978411×10^-2,7.280724496×10^-2,-5.196700618×10^-2
5.207195834×10^-2,-4.437267408×10^-2,5.823229998×10^-2,-4.990359023×10^-2
6.202195834×10^-2,-2.579827607×10^-2,4.245672002×10^-2,-4.720077664×10^-2
7.197195834×10^-2,-9.484284557×10^-3,3.418520838×10^-2,-4.073755071×10^-2
8.192195834×10^-2,-1.428933581×10^-3,2.369449474×10^-2,-3.213739395×10^-2
9.187195834×10^-2,2.901369589×10^-4,1.179842092×10^-2,-2.289009653×10^-2
1.018219583×10^-1,7.773161051×10^-4,9.603991057×10^-4,-1.131569222×10^-2
1.117729583×10^-1,7.477425970×10^-5,-2.651912393×10^-3,4.608056042×10^-4
1.217229583×10^-1,-4.306913470×10^-4,-1.617884077×10^-2,8.104825392×10^-3
1.316729583×10^-1,5.256498116×10^-4,-2.829116397×10^-2,1.205988601×10^-2
1.416229583×10^-1,1.462417422×10^-4,-3.532250971×10^-2,9.068298154×10^-3
1.515729583×10^-1,1.520432765×10^-3,-3.101351298×10^-2,4.990465939×10^-3
1.615229583×10^-1,-1.848913496×10^-3,-1.491511520×10^-2,6.855281536×10^-4
1.714729583×10^-1,-8.205346763×10^-3,-6.190006388×10^-4,-7.973207161×10^-3
1.814239583×10^-1,-1.496409532×10^-2,9.798863903×10^-3,-1.703194343×10^-2
1.913739583×10^-1,-1.725547761×10^-2,2.273676731×10^-2,-1.694192924×10^-2
2.013239583×10^-1,-1.468854491×10^-2,2.770631202×10^-2,-1.313789096×10^-2
