"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
7.274392083×10^-1,4.664300537×10^-1,9.750723267×10^0,9.252259827×10^-1
7.373892083×10^-1,4.773573303×10^-1,9.764045563×10^0,8.925938416×10^-1
7.473392083×10^-1,4.758604431×10^-1,9.764195251×10^0,8.913963318×10^-1
7.572892083×10^-1,4.805007935×10^-1,9.740993500×10^0,8.946894836×10^-1
7.672392083×10^-1,4.794529724×10^-1,9.750872955×10^0,9.147477722×10^-1
7.771892083×10^-1,5.292993164×10^-1,9.772877197×10^0,9.434880066×10^-1
7.871392083×10^-1,5.511538696×10^-1,9.772278442×10^0,9.532177734×10^-1
7.970902083×10^-1,5.203179932×10^-1,9.761800232×10^0,9.812095642×10^-1
8.070402083×10^-1,4.727169800×10^-1,9.766440582×10^0,9.915380859×10^-1
8.169902083×10^-1,4.239184570×10^-1,9.761650543×10^0,9.931846619×10^-1
8.269402083×10^-1,4.065545654×10^-1,9.772727509×10^0,1.012943573×10^0
8.368902083×10^-1,3.857478333×10^-1,9.793234863×10^0,1.045276337×10^0
8.468402083×10^-1,3.906875610×10^-1,9.767787781×10^0,1.067430267×10^0
8.567902083×10^-1,3.969744873×10^-1,9.753267975×10^0,1.044976959×10^0
8.667412083×10^-1,3.915856934×10^-1,9.751920776×10^0,9.687854004×10^-1
8.766912083×10^-1,4.683760071×10^-1,9.796378326×10^0,9.369017029×10^-1
8.866412083×10^-1,5.213658142×10^-1,9.832752686×10^0,9.550140381×10^-1
8.965912083×10^-1,6.505471802×10^-1,9.888736267×10^0,1.112037506×10^0
9.065412083×10^-1,6.734495544×10^-1,9.923913116×10^0,1.208437042×10^0
9.164912083×10^-1,4.858895874×10^-1,9.918224945×10^0,1.128353577×10^0
9.264422083×10^-1,3.228785706×10^-1,9.911339264×10^0,1.018631744×10^0
9.363922083×10^-1,2.002835083×10^-1,9.829309845×10^0,9.837542725×10^-1
9.463422083×10^-1,9.984237671×10^-2,9.775721283×10^0,1.010847931×10^0
9.562922083×10^-1,3.592529297×10^-2,9.731563110×10^0,1.086889801×10^0
9.662422083×10^-1,1.152603149×10^-2,9.663305054×10^0,1.165925446×10^0
9.761922083×10^-1,-5.239105225×10^-3,9.645492096×10^0,1.213077393×10^0
9.861422083×10^-1,-2.709365845×10^-2,9.647138672×10^0,1.209185486×10^0
9.960932083×10^-1,1.017883301×10^-2,9.693093109×10^0,1.184187469×10^0
1.006043208×10^0,1.237925720×10^-1,9.725575562×10^0,1.188079376×10^0
1.015993208×10^0,2.008822632×10^-1,9.776469727×10^0,1.185983734×10^0
1.025943208×10^0,2.426454163×10^-1,9.796827393×10^0,1.161734161×10^0
1.035893208×10^0,2.164498901×10^-1,9.782906342×10^0,1.145717468×10^0
1.045843208×10^0,1.396595764×10^-1,9.758058014×10^0,1.084794159×10^0
1.055793208×10^0,7.963439941×10^-2,9.757309570×10^0,1.065334625×10^0
1.065744208×10^0,1.646575928×10^-2,9.753267975×10^0,1.065184937×10^0
1.075694208×10^0,-2.350112915×10^-2,9.756561127×10^0,1.100960541×10^0
1.085644208×10^0,1.496887207×10^-3,9.723629608×10^0,1.133143616×10^0
1.095594208×10^0,1.197509766×10^-2,9.733658752×10^0,1.182840271×10^0
1.105544208×10^0,7.948471069×10^-2,9.796827393×10^0,1.215322723×10^0
1.115494208×10^0,1.546284485×10^-1,9.818532257×10^0,1.171014862×10^0
1.125444208×10^0,1.583706665×10^-1,9.810299377×10^0,1.110839996×10^0
1.135395208×10^0,1.207987976×10^-1,9.822424164×10^0,1.076561279×10^0
1.145345208×10^0,1.624122620×10^-1,9.843979340×10^0,1.089284821×10^0
1.155295208×10^0,3.107537842×10^-1,9.886490936×10^0,1.139729919×10^0
1.165245208×10^0,4.998106384×10^-1,9.948911133×10^0,1.177301788×10^0
1.175195208×10^0,6.670129395×10^-1,9.964628448×10^0,1.159937897×10^0
1.185145208×10^0,7.339237976×10^-1,9.942474518×10^0,1.123114471×10^0
1.195095208×10^0,6.950047302×10^-1,9.943222961×10^0,1.096020813×10^0
1.205046208×10^0,6.698570251×10^-1,9.919871521×10^0,1.054706726×10^0
1.214996208×10^0,6.697073364×10^-1,9.894574127×10^0,1.018482056×10^0
1.224946208×10^0,7.107220459×10^-1,9.907896423×10^0,9.735754395×10^-1
1.234896208×10^0,7.098239136×10^-1,9.923913116×10^0,9.668394470×10^-1
1.244846208×10^0,6.382727051×10^-1,9.934541016×10^0,9.604028320×10^-1
1.254796208×10^0,5.462141418×10^-1,9.891131287×10^0,9.749226379×10^-1
1.264747208×10^0,4.074526978×10^-1,9.813143463×10^0,1.034498749×10^0
1.274697208×10^0,2.661465454×10^-1,9.756561127×10^0,1.144070892×10^0
1.284647208×10^0,1.252894592×10^-1,9.737101593×10^0,1.219813385×10^0
1.294597208×10^0,1.541793823×10^-2,9.738598480×10^0,1.291364594×10^0
1.304547208×10^0,-5.269042969×10^-2,9.754764862×10^0,1.276844788×10^0
1.314497208×10^0,-8.053253174×10^-2,9.791139221×10^0,1.241069183×10^0
1.324447208×10^0,-2.275268555×10^-2,9.825567627×10^0,1.223555603×10^0
1.334398208×10^0,7.334747314×10^-3,9.857750702×10^0,1.230590973×10^0
1.344348208×10^0,6.301895142×10^-2,9.848470001×10^0,1.237626343×10^0
1.354298208×10^0,1.510359192×10^-1,9.811796265×10^0,1.212628326×10^0
1.364248208×10^0,2.163002014×10^-1,9.801916809×10^0,1.194965057×10^0
1.374198208×10^0,2.565664673×10^-1,9.794881439×10^0,1.134341125×10^0
1.384148208×10^0,2.951861572×10^-1,9.829758911×10^0,1.097667389×10^0
1.394098208×10^0,3.007246399×10^-1,9.837243347×10^0,1.138532410×10^0
1.404049208×10^0,2.924917603×10^-1,9.782008209×10^0,1.203347626×10^0
1.413999208×10^0,2.454895020×10^-1,9.723330231×10^0,1.273551636×10^0
1.423949208×10^0,2.128573608×10^-1,9.650431824×10^0,1.359173584×10^0
1.433899208×10^0,2.234852600×10^-1,9.573491821×10^0,1.415606232×10^0
1.443849208×10^0,2.567161560×10^-1,9.596394196×10^0,1.367107086×10^0
1.453799208×10^0,2.945874023×10^-1,9.716444550×10^0,1.268013153×10^0
1.463749208×10^0,4.079017639×10^-1,9.752669220×10^0,1.102307739×10^0
1.473700208×10^0,4.971162415×10^-1,9.843380585×10^0,9.506730652×10^-1
1.483650208×10^0,5.384303284×10^-1,9.962682495×10^0,8.322692871×10^-1
1.493600208×10^0,6.078858948×10^-1,1.001971390×10^1,8.096662903×10^-1
1.503550208×10^0,6.728507996×10^-1,1.000773880×10^1,8.969348145×10^-1
1.513499958×10^0,7.135661316×10^-1,1.004620880×10^1,1.014290771×10^0
1.523449958×10^0,6.863227844×10^-1,1.008752289×10^1,1.087937622×10^0
1.533399958×10^0,5.987548828×10^-1,1.007420059×10^1,1.139131165×10^0
1.543350958×10^0,4.580474854×10^-1,1.003258713×10^1,1.241218872×10^0
1.553300958×10^0,3.514691162×10^-1,9.967023468×10^0,1.357527008×10^0
1.563250958×10^0,2.906954956×10^-1,9.845027161×10^0,1.459465027×10^0
1.573200958×10^0,2.661465454×10^-1,9.799671478×10^0,1.503623199×10^0
1.583150958×10^0,3.206332397×10^-1,9.819580078×10^0,1.469943237×10^0
1.593100958×10^0,4.270619202×10^-1,9.815538483×10^0,1.372795258×10^0
1.603050958×10^0,4.529580688×10^-1,9.787995758×10^0,1.198557587×10^0
1.613001958×10^0,4.029620361×10^-1,9.792187042×10^0,1.007704468×10^0
1.622951958×10^0,2.836601257×10^-1,9.787546692×10^0,8.695417786×10^-1
1.632901958×10^0,1.739382935×10^-1,9.803713074×10^0,8.577163696×10^-1
1.642851958×10^0,1.398092651×10^-1,9.768386536×10^0,9.532177734×10^-1
1.652801958×10^0,2.228865051×10^-1,9.692494354×10^0,1.056652679×10^0
1.662751958×10^0,3.827540588×10^-1,9.721833344×10^0,1.153650970×10^0
1.672701958×10^0,5.284011841×10^-1,9.830058289×10^0,1.175206146×10^0
1.682652958×10^0,6.481521606×10^-1,9.924811249×10^0,1.130598907×10^0
1.692602958×10^0,7.635621643×10^-1,9.968969421×10^0,1.002165985×10^0
1.702552958×10^0,8.047265625×10^-1,9.950108643×10^0,8.625064087×10^-1
1.712502958×10^0,7.523355103×10^-1,9.906848602×10^0,7.861651611×10^-1
1.722452958×10^0,7.066804504×10^-1,9.892927551×10^0,7.192543030×10^-1
1.732402958×10^0,7.244934082×10^-1,9.881850586×10^0,7.276368713×10^-1
