"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
2.917916665×10^-3,5.083806813×10^-2,2.051160932×10^-1,2.930902243×10^-1
1.286591667×10^-2,3.359026741×10^-3,1.988514215×10^-1,2.375297099×10^-1
2.281391667×10^-2,-9.976383299×10^-4,2.267541587×10^-1,2.074825913×10^-1
3.276291667×10^-2,8.655251004×10^-3,2.710719705×10^-1,1.847030520×10^-1
4.271091667×10^-2,-1.473549288×10^-3,3.279989064×10^-1,1.331602335×10^-1
5.265891667×10^-2,-2.348816022×10^-2,4.080633521×10^-1,5.584454536×10^-2
6.260791667×10^-2,-4.185598344×10^-2,4.837261438×10^-1,-1.958922483×10^-2
7.255591667×10^-2,-2.770334668×10^-2,5.903745294×10^-1,-1.043434069×10^-1
8.250391667×10^-2,9.560260922×10^-2,7.138466835×10^-1,-2.945317328×10^-1
9.245291667×10^-2,3.085111678×10^-1,8.967823982×10^-1,-5.173544288×10^-1
1.024009167×10^-1,5.763188601×10^-1,1.221785069×10^0,-7.075158358×10^-1
1.123489167×10^-1,9.062175155×10^-1,1.715082288×10^0,-8.217492104×10^-1
1.222979167×10^-1,1.302279115×10^0,2.242240667×10^0,-8.728451133×10^-1
1.322459167×10^-1,1.725728869×10^0,2.680626869×10^0,-8.902413249×10^-1
1.421949167×10^-1,2.102764130×10^0,3.125164509×10^0,-8.761340380×10^-1
1.521429167×10^-1,2.418429375×10^0,3.439736128×10^0,-9.325229526×10^-1
1.620909167×10^-1,2.643962383×10^0,3.563974857×10^0,-1.083598733×10^0
1.720399167×10^-1,2.761372328×10^0,3.531579733×10^0,-1.269984722×10^0
1.819879167×10^-1,2.802118063×10^0,3.513561726×10^0,-1.507019043×10^0
1.919359167×10^-1,2.791667938×10^0,3.574701786×10^0,-1.794963479×10^0
2.018849167×10^-1,2.748812437×10^0,3.580667734×10^0,-2.003659725×10^0
2.118327917×10^-1,2.608574629×10^0,3.409805536×10^0,-2.112948179×10^0
2.217807917×10^-1,2.335202217×10^0,3.139342308×10^0,-2.178197384×10^0
2.317297917×10^-1,1.980219364×10^0,2.943238020×10^0,-2.210345268×10^0
2.416777917×10^-1,1.683499336×10^0,2.691617250×10^0,-2.194267035×10^0
2.516257917×10^-1,1.645032287×10^0,2.318082094×10^0,-2.226989985×10^0
2.615747917×10^-1,1.385161757×10^0,2.208963871×10^0,-2.242900848×10^0
2.715227917×10^-1,1.184917569×10^0,1.858125329×10^0,-2.250158548×10^0
2.814717917×10^-1,1.036684990×10^0,1.520327926×10^0,-2.240368128×10^0
2.914197917×10^-1,1.065812826×10^0,1.324130654×10^0,-2.160761118×10^0
3.013677917×10^-1,1.227865458×10^0,1.182337284×10^0,-2.056614161×10^0
3.113167917×10^-1,1.409812093×10^0,1.169826031×10^0,-1.838644981×10^0
3.212647917×10^-1,1.558982372×10^0,1.169052482×10^0,-1.619075894×10^0
3.312127917×10^-1,1.680575132×10^0,1.204077005×10^0,-1.472148180×10^0
3.411617917×10^-1,1.730859518×10^0,1.153959036×10^0,-1.348152757×10^0
3.511097917×10^-1,1.625150084×10^0,8.960790038×10^-1,-1.476524591×10^0
3.610577917×10^-1,1.848594427×10^0,1.071958184×10^0,-1.455112815×10^0
3.710067917×10^-1,2.732640028×10^0,9.195180535×10^-1,-9.655902386×10^-1
3.809547917×10^-1,3.105029106×10^0,1.373217583×10^0,-5.223294497×10^-1
3.909027917×10^-1,2.967576504×10^0,1.175434113×10^0,-4.094905853×10^-1
4.008517917×10^-1,2.736052036×10^0,4.616840780×10^-1,-5.367760658×10^-1
4.107997917×10^-1,2.432672024×10^0,-4.353364557×10^-2,-6.056358218×10^-1
4.207477917×10^-1,2.107619762×10^0,-2.337515205×10^-1,-5.587874055×10^-1
4.306967917×10^-1,1.855031371×10^0,-2.305627316×10^-1,-4.273690879×10^-1
4.406447917×10^-1,1.600763440×10^0,-3.402250260×10^-2,-2.838745117×10^-1
4.505937917×10^-1,1.293078303×10^0,3.547652960×10^-1,-1.136327907×10^-1
4.605417917×10^-1,1.002323747×10^0,5.018436909×10^-1,1.237427443×10^-1
4.704897917×10^-1,8.669989109×10^-1,1.060202345×10^-1,3.280847073×10^-1
4.804387917×10^-1,1.065370798×10^0,-4.066856802×10^-1,3.781137764×10^-1
4.903867917×10^-1,1.256413221×10^0,-1.182893038×10^0,5.559065938×10^-1
5.003347917×10^-1,1.392796636×10^0,-1.606273890×10^0,7.318789959×10^-1
5.102837917×10^-1,1.345678210×10^0,-1.747677207×10^0,8.435101509×10^-1
5.202317917×10^-1,1.364631057×10^0,-1.885759354×10^0,8.228980899×10^-1
5.301797917×10^-1,1.428208947×10^0,-2.558043480×10^0,9.022871852×10^-1
5.401287917×10^-1,1.490057468×10^0,-3.543755293×10^0,7.564133406×10^-1
5.500767917×10^-1,1.394350171×10^0,-3.864573717×10^0,4.491435885×10^-1
5.600247917×10^-1,1.062402010×10^0,-3.895425797×10^0,2.761238813×10^-1
5.699737917×10^-1,5.957644582×10^-1,-2.791972399×10^0,-2.986571379×10^-2
