"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
-2.057083335×10^-3,-1.342109070×10^0,6.425238647×10^0,6.683601379×10^0
7.891916666×10^-3,-1.231339417×10^0,6.490802307×10^0,6.222709808×10^0
1.783991667×10^-2,-1.249900818×10^0,6.589896240×10^0,6.178701324×10^0
2.778791667×10^-2,-1.361867981×10^0,6.584058380×10^0,6.233188019×10^0
3.773691667×10^-2,-1.378184052×10^0,6.505322113×10^0,6.140979767×10^0
4.768491667×10^-2,-1.145567780×10^0,6.337670746×10^0,5.819897461×10^0
5.763391667×10^-2,-9.888436890×10^-1,6.193969574×10^0,5.548661499×10^0
6.758191667×10^-2,-9.363029480×10^-1,5.994733887×10^0,5.284161530×10^0
7.752991667×10^-2,-7.917036438×10^-1,5.837261353×10^0,5.234913940×10^0
8.747891667×10^-2,1.134640503×10^-1,5.595963135×10^0,5.794450378×10^0
9.742691667×10^-2,5.462141418×10^-1,5.110073547×10^0,6.222410431×10^0
1.073749167×10^-1,4.787045288×10^-1,4.612508240×10^0,6.543043671×10^0
1.173239167×10^-1,2.912942505×10^-1,4.116439819×10^0,6.704408112×10^0
1.272719167×10^-1,-3.263214111×10^-2,4.017046509×10^0,6.631210327×10^0
1.372199167×10^-1,-4.101470947×10^-2,4.473896484×10^0,6.226751404×10^0
1.471689167×10^-1,-1.167572021×10^-2,4.934338989×10^0,5.526657257×10^0
1.571169167×10^-1,-2.514770508×10^-2,4.863386536×10^0,4.816983032×10^0
1.670649167×10^-1,-2.389031982×10^-1,4.697082367×10^0,4.051474915×10^0
1.770139167×10^-1,-4.541555786×10^-1,4.492308197×10^0,3.357518005×10^0
1.869619167×10^-1,-4.939727783×10^-1,3.784729614×10^0,2.930905151×10^0
1.969099167×10^-1,-1.087638245×10^0,3.677702179×10^0,2.590363312×10^0
2.068589167×10^-1,-2.355950775×10^0,4.702620850×10^0,1.824406128×10^0
2.168067917×10^-1,-3.351829834×10^0,5.660179596×10^0,7.171586609×10^-1
2.267557917×10^-1,-4.163442078×10^0,6.040388947×10^0,-2.540217590×10^-1
2.367037917×10^-1,-4.820725250×10^0,6.054609375×10^0,-6.655160522×10^-1
2.466517917×10^-1,-5.492079163×10^0,5.871689758×10^0,-3.390449524×10^-1
2.566007917×10^-1,-5.899681549×10^0,6.138435059×10^0,1.752256165×10^0
2.665487917×10^-1,-5.960305481×10^0,7.133116608×10^0,6.394702148×10^-1
2.764967917×10^-1,-6.089935913×10^0,6.571185150×10^0,7.027885437×10^-1
