"event","experiment time","system time","system time text"
"START",0.000000000000000×10^0,1.758474937295773×10^9,"2025-09-21 19:15:37.296 UTC+02:00"
"PAUSE",2.651866891666577×10^1,1.758474963814331×10^9,"2025-09-21 19:16:03.814 UTC+02:00"
