"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
7.069225417×10^-1,1.444046378×10^0,4.151140749×10^-1,1.563480943×10^-1
7.168725417×10^-1,1.598239183×10^0,2.429992855×10^-1,2.797403336×10^-1
7.268225417×10^-1,1.525545239×10^0,7.264885306×10^-2,3.828113377×10^-1
7.367715417×10^-1,1.276649952×10^0,-5.672244728×10^-2,3.926194906×10^-1
7.467215417×10^-1,9.867768884×10^-1,-1.144742295×10^-1,3.447826803×10^-1
7.566715417×10^-1,7.947901487×10^-1,-2.341508269×10^-1,3.112340569×10^-1
7.666205417×10^-1,6.459729075×10^-1,-2.368885428×10^-1,1.403111517×10^-1
7.765705417×10^-1,5.784623027×10^-1,-2.971010208×10^-1,-7.129962556×10^-3
7.865205417×10^-1,4.844864905×10^-1,-3.683192432×10^-1,-1.518853307×10^-1
7.964695417×10^-1,3.254883289×10^-1,-4.476760924×10^-1,-4.891973138×10^-1
8.064195417×10^-1,1.442079395×10^-1,-4.396616518×10^-1,-8.865289092×10^-1
8.163695417×10^-1,6.485760212×10^-3,-3.158768713×10^-1,-1.179036260×10^0
8.263185417×10^-1,-6.853844225×10^-2,-1.717492044×10^-1,-1.274013877×10^0
8.362685417×10^-1,-5.148276314×10^-2,-1.352993250×10^-1,-1.152166486×10^0
8.462185417×10^-1,-1.364872791×10^-2,3.681965545×10^-2,-9.605889320×10^-1
8.561675417×10^-1,9.067770094×10^-3,3.065126538×10^-1,-7.610926032×10^-1
8.661175417×10^-1,4.566562921×10^-2,5.342809558×10^-1,-6.117772460×10^-1
8.760675417×10^-1,1.869599074×10^-1,8.053550720×10^-1,-4.438553452×10^-1
8.860165417×10^-1,3.378568888×10^-1,1.059912205×10^0,-2.065966874×10^-1
8.959665417×10^-1,4.613817334×10^-1,1.130632758×10^0,-5.501434579×10^-2
9.059165417×10^-1,2.279883474×10^-1,9.421443343×10^-1,1.246450096×10^-1
