"event","experiment time","system time","system time text"
"START",0.000000000000000×10^0,1.757277673527101×10^9,"2025-09-07 22:41:13.527 UTC+02:00"
"PAUSE",1.687415437500749×10^1,1.757277690401252×10^9,"2025-09-07 22:41:30.401 UTC+02:00"
