"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
8.533833337×10^-3,1.351409126×10^-2,-4.829747230×10^-2,-8.264415711×10^-2
1.848383334×10^-2,1.331968047×10^-2,-5.334442854×10^-2,-9.698981047×10^-2
2.843383334×10^-2,-2.946111374×10^-3,-4.338049516×10^-2,-1.019493192×10^-1
3.838283334×10^-2,-2.452384122×10^-2,-2.113164775×10^-2,-9.759718180×10^-2
4.833283334×10^-2,-4.805628210×10^-2,1.435919758×10^-2,-7.951574028×10^-2
5.828283334×10^-2,-6.519132853×10^-2,3.929224238×10^-2,-5.827117339×10^-2
6.823283334×10^-2,-8.015419543×10^-2,3.388333321×10^-2,-3.708104789×10^-2
7.818283333×10^-2,-9.033972770×10^-2,1.886150800×10^-2,-2.023122646×10^-2
8.813283333×10^-2,-9.138675779×10^-2,-6.225118414×10^-3,-1.247492619×10^-2
9.808283333×10^-2,-9.132763743×10^-2,-4.064061865×10^-2,-3.986898810×10^-3
1.080328333×10^-1,-9.354823828×10^-2,-7.096526027×10^-2,-7.834514603×10^-3
1.179828333×10^-1,-1.012117490×10^-1,-1.047706231×10^-1,-1.628126204×10^-2
1.279328333×10^-1,-9.556475282×10^-2,-1.138963252×10^-1,-3.251693770×10^-2
1.378818333×10^-1,-8.097302169×10^-2,-1.032367572×10^-1,-4.393737018×10^-2
1.478318333×10^-1,-6.153557822×10^-2,-9.353781492×10^-2,-4.316782579×10^-2
1.577818333×10^-1,-4.554675892×10^-2,-8.034238964×10^-2,-3.252476826×10^-2
1.677318333×10^-1,-3.799485788×10^-2,-6.176669151×10^-2,-2.068670280×10^-2
1.776818333×10^-1,-3.881511092×10^-2,-3.400935978×10^-2,-1.182423532×10^-2
1.876318333×10^-1,-5.040637404×10^-2,-1.544508152×10^-2,4.051541910×10^-4
1.975818333×10^-1,-6.656510383×10^-2,-2.805453259×10^-3,1.082583703×10^-2
2.075318333×10^-1,-8.277758211×10^-2,-6.356546190×10^-3,1.534459461×10^-2
2.174818333×10^-1,-9.597301483×10^-2,-2.495712787×10^-2,1.591424644×10^-2
2.274308333×10^-1,-1.076355353×10^-1,-5.714225024×10^-2,1.389167085×10^-2
2.373808333×10^-1,-1.094235778×10^-1,-9.366936982×10^-2,9.057234973×10^-3
2.473308333×10^-1,-1.034809053×10^-1,-1.169595644×10^-1,1.980136614×10^-3
2.572808333×10^-1,-8.644945920×10^-2,-1.261008531×10^-1,1.170535572×10^-3
2.672308333×10^-1,-6.890629232×10^-2,-1.133183837×10^-1,-1.597809140×10^-3
2.771808333×10^-1,-5.282985047×10^-2,-9.001439065×10^-2,-5.789890885×10^-3
2.871308333×10^-1,-4.894716293×10^-2,-7.801359147×10^-2,-9.779879823×10^-3
2.970808333×10^-1,-5.392514542×10^-2,-6.078533828×10^-2,-1.008401252×10^-2
3.070308333×10^-1,-5.803589895×10^-2,-3.362938017×10^-2,-2.601177897×10^-3
3.169808333×10^-1,-6.471670419×10^-2,-1.011553314×10^-2,2.940327628×10^-3
3.269298333×10^-1,-7.268853486×10^-2,1.442153938×10^-3,-8.365367539×10^-4
3.368798333×10^-1,-9.051946551×10^-2,-5.420812406×10^-3,1.542997779×10^-3
