"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.416458334×10^-3,1.143621826×10^-1,3.803440704×10^0,9.086554413×10^0
1.136545834×10^-2,6.930587769×10^-2,3.770958252×10^0,8.968899078×10^0
2.131445834×10^-2,1.910028076×10^-1,3.815266113×10^0,9.026529236×10^0
3.126345834×10^-2,4.703219604×10^-1,3.898792419×10^0,9.154513092×10^0
4.121345833×10^-2,1.117575989×10^0,4.015549622×10^0,9.248667297×10^0
5.116245833×10^-2,1.581611023×10^0,4.078568573×10^0,9.153914337×10^0
6.111145833×10^-2,1.434017944×10^0,4.136049042×10^0,9.032217407×10^0
7.106045834×10^-2,1.153800659×10^0,4.207899628×10^0,8.873547363×10^0
8.100945834×10^-2,1.090781708×10^0,4.227808228×10^0,8.657546539×10^0
9.095945834×10^-2,7.448510742×10^-1,4.062102814×10^0,8.789871368×10^0
1.009084583×10^-1,6.571334839×10^-1,3.939507751×10^0,9.005273438×10^0
1.108574583×10^-1,1.309626617×10^0,4.090693359×10^0,8.826844482×10^0
1.208064583×10^-1,1.136287079×10^0,4.100872192×10^0,8.954528961×10^0
1.307554583×10^-1,1.047222290×10^0,4.316573639×10^0,9.215735779×10^0
1.407044583×10^-1,1.423390045×10^0,4.268373871×10^0,9.402397614×10^0
1.506544583×10^-1,1.621278534×10^0,4.216132507×10^0,9.525890808×10^0
1.606034583×10^-1,1.577868805×10^0,4.310286713×10^0,9.605375519×10^0
1.705524583×10^-1,1.626817017×10^0,4.388274536×10^0,9.599238281×10^0
1.805014583×10^-1,2.004032593×10^0,4.031416626×10^0,8.936416626×10^0
1.904504583×10^-1,1.823657684×10^0,3.563938751×10^0,8.001460876×10^0
2.003994583×10^-1,1.129850464×10^0,3.996539154×10^0,7.287595367×10^0
2.103490833×10^-1,4.248165894×10^-1,4.774172058×10^0,6.625222778×10^0
2.202980833×10^-1,-4.703219604×10^-1,5.336851959×10^0,6.238427124×10^0
2.302470833×10^-1,-1.193168793×10^0,5.712870026×10^0,6.076164551×10^0
2.401960833×10^-1,-1.322649536×10^0,5.828280029×10^0,6.139931946×10^0
2.501450833×10^-1,-1.179846497×10^0,5.687422943×10^0,6.393205261×10^0
2.600950833×10^-1,-1.089733887×10^0,5.649252319×10^0,6.790778503×10^0
2.700440833×10^-1,-1.031205597×10^0,5.536536713×10^0,7.100185089×10^0
2.799930833×10^-1,-1.260977783×10^0,5.188809814×10^0,7.332352295×10^0
2.899420833×10^-1,-1.867965546×10^0,5.252427521×10^0,7.800578613×10^0
2.998910833×10^-1,-2.360291748×10^0,5.491031342×10^0,8.245453491×10^0
3.098410833×10^-1,-3.107837219×10^0,5.607040100×10^0,9.016051025×10^0
3.197900833×10^-1,-3.664080505×10^0,5.648653564×10^0,9.956096191×10^0
3.297390833×10^-1,-4.242627411×10^0,5.769751740×10^0,1.113474518×10^1
3.396880833×10^-1,-4.714895325×10^0,6.062393188×10^0,1.226998444×10^1
3.496370833×10^-1,-4.519401855×10^0,5.890251160×10^0,1.264570312×10^1
3.595860833×10^-1,-4.097579041×10^0,5.234614563×10^0,1.206880280×10^1
3.695360833×10^-1,-3.849544830×10^0,4.551584930×10^0,1.032852173×10^1
3.794850833×10^-1,-4.758754120×10^0,4.484374695×10^0,8.102800140×10^0
3.894340833×10^-1,-6.445296936×10^0,4.777016144×10^0,7.396568756×10^0
3.993830833×10^-1,-6.745722198×10^0,4.850363617×10^0,8.077353058×10^0
4.093320833×10^-1,-6.586603088×10^0,4.979395294×10^0,9.134005737×10^0
4.192820833×10^-1,-6.848558350×10^0,4.752018127×10^0,9.513766022×10^0
4.292310833×10^-1,-7.131619720×10^0,3.801943817×10^0,8.577014008×10^0
4.391800833×10^-1,-7.308701477×10^0,2.878065033×10^0,6.797963562×10^0
4.491290833×10^-1,-7.752977600×10^0,2.789898376×10^0,4.859045563×10^0
4.590780833×10^-1,-7.720944214×10^0,2.940185852×10^0,3.176544342×10^0
4.690270833×10^-1,-7.404352570×10^0,3.187172241×10^0,2.193089447×10^0
4.789770833×10^-1,-7.261549530×10^0,3.754941559×10^0,1.878144379×10^0
4.889260833×10^-1,-7.241640930×10^0,4.301604767×10^0,1.712888031×10^0
4.988750833×10^-1,-7.431146851×10^0,4.913981323×10^0,2.356399841×10^0
5.088240833×10^-1,-7.147935791×10^0,5.739364929×10^0,2.957400055×10^0
5.187730833×10^-1,-6.636748810×10^0,6.467899933×10^0,2.664159851×10^0
5.287230833×10^-1,-6.517446899×10^0,6.831493835×10^0,1.943708038×10^0
5.386720833×10^-1,-6.195616150×10^0,6.767277374×10^0,1.124611359×10^0
5.486210833×10^-1,-6.075116730×10^0,6.442602539×10^0,6.149212646×10^-1
5.585700833×10^-1,-6.371201019×10^0,6.350543976×10^0,9.662406921×10^-1
5.685190833×10^-1,-6.477180634×10^0,6.543941803×10^0,1.757794647×10^0
5.784680833×10^-1,-6.529421997×10^0,6.723867645×10^0,2.702779541×10^0
5.884180833×10^-1,-6.456822968×10^0,6.706204376×10^0,3.595523071×10^0
5.983670833×10^-1,-6.736142120×10^0,6.482120361×10^0,4.254003754×10^0
6.083160833×10^-1,-7.243886261×10^0,6.053411865×10^0,4.579427032×10^0
6.182650833×10^-1,-7.576195221×10^0,5.576503601×10^0,4.824168091×10^0
6.282140833×10^-1,-7.691156158×10^0,5.182672577×10^0,5.171146545×10^0
6.381640833×10^-1,-7.728129272×10^0,5.112019501×10^0,5.918991394×10^0
6.481130833×10^-1,-7.587272186×10^0,5.148393860×10^0,7.244335327×10^0
6.580620833×10^-1,-7.039261780×10^0,5.320685577×10^0,8.090525665×10^0
6.680110833×10^-1,-6.393354950×10^0,5.518424377×10^0,7.656428375×10^0
6.779600833×10^-1,-6.095624084×10^0,5.633535004×10^0,6.568640442×10^0
6.879100833×10^-1,-5.886209564×10^0,5.747597809×10^0,5.460045776×10^0
6.978590833×10^-1,-5.916746063×10^0,5.904770966×10^0,4.848567352×10^0
7.078080833×10^-1,-5.880072327×10^0,6.255341949×10^0,4.829257507×10^0
7.177570833×10^-1,-5.782924347×10^0,6.402036896×10^0,5.068609772×10^0
7.277060833×10^-1,-5.618715820×10^0,6.510860596×10^0,5.008734283×10^0
7.376550833×10^-1,-5.183121643×10^0,6.668632507×10^0,4.844974823×10^0
7.476050833×10^-1,-4.845124512×10^0,6.645879822×10^0,4.306544495×10^0
7.575540833×10^-1,-4.936135254×10^0,6.507866821×10^0,3.704795837×10^0
7.675030833×10^-1,-5.216651917×10^0,6.332880707×10^0,3.481310577×10^0
7.774520833×10^-1,-5.354664917×10^0,6.072422333×10^0,3.640429688×10^0
7.874010833×10^-1,-5.657934265×10^0,5.839356995×10^0,3.738775177×10^0
7.973510833×10^-1,-6.205495605×10^0,5.591472473×10^0,3.911965027×10^0
8.073000833×10^-1,-7.028484192×10^0,5.147196350×10^0,4.078269196×10^0
8.172490833×10^-1,-7.931107178×10^0,4.784799957×10^0,3.977528687×10^0
8.271980833×10^-1,-8.424780579×10^0,4.768932953×10^0,3.718716888×10^0
8.371470833×10^-1,-8.298443298×10^0,4.996010742×10^0,3.764521637×10^0
8.470970833×10^-1,-7.813900909×10^0,5.413941650×10^0,4.246669006×10^0
8.570460833×10^-1,-7.372319183×10^0,5.988147583×10^0,4.718637543×10^0
8.669950833×10^-1,-6.724915466×10^0,6.443051605×10^0,4.496200104×10^0
8.769440833×10^-1,-6.104904785×10^0,6.407276001×10^0,4.070784760×10^0
8.868930833×10^-1,-6.093528442×10^0,5.080584869×10^0,3.275189209×10^0
8.968420833×10^-1,-7.033723297×10^0,6.116879883×10^0,1.055754547×10^0
9.067920833×10^-1,-6.674769745×10^0,7.552394714×10^0,-3.031196594×10^-1
9.167410833×10^-1,-6.073320465×10^0,7.418123932×10^0,-3.326083374×10^-1
9.266900833×10^-1,-5.735622711×10^0,7.409591675×10^0,3.505709839×10^-1
9.366390833×10^-1,-5.644462280×10^0,7.505691833×10^0,1.116378479×10^0
9.465880833×10^-1,-5.792354736×10^0,7.004384308×10^0,1.986369324×10^0
9.565380833×10^-1,-6.003415833×10^0,6.726861420×10^0,2.575843506×10^0
9.664870833×10^-1,-6.469247131×10^0,7.015311584×10^0,2.414479065×10^0
9.764360833×10^-1,-7.087910614×10^0,7.228767700×10^0,1.825603638×10^0
9.863850833×10^-1,-7.482639771×10^0,7.308701477×10^0,9.687854004×10^-1
9.963340833×10^-1,-7.539371796×10^0,7.260651398×10^0,4.629872131×10^-1
1.006284083×10^0,-7.559579773×10^0,7.026388550×10^0,6.123765564×10^-1
1.016233083×10^0,-7.794291687×10^0,6.733447723×10^0,7.206015015×10^-1
1.026182083×10^0,-8.717571716×10^0,6.395151215×10^0,6.283932495×10^-1
1.036131083×10^0,-9.432485046×10^0,6.190526733×10^0,6.810836792×10^-1
1.046080083×10^0,-9.764494629×10^0,6.253395996×10^0,5.921685791×10^-1
1.056029083×10^0,-9.599088593×10^0,6.225104828×10^0,3.667373657×10^-1
1.065979083×10^0,-9.038504333×10^0,6.125262451×10^0,3.379971313×10^-1
1.075928083×10^0,-8.389454041×10^0,6.202501831×10^0,4.095483398×10^-1
1.085877083×10^0,-7.882458344×10^0,6.347250824×10^0,2.299218750×10^-1
1.095826083×10^0,-7.335795135×10^0,6.296356659×10^0,-5.912704468×10^-2
1.105775083×10^0,-6.576873322×10^0,6.197562103×10^0,-4.701722717×10^-1
1.115725083×10^0,-6.156697083×10^0,6.098767548×10^0,-6.887178040×10^-1
1.125674083×10^0,-5.761518860×10^0,6.200855255×10^0,-4.572990417×10^-1
1.135623083×10^0,-5.330714722×10^0,6.469097443×10^0,-4.505630493×10^-2
1.145572083×10^0,-5.191653900×10^0,6.599775696×10^0,-2.409988403×10^-2
1.155521083×10^0,-5.503605194×10^0,6.379733276×10^0,-2.418969727×10^-1
1.165471083×10^0,-6.477629700×10^0,5.883814545×10^0,-2.826123047×10^-1
1.175420083×10^0,-6.617139587×10^0,5.772595825×10^0,2.694396973×10^-3
1.185369083×10^0,-6.270460510×10^0,6.833739166×10^0,-1.839674377×10^-1
1.195318083×10^0,-6.008056183×10^0,7.283254395×10^0,-8.708889771×10^-1
1.205267083×10^0,-6.201903076×10^0,7.242539063×10^0,-1.348096619×10^0
1.215217125×10^0,-6.953340454×10^0,6.565796356×10^0,-1.555864563×10^0
1.225166125×10^0,-7.858807526×10^0,6.281088409×10^0,-1.426982574×10^0
1.235115125×10^0,-7.929460602×10^0,5.594316559×10^0,-1.166823578×10^0
1.245064125×10^0,-8.059240723×10^0,5.193300476×10^0,-6.902146912×10^-1
1.255013125×10^0,-8.354277191×10^0,5.070256348×10^0,-1.733395386×10^-1
1.264962125×10^0,-8.156538391×10^0,4.985532532×10^0,1.089733887×10^-1
1.274912125×10^0,-7.688910828×10^0,4.862937469×10^0,1.437011719×10^-2
1.284861125×10^0,-6.866970062×10^0,4.644092560×10^0,4.278103638×10^-1
1.294810125×10^0,-5.773194580×10^0,4.692591705×10^0,1.049317932×10^0
1.304759125×10^0,-5.505251770×10^0,5.061125336×10^0,6.174659729×10^-1
1.314708125×10^0,-5.286556549×10^0,5.182073822×10^0,7.310797119×10^-1
1.324658125×10^0,-5.197042694×10^0,5.928421783×10^0,8.071215820×10^-1
1.334607125×10^0,-4.755011902×10^0,6.502777405×10^0,1.038540344×10^0
1.344556125×10^0,-3.792812805×10^0,6.801256714×10^0,3.155438232×10^-1
1.354505125×10^0,-2.953957214×10^0,7.160210266×10^0,-8.361611938×10^-1
1.364454125×10^0,-3.120261383×10^0,7.786358185×10^0,-4.716691589×10^-1
1.374404125×10^0,-3.241658936×10^0,8.290360107×10^0,1.666334839×10^0
1.384353125×10^0,-4.181554413×10^0,8.537346497×10^0,-1.409169617×10^0
1.394302125×10^0,-5.521717529×10^0,7.532336426×10^0,-5.088817749×10^0
1.404251125×10^0,-4.919519806×10^0,5.153782654×10^0,-8.337961121×10^0
1.414200125×10^0,-2.063459015×10^0,3.832031250×10^0,-5.107229462×10^0
1.424150125×10^0,3.275189209×10^-1,4.893024902×10^0,5.336402893×10^-1
1.434099125×10^0,7.033872986×10^-1,6.870712280×10^0,2.284399567×10^0
1.444048125×10^0,-7.146139526×10^-1,8.832682343×10^0,1.400188293×10^0
1.453997125×10^0,-6.455775146×10^0,9.729467468×10^0,-2.753673706×10^0
1.463946125×10^0,-4.734354858×10^0,1.055125854×10^1,-5.102289734×10^0
1.473896125×10^0,-2.107317810×10^0,1.029454239×10^1,-3.985312500×10^0
1.483845125×10^0,-3.006647644×10^0,8.045319672×10^0,-2.077679443×10^0
1.493794125×10^0,-3.252436523×10^0,5.860163727×10^0,-9.270222473×10^-1
1.503743125×10^0,-1.977238312×10^0,5.469775543×10^0,-4.364923096×10^-1
1.513692125×10^0,-2.174977112×10^-1,5.224884796×10^0,-2.150428162×10^0
1.523642125×10^0,9.961784363×10^-1,5.591472473×10^0,-4.240382080×10^0
1.533591125×10^0,1.163530426×10^0,5.967340851×10^0,-5.111121368×10^0
1.543540125×10^0,2.633174286×10^0,7.423812103×10^0,-4.700974274×10^0
1.553489125×10^0,3.320694580×10^0,8.483009491×10^0,-6.072422333×10^0
1.563438125×10^0,4.002676392×10^0,1.019934036×10^1,-5.759423218×10^0
1.573388125×10^0,5.269492035×10^0,1.299492691×10^1,-3.738625488×10^0
1.583337125×10^0,6.582561493×10^0,1.878458725×10^1,-8.068222046×10^-2
1.593286125×10^0,7.866291962×10^0,2.814177887×10^1,6.485563202×10^0
1.603235125×10^0,6.527176666×10^0,3.068903183×10^1,8.159681854×10^0
1.613184125×10^0,1.434167633×10^0,2.484099289×10^1,5.124443665×10^0
1.623134125×10^0,-1.545086975×10^0,1.869462433×10^1,1.484762421×10^0
1.633083125×10^0,-3.102149048×10^0,1.340043365×10^1,-2.788700867×10^0
1.643032125×10^0,-4.428091736×10^0,9.083860016×10^0,-7.264842682×10^0
1.652981125×10^0,-5.038821716×10^0,6.591243439×10^0,-8.228688354×10^0
