"event","experiment time","system time","system time text"
"START",0.000000000000000×10^0,1.757277812040766×10^9,"2025-09-07 22:43:32.041 UTC+02:00"
"PAUSE",1.692353312499472×10^1,1.757277828964297×10^9,"2025-09-07 22:43:48.964 UTC+02:00"
