"event","experiment time","system time","system time text"
"START",0.000000000000000×10^0,1.757277399855011×10^9,"2025-09-07 22:36:39.855 UTC+02:00"
"PAUSE",1.669052137499966×10^1,1.757277416545529×10^9,"2025-09-07 22:36:56.546 UTC+02:00"
