"event","experiment time","system time","system time text"
"START",0.000000000000000×10^0,1.757277270984612×10^9,"2025-09-07 22:34:30.985 UTC+02:00"
"PAUSE",1.605575608332583×10^1,1.757277287040365×10^9,"2025-09-07 22:34:47.040 UTC+02:00"
