"event","experiment time","system time","system time text"
"START",0.000000000000000×10^0,1.758406050270891×10^9,"2025-09-21 00:07:30.271 UTC+02:00"
"PAUSE",2.924917254166212×10^1,1.758406079520014×10^9,"2025-09-21 00:07:59.520 UTC+02:00"
