"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.027499868×10^-4,-5.601351929×10^-1,6.049669647×10^0,7.182214508×10^0
1.015274999×10^-2,-6.128256226×10^-1,6.087241516×10^0,7.132667542×10^0
2.010275000×10^-2,-5.185217285×10^-1,6.048322449×10^0,7.116800537×10^0
3.005274999×10^-2,-4.233197021×10^-1,6.059848480×10^0,7.147037659×10^0
4.000374999×10^-2,-2.643502808×10^-1,6.123765564×10^0,7.200326843×10^0
4.995375000×10^-2,-8.771759033×10^-2,6.164630585×10^0,7.186405792×10^0
5.990374999×10^-2,-1.453477478×10^-1,6.264023895×10^0,7.240593109×10^0
6.985375000×10^-2,-1.725910950×10^-1,6.303841095×10^0,7.332501984×10^0
7.980374999×10^-2,-1.071771240×10^-1,6.249354401×10^0,7.414232025×10^0
8.975375000×10^-2,-1.160087585×10^-1,6.179749146×10^0,7.440577240×10^0
9.970374999×10^-2,-8.038284302×10^-2,6.144871674×10^0,7.510182495×10^0
1.096537500×10^-1,7.005432129×10^-2,6.199358368×10^0,7.641309814×10^0
1.196047500×10^-1,2.165995789×10^-1,6.217470703×10^0,7.686216431×10^0
1.295547500×10^-1,3.025209045×10^-1,6.173611908×10^0,7.752229156×10^0
1.395047500×10^-1,2.609074402×10^-1,6.168672180×10^0,7.780370636×10^0
1.494547500×10^-1,5.432203674×10^-1,6.283932495×10^0,7.669900360×10^0
1.594047500×10^-1,5.086422729×10^-1,6.249653778×10^0,7.849077759×10^0
1.693547500×10^-1,5.093907166×10^-1,6.239474945×10^0,7.908803558×10^0
1.793047500×10^-1,4.882846069×10^-1,6.239325256×10^0,7.921227722×10^0
1.892547500×10^-1,4.079017639×10^-1,6.268963623×10^0,7.925568695×10^0
1.992061667×10^-1,3.755690002×10^-1,6.230343933×10^0,7.929310913×10^0
2.091561667×10^-1,1.975891113×10^-1,6.170917511×10^0,7.925718384×10^0
2.191061667×10^-1,-3.113525391×10^-1,6.186934204×10^0,7.780819702×10^0
2.290561667×10^-1,4.342469788×10^-1,6.599027252×10^0,7.620802460×10^0
2.390061667×10^-1,3.571572876×10^-1,6.300847321×10^0,7.856412506×10^0
2.489561667×10^-1,3.083587646×10^-1,6.048621826×10^0,7.824528809×10^0
2.589061667×10^-1,4.031117249×10^-1,6.097420349×10^0,7.664661255×10^0
2.688561667×10^-1,3.001258850×10^-1,6.103707275×10^0,7.718249817×10^0
2.788071667×10^-1,2.115101624×10^-1,6.119873657×10^0,7.686366119×10^0
2.887571667×10^-1,1.740879822×10^-1,6.194418640×10^0,7.550598450×10^0
2.987071667×10^-1,1.128652954×10^-1,6.215075684×10^0,7.382647705×10^0
3.086571667×10^-1,-1.125659180×10^-1,6.248905334×10^0,7.002138977×10^0
3.186071667×10^-1,-3.134481812×10^-1,6.348897400×10^0,6.784192200×10^0
3.285571667×10^-1,-5.447172546×10^-1,6.358627167×10^0,6.776109009×10^0
3.385071667×10^-1,-7.002438354×10^-1,6.375392303×10^0,6.782395935×10^0
3.484571667×10^-1,-7.134164429×10^-1,6.416257324×10^0,6.682852936×10^0
3.584081667×10^-1,-6.753955078×10^-1,6.365363159×10^0,6.623725891×10^0
3.683581667×10^-1,-6.224057007×10^-1,6.297554169×10^0,6.638844452×10^0
3.783081667×10^-1,-5.162763977×10^-1,6.297554169×10^0,6.878795471×10^0
3.882581667×10^-1,-3.607498169×10^-1,6.374194794×10^0,7.382647705×10^0
3.982081667×10^-1,-2.691403198×10^-1,6.415059814×10^0,7.755522308×10^0
4.081581667×10^-1,-2.330653381×10^-1,6.332431641×10^0,7.823181610×10^0
4.181081667×10^-1,-1.974394226×10^-1,6.256389771×10^0,7.690856781×10^0
4.280581667×10^-1,-1.213975525×10^-1,6.304888916×10^0,7.581584015×10^0
4.380081667×10^-1,-6.047424316×10^-2,6.338868256×10^0,7.457042999×10^0
4.479591667×10^-1,-6.855743408×10^-2,6.294859772×10^0,7.303462372×10^0
4.579091667×10^-1,-1.213975525×10^-1,6.253695374×10^0,7.175029449×10^0
4.678591667×10^-1,-1.785786438×10^-1,6.273753662×10^0,7.131470032×10^0
4.778091667×10^-1,-1.354682922×10^-1,6.389313354×10^0,7.137607269×10^0
4.877591667×10^-1,-1.414558411×10^-1,6.450236664×10^0,7.159461823×10^0
4.977091667×10^-1,-2.022294617×10^-1,6.493796082×10^0,7.233258362×10^0
5.076591667×10^-1,-1.673519897×10^-1,6.573280792×10^0,7.307503967×10^0
5.176091667×10^-1,-4.131408691×10^-2,6.681206360×10^0,7.430997162×10^0
5.275601667×10^-1,3.203338623×10^-2,6.701114960×10^0,7.488926697×10^0
5.375101667×10^-1,1.384620667×10^-1,6.618935852×10^0,7.488926697×10^0
5.474601667×10^-1,2.691403198×10^-1,6.563401337×10^0,7.389234009×10^0
