"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.445749993×10^-3,-4.504653439×10^-2,-2.187193371×10^-2,1.246933863×10^-1
1.139575000×10^-2,-7.252822816×10^-2,-5.634868145×10^-2,1.278002262×10^-1
2.134574999×10^-2,-1.143943667×10^-1,-9.772920609×10^-2,1.228616610×10^-1
3.129575000×10^-2,-1.598816812×10^-1,-1.278346479×10^-1,1.069287732×10^-1
4.124675000×10^-2,-2.086702585×10^-1,-1.716323495×10^-1,7.583742589×10^-2
5.119674999×10^-2,-2.558217943×10^-1,-2.055309266×10^-1,7.048340142×10^-2
6.114675000×10^-2,-2.820539474×10^-1,-2.365800291×10^-1,9.040784836×10^-2
7.109674999×10^-2,-2.893560529×10^-1,-2.632095218×10^-1,1.080286577×10^-1
8.104675000×10^-2,-2.936357558×10^-1,-2.998459041×10^-1,1.296857595×10^-1
9.099674999×10^-2,-2.894982696×10^-1,-3.434799314×10^-1,1.602577716×10^-1
1.009467500×10^-1,-2.755145431×10^-1,-3.434614837×10^-1,1.720806062×10^-1
1.108967500×10^-1,-2.574183643×10^-1,-3.330005705×10^-1,1.519929171×10^-1
1.208477500×10^-1,-2.365154773×10^-1,-3.151837587×10^-1,1.221833602×10^-1
1.307977500×10^-1,-2.078446895×10^-1,-2.622800767×10^-1,1.063657776×10^-1
1.407477500×10^-1,-1.834568679×10^-1,-1.865267158×10^-1,6.946951896×10^-2
1.506977500×10^-1,-1.589517891×10^-1,-1.450565010×10^-1,3.160575777×10^-2
1.606477500×10^-1,-1.479229331×10^-1,-1.152412146×10^-1,5.043135956×10^-3
1.705977500×10^-1,-1.402184069×10^-1,-7.703763992×10^-2,-1.092011854×10^-2
1.805477500×10^-1,-1.261903793×10^-1,-3.843205050×10^-2,-8.827418089×10^-3
1.904977500×10^-1,-1.143326685×10^-1,-1.744074561×10^-2,-4.552511964×10^-3
2.004491667×10^-1,-9.123568982×10^-2,-7.077848539×10^-3,-1.596634276×10^-3
2.103991667×10^-1,-5.317645893×10^-2,5.554185808×10^-2,6.643620878×10^-2
2.203491667×10^-1,-3.217920661×10^-2,9.769430757×10^-2,7.934535295×10^-2
2.302991667×10^-1,1.306976378×10^-2,1.829373091×10^-1,7.793574035×10^-2
2.402491667×10^-1,8.655987680×10^-2,3.034058511×10^-1,7.903400809×10^-2
2.501991667×10^-1,1.787481308×10^-1,4.077045619×10^-1,6.166167557×10^-2
2.601491667×10^-1,2.636758089×10^-1,4.478124380×10^-1,3.761439770×10^-2
2.700991667×10^-1,3.207420111×10^-1,4.829134345×10^-1,1.192102116×10^-2
2.800501667×10^-1,3.396768272×10^-1,5.004964471×10^-1,-1.304373238×10^-2
2.900001667×10^-1,3.393220901×10^-1,4.930007160×10^-1,-3.796532750×10^-2
2.999501667×10^-1,3.079976141×10^-1,5.171196461×10^-1,-4.135736078×10^-2
3.099001667×10^-1,2.558595836×10^-1,5.369266272×10^-1,-9.757623076×10^-3
3.198501667×10^-1,2.186843455×10^-1,4.816960990×10^-1,4.720630497×10^-2
3.298001667×10^-1,1.811175346×10^-1,4.053909481×10^-1,1.236709952×10^-1
3.397501667×10^-1,1.280168593×10^-1,3.212802410×10^-1,1.930679381×10^-1
3.497001667×10^-1,5.958985910×10^-2,2.513877153×10^-1,2.500079274×10^-1
3.596511667×10^-1,-2.554003522×10^-2,2.132481635×10^-1,3.019821346×10^-1
3.696011667×10^-1,-1.016563773×10^-1,1.914352626×10^-1,3.342199624×10^-1
3.795511667×10^-1,-1.201903746×10^-1,2.038682699×10^-1,3.327312469×10^-1
3.895011667×10^-1,-6.645070761×10^-2,1.999731213×10^-1,3.057667315×10^-1
3.994511667×10^-1,1.825192012×10^-2,1.618071496×10^-1,2.846463025×10^-1
4.094011667×10^-1,8.846855164×10^-2,1.200061589×10^-1,2.665314972×10^-1
4.193511667×10^-1,1.335850805×10^-1,9.708908945×10^-2,2.417528480×10^-1
4.293011667×10^-1,1.622790396×10^-1,9.775967151×10^-2,2.100111544×10^-1
