"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
-9.791667253×10^-6,-1.830693054×10^0,5.658533020×10^0,8.239016876×10^0
9.940208332×10^-3,-1.682351532×10^0,5.635031891×10^0,8.202941895×10^0
1.989020833×10^-2,-1.421144714×10^0,5.666765900×10^0,8.369844818×10^0
2.983920833×10^-2,-1.192570038×10^0,5.832022247×10^0,8.684191132×10^0
3.978920833×10^-2,-9.839039612×10^-1,6.019582214×10^0,9.041198730×10^0
4.973920833×10^-2,-7.171586609×10^-1,6.082900543×10^0,9.301657104×10^0
5.968820833×10^-2,-2.442919922×10^-1,5.861211548×10^0,9.344318390×10^0
6.963820833×10^-2,8.367599487×10^-2,5.386698303×10^0,9.147178345×10^0
7.958820833×10^-2,3.562591553×10^-2,4.989723816×10^0,8.690178680×10^0
8.953820833×10^-2,-3.094065857×10^-1,4.677922211×10^0,7.931107178×10^0
9.948720833×10^-2,-7.162605286×10^-1,4.387975159×10^0,7.073839874×10^0
1.094372083×10^-1,-8.722361755×10^-1,4.237388306×10^0,6.412664795×10^0
1.193872083×10^-1,-1.016536102×10^0,4.281396790×10^0,6.065836029×10^0
1.293362083×10^-1,-1.101409607×10^0,4.506528625×10^0,5.989943848×10^0
1.392862083×10^-1,-1.054257660×10^0,4.845124512×10^0,6.161187744×10^0
1.492362083×10^-1,-1.021775208×10^0,5.137466583×10^0,6.511309662×10^0
1.591853333×10^-1,-7.973918152×10^-1,5.425317993×10^0,6.839127960×10^0
1.691353333×10^-1,-5.828878784×10^-1,5.667364655×10^0,7.145840149×10^0
1.790853333×10^-1,-4.510121155×10^-1,5.883515167×10^0,7.456144867×10^0
1.890353333×10^-1,-1.651066589×10^-1,5.938151550×10^0,7.704328766×10^0
1.989843333×10^-1,-8.487350464×10^-2,5.597759399×10^0,7.513475647×10^0
2.089343333×10^-1,-5.301974487×10^-1,5.325924683×10^0,7.064409485×10^0
2.188843333×10^-1,-1.473835144×10^0,5.360652466×10^0,6.707551575×10^0
2.288333333×10^-1,-2.589614868×10^0,5.695805511×10^0,6.725813599×10^0
2.387833333×10^-1,-3.406765594×10^0,6.229745178×10^0,7.112010498×10^0
2.487333333×10^-1,-3.617377625×10^0,6.661148071×10^0,7.527845764×10^0
2.586833333×10^-1,-3.599564667×10^0,6.747518463×10^0,7.904761963×10^0
2.686323333×10^-1,-3.505111084×10^0,6.569837952×10^0,7.940687256×10^0
2.785823333×10^-1,-3.361260223×10^0,6.313870239×10^0,7.709867249×10^0
2.885323333×10^-1,-3.351680145×10^0,5.995931396×10^0,7.308851166×10^0
2.984813333×10^-1,-3.361409912×10^0,5.713019714×10^0,6.624474335×10^0
3.084313333×10^-1,-3.883524170×10^0,5.699248352×10^0,6.021677856×10^0
3.183813333×10^-1,-4.775219879×10^0,6.024821320×10^0,5.705235901×10^0
3.283303333×10^-1,-5.305716705×10^0,6.506669312×10^0,5.726641388×10^0
3.382803333×10^-1,-5.620362396×10^0,6.712191925×10^0,5.937852173×10^0
3.482303333×10^-1,-5.648653564×10^0,6.627468109×10^0,6.228547668×10^0
3.581803333×10^-1,-5.124892731×10^0,6.474186859×10^0,6.416407013×10^0
3.681293333×10^-1,-4.589755554×10^0,6.234684906×10^0,6.281238098×10^0
3.780793333×10^-1,-4.349954224×10^0,6.005810852×10^0,5.799390106×10^0
3.880293333×10^-1,-4.127666473×10^0,5.737119598×10^0,4.894671478×10^0
3.979783333×10^-1,-4.605323181×10^0,5.852828979×10^0,4.034260712×10^0
4.079283333×10^-1,-5.550158386×10^0,6.476282501×10^0,3.673061829×10^0
4.178783333×10^-1,-6.149212646×10^0,7.035220184×10^0,3.804937592×10^0
4.278273333×10^-1,-6.467450867×10^0,7.065606995×10^0,4.001927948×10^0
4.377773333×10^-1,-6.671775970×10^0,6.757996674×10^0,3.910917206×10^0
4.477273333×10^-1,-6.661297760×10^0,6.507567444×10^0,3.042572937×10^0
4.576773333×10^-1,-6.547534332×10^0,6.540498962×10^0,1.929936676×10^0
4.676263333×10^-1,-6.282884674×10^0,6.777905273×10^0,1.410965881×10^0
4.775763333×10^-1,-5.843248901×10^0,7.059020691×10^0,1.236728210×10^0
4.875263333×10^-1,-5.510939941×10^0,7.280859375×10^0,1.550326080×10^0
