"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.315833335×10^-3,-4.779560852×10^-1,3.146456909×10^0,9.399703217×10^0
1.226583333×10^-2,-4.960684204×10^-1,3.158282318×10^0,9.440119171×10^0
2.221583333×10^-2,-5.352868652×10^-1,3.056493988×10^0,9.439370728×10^0
3.216583333×10^-2,-5.146298218×10^-1,2.974464569×10^0,9.426647186×10^0
4.211483333×10^-2,-4.984634399×10^-1,2.919079742×10^0,9.428742828×10^0
5.206483333×10^-2,-5.276527405×10^-1,2.921175385×10^0,9.466165009×10^0
6.201483333×10^-2,-5.840853882×10^-1,2.909649353×10^0,9.410331116×10^0
7.196483333×10^-2,-6.322851562×10^-1,2.885848846×10^0,9.323361969×10^0
8.191483333×10^-2,-6.360273743×10^-1,2.884651337×10^0,9.235045624×10^0
9.186483333×10^-2,-6.348298645×10^-1,2.907703400×10^0,9.232351227×10^0
1.018148333×10^-1,-6.173162842×10^-1,2.965183868×10^0,9.208700409×10^0
1.117648333×10^-1,-5.665718079×10^-1,3.004701691×10^0,9.169182587×10^0
1.217148333×10^-1,-5.099894714×10^-1,3.003953247×10^0,9.138795776×10^0
1.316638333×10^-1,-4.079017639×10^-1,3.003803558×10^0,9.306147766×10^0
1.416138333×10^-1,-3.727249146×10^-1,2.973716125×10^0,9.474547577×10^0
1.515638333×10^-1,-4.445755005×10^-1,2.935844879×10^0,9.533824310×10^0
1.615138333×10^-1,-5.129832458×10^-1,2.877466278×10^0,9.559720459×10^0
1.714638333×10^-1,-5.104385376×10^-1,2.851719818×10^0,9.558672638×10^0
1.814138333×10^-1,-5.104385376×10^-1,2.818788300×10^0,9.491163025×10^0
1.913638333×10^-1,-5.237608337×10^-1,2.850222931×10^0,9.412576447×10^0
2.013138333×10^-1,-5.322930908×10^-1,2.871628418×10^0,9.321416016×10^0
2.112638333×10^-1,-5.159770203×10^-1,2.848576355×10^0,9.219477997×10^0
2.212138333×10^-1,-5.394781494×10^-1,2.876568146×10^0,9.152118073×10^0
2.311628333×10^-1,-5.275030518×10^-1,2.894680481×10^0,9.118887177×10^0
2.411128333×10^-1,-4.977149963×10^-1,2.876119080×10^0,9.148525543×10^0
2.510628333×10^-1,-4.357438660×10^-1,2.864293671×10^0,9.268725586×10^0
2.610128333×10^-1,-4.209246826×10^-1,2.816243591×10^0,9.389973450×10^0
2.709628333×10^-1,-3.920347595×10^-1,2.786305847×10^0,9.483229523×10^0
2.809128333×10^-1,-3.628454590×10^-1,2.754122772×10^0,9.523495789×10^0
2.908628333×10^-1,-3.724255371×10^-1,2.728825378×10^0,9.500443726×10^0
3.008128333×10^-1,-3.939807129×10^-1,2.694995728×10^0,9.495953064×10^0
3.107628333×10^-1,-4.152365112×10^-1,2.695444794×10^0,9.518106995×10^0
3.207118333×10^-1,-4.239184570×10^-1,2.724334717×10^0,9.502539368×10^0
3.306618333×10^-1,-4.007167053×10^-1,2.714155884×10^0,9.402846680×10^0
3.406118333×10^-1,-4.101470947×10^-1,2.696791992×10^0,9.318721619×10^0
3.505618333×10^-1,-4.269122314×10^-1,2.673440552×10^0,9.260043640×10^0
3.605118333×10^-1,-4.330494690×10^-1,2.691702576×10^0,9.231303406×10^0
3.704618333×10^-1,-3.966751099×10^-1,2.690954132×10^0,9.250014496×10^0
3.804118333×10^-1,-3.571572876×10^-1,2.687810669×10^0,9.236991577×10^0
3.903618333×10^-1,-3.144960022×10^-1,2.650538177×10^0,9.270072784×10^0
4.003118333×10^-1,-2.881507874×10^-1,2.620899811×10^0,9.426796875×10^0
4.102618333×10^-1,-2.695893860×10^-1,2.569855957×10^0,9.590107269×10^0
4.202108333×10^-1,-2.751278687×10^-1,2.571502533×10^0,9.680369568×10^0
4.301608333×10^-1,-3.013233948×10^-1,2.598596191×10^0,9.659263458×10^0
4.401108333×10^-1,-3.297642517×10^-1,2.621947632×10^0,9.526938629×10^0
4.500608333×10^-1,-3.279679871×10^-1,2.645748138×10^0,9.359287262×10^0
4.600108333×10^-1,-3.644920349×10^-1,2.658471680×10^0,9.249715118×10^0
4.699608333×10^-1,-3.697311401×10^-1,2.672841797×10^0,9.273365936×10^0
4.799108333×10^-1,-3.649411011×10^-1,2.689606934×10^0,9.363927612×10^0
4.898608333×10^-1,-3.359014893×10^-1,2.716850281×10^0,9.434131622×10^0
4.998108333×10^-1,-3.150947571×10^-1,2.711311798×10^0,9.472601624×10^0
5.097608333×10^-1,-3.233276367×10^-1,2.699636078×10^0,9.500743103×10^0
5.197098333×10^-1,-3.662882996×10^-1,2.712060242×10^0,9.596094818×10^0
5.296598333×10^-1,-3.321592712×10^-1,2.719694366×10^0,9.684560852×10^0
5.396098333×10^-1,-2.625540161×10^-1,2.715652771×10^0,9.706864471×10^0
5.495598333×10^-1,-2.245330811×10^-1,2.702929230×10^0,9.674232330×10^0
5.595098333×10^-1,-2.603086853×10^-1,2.720742188×10^0,9.604926453×10^0
5.694598333×10^-1,-2.793191528×10^-1,2.729573822×10^0,9.584568787×10^0
5.794098333×10^-1,-2.731819153×10^-1,2.709814911×10^0,9.580826569×10^0
5.893598333×10^-1,-2.541714478×10^-1,2.679577789×10^0,9.518855438×10^0
5.993098333×10^-1,-2.652484131×10^-1,2.658172302×10^0,9.473200378×10^0
6.092588333×10^-1,-2.633024597×10^-1,2.639161835×10^0,9.506580963×10^0
6.192088333×10^-1,-2.164498901×10^-1,2.618504791×10^0,9.526788940×10^0
6.291588333×10^-1,-1.775308228×10^-1,2.595602417×10^0,9.536069641×10^0
6.391088333×10^-1,-1.573228455×10^-1,2.569257202×10^0,9.539213104×10^0
6.490588333×10^-1,-1.734892273×10^-1,2.565664673×10^0,9.564660187×10^0
6.590088333×10^-1,-1.769320679×10^-1,2.576591949×10^0,9.585466919×10^0
