"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
-1.946791666×10^-3,-7.783813477×10^-1,6.232439575×10^0,6.430926819×10^0
8.001208333×10^-3,-6.316864014×10^-1,6.313271484×10^0,5.829926605×10^0
1.794920833×10^-2,-5.138813782×10^-1,6.438411255×10^0,5.549709320×10^0
2.789720833×10^-2,5.484594727×10^-1,7.078929291×10^0,4.893024902×10^0
3.784520833×10^-2,5.049000549×10^-1,6.983727264×10^0,4.456981659×10^0
4.779320833×10^-2,2.423460388×10^-1,6.708599396×10^0,4.722828827×10^0
5.774120833×10^-2,1.728904724×10^-1,6.896009674×10^0,5.283413086×10^0
6.768920833×10^-2,8.375083923×10^-1,7.410040741×10^0,5.867648163×10^0
7.763720833×10^-2,1.568737793×10^-1,7.261848907×10^0,6.404431915×10^0
8.758520833×10^-2,-6.706054688×10^-1,7.270381165×10^0,6.565197601×10^0
9.753320833×10^-2,-1.047671356×10^0,7.486531677×10^0,6.154900818×10^0
1.074822083×10^-1,-6.442602539×10^-1,7.517966309×10^0,5.729335785×10^0
1.174302083×10^-1,1.312770081×10^-1,7.333400116×10^0,5.528004456×10^0
1.273782083×10^-1,1.403182068×10^0,6.683152313×10^0,6.724466400×10^0
1.373262083×10^-1,1.199605408×10^0,5.517526245×10^0,8.352331238×10^0
1.472742083×10^-1,2.859054565×10^-1,5.368735657×10^0,8.920549622×10^0
1.572222083×10^-1,-8.551716614×10^-1,6.411916351×10^0,6.877448273×10^0
1.671702083×10^-1,-1.327589264×10^0,6.988217926×10^0,5.492079163×10^0
1.771182083×10^-1,-1.720522156×10^0,7.317982178×10^0,5.196443939×10^0
1.870662083×10^-1,-1.958527222×10^0,7.707322540×10^0,4.656816101×10^0
1.970142083×10^-1,-1.874851227×10^0,7.809260559×10^0,4.702321472×10^0
2.069622083×10^-1,-2.232457581×10^0,7.713609467×10^0,5.541626129×10^0
2.169102083×10^-1,-3.511697388×10^0,7.718698883×10^0,4.948559418×10^0
2.268582083×10^-1,-4.778962097×10^0,7.643704834×10^0,5.517077179×10^0
2.368062083×10^-1,-6.055806885×10^0,7.773784332×10^0,5.284610596×10^0
2.467542083×10^-1,-7.635172577×10^0,7.714357910×10^0,5.146896973×10^0
2.567032083×10^-1,-8.706794128×10^0,7.270530853×10^0,5.451663208×10^0
2.666512083×10^-1,-9.150471497×10^0,7.026987305×10^0,5.252427521×10^0
2.765992083×10^-1,-9.231902161×10^0,7.102580109×10^0,4.347409515×10^0
2.865472083×10^-1,-9.430090027×10^0,7.309300232×10^0,2.994073792×10^0
2.964952083×10^-1,-9.176517334×10^0,6.934329987×10^0,1.349443817×10^0
3.064432083×10^-1,-8.371790771×10^0,6.404282227×10^0,9.939331055×10^-2
3.163912083×10^-1,-7.555837555×10^0,6.896009674×10^0,3.742218018×10^-3
3.263392083×10^-1,-7.443720703×10^0,6.589447174×10^0,4.206253052×10^-2
3.362872083×10^-1,-6.955735474×10^0,6.450536041×10^0,4.960684204×10^-1
3.462352083×10^-1,-6.507268066×10^0,6.252048798×10^0,7.144642639×10^-1
3.561832083×10^-1,-6.715036011×10^0,5.953419800×10^0,1.064885559×10^0
3.661312083×10^-1,-7.442373505×10^0,5.762566681×10^0,1.984123993×10^0
3.760792083×10^-1,-8.700058136×10^0,5.441634064×10^0,2.505190430×10^0
3.860272083×10^-1,-9.822274475×10^0,5.138364716×10^0,2.159858551×10^0
3.959752083×10^-1,-1.013856674×10^1,5.230423279×10^0,1.122665405×10^0
4.059242083×10^-1,-9.660760345×10^0,5.433850250×10^0,1.199006653×10^-1
4.158722083×10^-1,-9.403295746×10^0,5.360053711×10^0,2.484832764×10^-2
4.258202083×10^-1,-8.279283142×10^0,5.298831024×10^0,5.501060486×10^-1
4.357682083×10^-1,-7.081024933×10^0,4.987777863×10^0,1.242117004×10^0
4.457162083×10^-1,-7.047644348×10^0,5.041366425×10^0,1.909878387×10^0
4.556642083×10^-1,-7.477550354×10^0,4.372706909×10^0,1.586550751×10^0
4.656122083×10^-1,-6.084547119×10^0,5.473667450×10^0,3.436104584×10^0
4.755602083×10^-1,-4.214186554×10^0,9.247619476×10^0,3.801794128×10^0
4.855082083×10^-1,-7.459887085×10^0,7.799381104×10^0,-1.197509766×10^0
4.954562083×10^-1,-6.975943451×10^0,7.206913147×10^0,-8.788224792×10^-1
5.054042083×10^-1,-4.835694122×10^0,8.176896057×10^0,3.125500488×10^-1
5.153522083×10^-1,-5.698499908×10^0,7.732170868×10^0,6.807843018×10^-1
5.253002083×10^-1,-5.843548279×10^0,6.967560883×10^0,9.077124023×10^-1
5.352482083×10^-1,-5.975424042×10^0,6.402935028×10^0,1.500479736×10^0
5.451972083×10^-1,-6.609505463×10^0,6.046226807×10^0,1.490151215×10^0
5.551452083×10^-1,-7.531288605×10^0,6.143524475×10^0,8.640032959×10^-1
5.650932083×10^-1,-8.457412720×10^0,6.418802032×10^0,3.758683777×10^-1
5.750412083×10^-1,-8.986412659×10^0,6.633305969×10^0,1.627116394×10^-1
5.849892083×10^-1,-9.532776489×10^0,6.293961639×10^0,-1.502276001×10^0
5.949372083×10^-1,-1.089075256×10^1,6.865323486×10^0,1.530716858×10^0
6.048852083×10^-1,-1.109268265×10^1,6.416706390×10^0,2.289488983×10^0
6.148332083×10^-1,-1.205742645×10^1,6.035898285×10^0,1.821562042×10^0
6.247812083×10^-1,-1.237521561×10^1,5.310357056×10^0,8.626560974×10^-1
6.347292083×10^-1,-1.106154739×10^1,5.233117676×10^0,1.977388000×10^-1
6.446772083×10^-1,-9.397757263×10^0,4.259841614×10^0,1.360221405×10^0
6.546252083×10^-1,-9.329050140×10^0,3.075205078×10^0,-1.890718231×10^0
6.645732083×10^-1,-1.024364822×10^1,4.209246826×10^0,-3.090623016×10^0
6.745212083×10^-1,-9.848170624×10^0,5.373525696×10^0,-3.004102936×10^0
6.844694167×10^-1,-1.005743546×10^1,6.074068909×10^0,-2.796035614×10^0
6.944184167×10^-1,-1.104298599×10^1,6.405928802×10^0,-3.284320221×10^0
7.043664167×10^-1,-1.130359406×10^1,6.739884338×10^0,-4.373305664×10^0
7.143144167×10^-1,-1.139670044×10^1,6.574927368×10^0,-5.009033661×10^0
7.242624167×10^-1,-1.106364304×10^1,5.389093323×10^0,-3.679199066×10^0
7.342104167×10^-1,-1.073223221×10^1,3.926035767×10^0,-2.709216156×10^0
7.441584167×10^-1,-1.072699310×10^1,2.533780975×10^0,-1.833237762×10^0
7.541064167×10^-1,-1.136167328×10^1,1.274150391×10^0,-1.303040314×10^0
7.640544167×10^-1,-1.177376633×10^1,1.128054199×10^0,-1.635498962×10^0
7.740024167×10^-1,-1.088716003×10^1,2.508333893×10^0,-1.947300568×10^0
7.839504167×10^-1,-9.919123077×10^0,3.613635406×10^0,-2.635868683×10^0
7.938984167×10^-1,-9.624535675×10^0,3.983665924×10^0,-4.108057251×10^0
8.038464167×10^-1,-9.168134766×10^0,4.331841888×10^0,-4.885839844×10^0
8.137944167×10^-1,-8.119265900×10^0,4.412823486×10^0,-3.752995605×10^0
