"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
7.548662917×10^-1,1.209784241×10^0,7.554939423×10^0,6.998546448×10^0
7.648162917×10^-1,7.220983887×10^-1,7.378157043×10^0,5.858517151×10^0
7.747672917×10^-1,1.106199646×10^-1,7.402556305×10^0,5.269791412×10^0
7.847172917×10^-1,-4.421804810×10^-1,7.789950714×10^0,5.282215576×10^0
7.946672917×10^-1,-5.077291718×10^0,6.751410370×10^0,7.861651611×10^0
8.046172917×10^-1,7.189399567×10^0,1.125180176×10^1,5.653892670×10^0
8.145672917×10^-1,-2.485431519×10^0,7.348967743×10^0,1.541045380×10^0
8.245172917×10^-1,-3.324137421×10^0,6.782096558×10^0,5.131628723×10^0
8.344672917×10^-1,-1.220861206×10^0,7.728278961×10^0,4.857997742×10^0
8.444172917×10^-1,-2.370320892×10^0,7.844287720×10^0,5.702990570×10^0
8.543672917×10^-1,-2.757715302×10^0,9.193132782×10^0,5.353317719×10^0
8.643172917×10^-1,-3.100203094×10^0,1.032477951×10^1,4.577780457×10^0
8.742672917×10^-1,-2.868784332×10^0,1.146959885×10^1,4.386478271×10^0
8.842172917×10^-1,-3.460503845×10^0,1.090736801×10^1,3.747157745×10^0
8.941672917×10^-1,-3.460054779×10^0,1.055724609×10^1,2.994223480×10^0
9.041172917×10^-1,-2.699336700×10^0,1.026939468×10^1,2.451302490×10^0
9.140672917×10^-1,-2.434687042×10^0,9.520052948×10^0,2.672542419×10^0
9.240172917×10^-1,-1.521585846×10^0,9.510772247×10^0,3.513044586×10^0
9.339672917×10^-1,-1.319805450×10^0,9.882000275×10^0,4.360731812×10^0
9.439172917×10^-1,-1.243464203×10^0,1.053808594×10^1,4.991520081×10^0
9.538672917×10^-1,-9.195378113×10^-1,1.063703018×10^1,4.966522064×10^0
9.638172917×10^-1,2.634521484×10^-1,1.047476761×10^1,5.860912170×10^0
9.737672917×10^-1,-2.719844055×10^-1,1.014260834×10^1,6.809938660×10^0
9.837172917×10^-1,-8.346643066×10^-1,9.206604767×10^0,7.820038147×10^0
9.936672917×10^-1,-1.054107971×10^0,8.934171295×10^0,8.275690613×10^0
1.003617292×10^0,-1.594484253×10^0,8.766669617×10^0,8.001460876×10^0
1.013567292×10^0,-2.389481049×10^0,8.229287109×10^0,6.515950012×10^0
1.023517292×10^0,-2.984194336×10^0,8.038134613×10^0,4.827012177×10^0
1.033468292×10^0,-3.355122986×10^0,8.335715790×10^0,3.864663391×10^0
1.043418292×10^0,-3.625760193×10^0,8.256231079×10^0,3.612737274×10^0
1.053368292×10^0,-3.417094116×10^0,8.115224304×10^0,3.861669617×10^0
1.063318292×10^0,-3.214116211×10^0,7.988887024×10^0,4.113146667×10^0
1.073268292×10^0,-3.369792480×10^0,7.802075500×10^0,3.879183197×10^0
1.083218292×10^0,-3.165916443×10^0,7.561076660×10^0,3.435056763×10^0
