"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
6.914352917×10^-1,1.423029661×10^0,4.695148170×10^-1,-8.210431933×10^-1
7.013852917×10^-1,1.130331755×10^0,3.691426516×10^-1,-6.323494911×10^-1
7.113352917×10^-1,8.879790306×10^-1,1.315290183×10^-1,-4.461716115×10^-1
7.212852917×10^-1,7.546971440×10^-1,1.358237467×10^-3,-2.868189514×10^-1
7.312352917×10^-1,6.891731620×10^-1,3.330967948×10^-2,-2.339204848×10^-1
7.411852917×10^-1,7.217769027×10^-1,2.577190697×10^-1,-2.271099836×10^-1
7.511352917×10^-1,7.492632270×10^-1,2.500806153×10^-1,-2.270507514×10^-1
7.610852917×10^-1,6.494836211×10^-1,7.022095961×10^-4,-2.481994480×10^-1
7.710352917×10^-1,4.331876040×10^-1,-1.953157634×10^-1,-2.862741351×10^-1
7.809862917×10^-1,2.116392255×10^-1,-2.579075098×10^-1,-3.399120569×10^-1
7.909362917×10^-1,3.456122875×10^-1,3.047618270×10^-1,-1.532390267×10^-1
8.008862917×10^-1,6.241362169×10^-2,3.963386118×10^-1,-1.192160249×10^0
8.108362917×10^-1,-3.714849055×10^-1,-1.617800817×10^-2,-1.053595781×10^0
8.207862917×10^-1,-4.309655428×10^-1,-2.879064679×10^-1,-9.808427095×10^-1
8.307362917×10^-1,-4.254327118×10^-1,-7.232332230×10^-1,-1.062011838×10^0
8.406862917×10^-1,-1.100164428×10^-1,-1.149378896×10^0,-1.221009254×10^0
8.506362917×10^-1,3.939510882×10^-1,-1.607296586×10^0,-1.463370204×10^0
8.605862917×10^-1,7.509558201×10^-1,-1.715097427×10^0,-1.655944943×10^0
8.705362917×10^-1,8.789685369×10^-1,-1.692025185×10^0,-1.826120496×10^0
8.804862917×10^-1,7.774752378×10^-1,-1.695314646×10^0,-1.859133005×10^0
8.904362917×10^-1,5.969468951×10^-1,-1.861690640×10^0,-1.850591660×10^0
9.003862917×10^-1,4.796175957×10^-1,-2.231994152×10^0,-1.835515022×10^0
9.103362917×10^-1,5.141500831×10^-1,-2.529415369×10^0,-1.857439637×10^0
9.202862917×10^-1,6.944756508×10^-1,-2.578011990×10^0,-1.967965841×10^0
9.302362917×10^-1,8.285734057×10^-1,-2.248195648×10^0,-1.960037589×10^0
9.401862917×10^-1,5.819010139×10^-1,-1.726647615×10^0,-1.753854871×10^0
9.501362917×10^-1,-4.299228191×10^-1,-7.690645456×10^-1,-1.243790746×10^0
9.600862917×10^-1,-1.321490526×10^0,-7.063673139×10^-1,-1.029866457×10^0
9.700362917×10^-1,-1.795455217×10^0,-4.564132988×10^-1,-9.677523375×10^-1
9.799862917×10^-1,-1.669306278×10^0,-3.865548670×10^-1,-1.085861444×10^0
9.899362917×10^-1,-9.841814637×10^-1,-5.052971840×10^-1,-1.260899901×10^0
9.998862917×10^-1,-2.127864957×10^-1,-5.376423001×10^-1,-1.315986395×10^0
1.009836292×10^0,3.165454566×10^-1,-5.210186839×10^-1,-1.215137959×10^0
1.019786292×10^0,5.399119258×10^-1,-7.201552391×10^-1,-1.031166553×10^0
1.029737292×10^0,5.422428250×10^-1,-9.630171657×10^-1,-8.396558166×10^-1
1.039687292×10^0,4.373552799×10^-1,-1.012603402×10^0,-7.058849931×10^-1
1.049637292×10^0,3.411789536×10^-1,-8.456321359×10^-1,-6.843240261×10^-1
1.059587292×10^0,3.191492856×10^-1,-5.028933883×10^-1,-7.214639783×10^-1
1.069537292×10^0,3.702781498×10^-1,-2.583536208×10^-1,-7.622715235×10^-1
