"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
6.391458333×10^-3,2.643838525×10^-1,3.125296440×10^-3,-3.223033547×10^-1
1.634045834×10^-2,2.380613685×10^-1,6.124404445×10^-2,-3.048283458×10^-1
2.628945834×10^-2,2.307850718×10^-1,1.395023614×10^-1,-3.131453991×10^-1
3.623845833×10^-2,2.438288629×10^-1,2.612104416×10^-1,-3.906590939×10^-1
4.618745833×10^-2,2.706471682×10^-1,4.024325311×10^-1,-5.256025791×10^-1
5.613645833×10^-2,3.208124340×10^-1,4.779802561×10^-1,-6.622470021×10^-1
6.608645833×10^-2,4.062849879×10^-1,4.645206332×10^-1,-7.673941851×10^-1
7.603545834×10^-2,5.184355378×10^-1,3.721886873×10^-1,-8.326790929×10^-1
8.598445834×10^-2,6.947240233×10^-1,1.337265819×10^-1,-8.542046547×10^-1
9.593345833×10^-2,9.022756219×10^-1,2.193307132×10^-2,-8.634579778×10^-1
1.058824583×10^-1,1.088725328×10^0,-3.157356381×10^-2,-8.935428858×10^-1
1.158314583×10^-1,1.280505180×10^0,-1.262519360×10^-1,-9.061335325×10^-1
1.257814583×10^-1,1.482343793×10^0,-1.857861131×10^-1,-9.214522839×10^-1
1.357304583×10^-1,1.671744466×10^0,-1.068945453×10^-1,-9.685704112×10^-1
1.456794583×10^-1,1.837017775×10^0,3.209050372×10^-2,-1.049718857×10^0
1.556284583×10^-1,1.993481636×10^0,1.430827379×10^-1,-1.135851979×10^0
1.655774583×10^-1,2.137587309×10^0,2.444847375×10^-1,-1.226226091×10^0
1.755274583×10^-1,2.188629627×10^0,2.538203299×10^-1,-1.333449721×10^0
1.854764583×10^-1,2.120743752×10^0,1.879672855×10^-1,-1.438432336×10^0
1.954254583×10^-1,1.950384617×10^0,7.958520949×10^-2,-1.514054775×10^0
2.053744583×10^-1,1.692060590×10^0,-6.100599095×10^-2,-1.553723097×10^0
2.153230833×10^-1,1.378874302×10^0,-1.665076464×10^-1,-1.537264585×10^0
2.252720833×10^-1,1.028259873×10^0,-2.157526910×10^-1,-1.502191186×10^0
2.352220833×10^-1,6.599651575×10^-1,-2.268389612×10^-1,-1.489710689×10^0
2.451710833×10^-1,3.057130873×10^-1,-1.733767986×10^-1,-1.524075627×10^0
2.551200833×10^-1,1.015291270×10^-2,-1.172187701×10^-1,-1.606155515×10^0
2.650690833×10^-1,-2.390305400×10^-1,-1.382324398×10^-1,-1.714106202×10^0
2.750180833×10^-1,-4.413785338×10^-1,-1.610392928×10^-1,-1.807009220×10^0
2.849680833×10^-1,-5.857833624×10^-1,-1.756715029×10^-1,-1.879379749×10^0
2.949170833×10^-1,-6.812719107×10^-1,-2.186843008×10^-1,-1.925046086×10^0
3.048660833×10^-1,-6.992633939×10^-1,-2.276801914×10^-1,-1.934773326×10^0
3.148150833×10^-1,-6.285179257×10^-1,-1.717946529×10^-1,-1.930617690×10^0
3.247640833×10^-1,-4.419525564×10^-1,4.557463340×10^-3,-1.930203080×10^0
3.347140833×10^-1,-1.321990639×10^-1,2.733252048×10^-1,-1.948859572×10^0
3.446630833×10^-1,2.246962190×10^-1,5.684372783×10^-1,-2.035859346×10^0
3.546120833×10^-1,5.248607993×10^-1,8.858520985×10^-1,-2.197262049×10^0
3.645610833×10^-1,6.181758642×10^-1,1.189249873×10^0,-2.370947361×10^0
3.745100833×10^-1,4.754158258×10^-1,1.417735457×10^0,-2.387534857×10^0
3.844590833×10^-1,3.093887568×10^-1,1.521298051×10^0,-2.203713417×10^0
3.944090833×10^-1,3.314945698×10^-1,1.553033113×10^0,-2.011339903×10^0
4.043580833×10^-1,5.743341446×10^-1,1.690198421×10^0,-1.896388650×10^0
4.143070833×10^-1,9.655933976×10^-1,1.906179667×10^0,-1.793572664×10^0
4.242560833×10^-1,1.316680312×10^0,2.116892576×10^0,-1.608765364×10^0
4.342050833×10^-1,1.493988752×10^0,2.288199902×10^0,-1.299142241×10^0
4.441540833×10^-1,1.456086397×10^0,2.399014473×10^0,-9.202065468×10^-1
4.541040833×10^-1,1.248426914×10^0,2.402452230×10^0,-5.683781505×10^-1
4.640530833×10^-1,9.863100648×10^-1,2.217531919×10^0,-2.961045802×10^-1
4.740020833×10^-1,7.754832506×10^-1,1.910739899×10^0,-1.014614478×10^-1
4.839510833×10^-1,6.356979609×10^-1,1.588146091×10^0,3.681626543×10^-2
4.939000833×10^-1,6.717227697×10^-1,1.214991212×10^0,1.425338984×10^-1
5.038500833×10^-1,9.042907953×10^-1,9.804035425×10^-1,1.357913613×10^-1
5.137990833×10^-1,1.196457982×10^0,8.416111469×10^-1,-5.704426020×10^-2
5.237480833×10^-1,1.325747728×10^0,6.592051387×10^-1,-3.383094668×10^-1
5.336970833×10^-1,1.231325507×10^0,4.086223543×10^-1,-5.905109048×10^-1
5.436460833×10^-1,1.044951081×10^0,2.756074071×10^-3,-7.628549933×10^-1
5.535960833×10^-1,9.193376303×10^-1,-4.993626773×10^-1,-8.771203756×10^-1
