"event","experiment time","system time","system time text"
"START",0.000000000000000×10^0,1.757277550723951×10^9,"2025-09-07 22:39:10.724 UTC+02:00"
"PAUSE",1.610691587498877×10^1,1.757277566830864×10^9,"2025-09-07 22:39:26.831 UTC+02:00"
