"event","experiment time","system time","system time text"
"START",0.000000000000000×10^0,1.758370545395773×10^9,"2025-09-20 14:15:45.396 UTC+02:00"
"PAUSE",2.576137212500180×10^1,1.758370571157114×10^9,"2025-09-20 14:16:11.157 UTC+02:00"
