"event","experiment time","system time","system time text"
"START",0.000000000000000×10^0,1.758475157764022×10^9,"2025-09-21 19:19:17.764 UTC+02:00"
"PAUSE",2.428516399999899×10^1,1.758475182049085×10^9,"2025-09-21 19:19:42.049 UTC+02:00"
