"event","experiment time","system time","system time text"
"START",0.000000000000000×10^0,1.758528767821635×10^9,"2025-09-22 10:12:47.822 UTC+02:00"
"PAUSE",2.341377325000212×10^1,1.758528791235280×10^9,"2025-09-22 10:13:11.235 UTC+02:00"
