"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
4.873458325×10^-3,7.414253354×10^-1,4.107347429×10^-1,-4.084246159×10^-1
1.482345833×10^-2,7.301881313×10^-1,3.763533235×10^-1,-4.975483716×10^-1
2.477345832×10^-2,6.928194761×10^-1,3.139778376×10^-1,-6.086602807×10^-1
3.472345833×10^-2,5.973011851×10^-1,2.590498924×10^-1,-6.888453960×10^-1
4.467345834×10^-2,4.920797050×10^-1,1.451802850×10^-1,-7.421485782×10^-1
5.462345833×10^-2,3.996349573×10^-1,5.755522288×10^-3,-7.975894213×10^-1
6.457345834×10^-2,3.323195875×10^-1,-1.102792099×10^-1,-8.667317033×10^-1
7.452345833×10^-2,3.256529272×10^-1,-1.251113862×10^-1,-9.219462872×10^-1
8.447345834×10^-2,4.154432714×10^-1,-2.403589711×10^-2,-9.632303715×10^-1
9.442345833×10^-2,6.114274263×10^-1,1.229289547×10^-1,-1.014045119×10^0
1.043734583×10^-1,8.948788643×10^-1,2.944064438×10^-1,-1.087669015×10^0
1.143244583×10^-1,1.222318172×10^0,4.692845941×10^-1,-1.184432030×10^0
1.242744583×10^-1,1.540694833×10^0,5.167458653×10^-1,-1.301243663×10^0
1.342244583×10^-1,1.830195785×10^0,4.872777462×10^-1,-1.423397183×10^0
1.441744583×10^-1,1.998994350×10^0,4.839290977×10^-1,-1.561094403×10^0
1.541244583×10^-1,2.006512165×10^0,4.236883819×10^-1,-1.679304242×10^0
1.640744583×10^-1,1.863172174×10^0,3.701274395×10^-1,-1.739283681×10^0
1.740244583×10^-1,1.626028299×10^0,4.125707448×10^-1,-1.789347649×10^0
1.839744583×10^-1,1.426839352×10^0,4.914506674×10^-1,-1.897167087×10^0
1.939244583×10^-1,1.330120564×10^0,5.293438435×10^-1,-2.044063330×10^0
2.038744583×10^-1,1.338813663×10^0,5.650382042×10^-1,-2.205583334×10^0
2.138244583×10^-1,1.397537827×10^0,6.091174483×10^-1,-2.316279650×10^0
2.237744583×10^-1,1.483920693×10^0,6.524715424×10^-1,-2.387851715×10^0
2.337244583×10^-1,1.626283884×10^0,6.518431902×10^-1,-2.441929102×10^0
2.436744583×10^-1,1.790073395×10^0,8.126677275×10^-1,-2.463719368×10^0
2.536244583×10^-1,2.014472961×10^0,1.058581471×10^0,-2.450649261×10^0
2.635744583×10^-1,2.261056900×10^0,1.299414039×10^0,-2.429205418×10^0
2.735244583×10^-1,2.485138893×10^0,1.489602327×10^0,-2.404013634×10^0
2.834744583×10^-1,2.670924187×10^0,1.591354609×10^0,-2.382741690×10^0
2.934244583×10^-1,2.803802252×10^0,1.556993365×10^0,-2.361241341×10^0
3.033744583×10^-1,2.901666403×10^0,1.341298580×10^0,-2.339744806×10^0
3.133244583×10^-1,2.914067745×10^0,1.109367967×10^0,-2.316254377×10^0
3.232744583×10^-1,2.818852186×10^0,1.037155032×10^0,-2.250125408×10^0
3.332244583×10^-1,2.844634533×10^0,9.109689593×10^-1,-2.148780584×10^0
3.431754583×10^-1,2.932723284×10^0,6.857174635×10^-1,-2.020703793×10^0
3.531254583×10^-1,2.879775524×10^0,5.431891680×10^-1,-1.922768950×10^0
3.630754583×10^-1,2.697379827×10^0,3.910691440×10^-1,-1.753148437×10^0
3.730254583×10^-1,2.592914820×10^0,1.200922206×10^-2,-1.568496227×10^0
3.829754583×10^-1,2.487164736×10^0,-4.117311239×10^-1,-1.388833761×10^0
3.929254583×10^-1,2.333381891×10^0,-7.162742019×10^-1,-1.260960340×10^0
4.028754583×10^-1,2.186919689×10^0,-8.997116685×10^-1,-1.146538734×10^0
4.128254583×10^-1,2.064259052×10^0,-9.987024069×10^-1,-1.057967901×10^0
4.227754583×10^-1,1.949858546×10^0,-1.022385597×10^0,-9.002338648×10^-1
4.327254583×10^-1,1.816340804×10^0,-1.074883699×10^0,-7.964960933×10^-1
4.426754583×10^-1,1.696365356×10^0,-1.169027686×10^0,-6.938182116×10^-1
4.526254583×10^-1,1.525357246×10^0,-1.213559628×10^0,-4.753844142×10^-1
4.625754583×10^-1,1.338442206×10^0,-1.370887399×10^0,-3.007838726×10^-1
4.725254583×10^-1,1.271482825×10^0,-1.714550257×10^0,-2.534571290×10^-1
4.824754583×10^-1,1.220896959×10^0,-1.768400669×10^0,-2.074432969×10^-1
4.924254583×10^-1,1.210912824×10^0,-1.573195577×10^0,-1.490379125×10^-1
5.023754583×10^-1,1.239961267×10^0,-1.436246991×10^0,-7.159505785×10^-2
5.123254583×10^-1,1.241512537×10^0,-1.375109434×10^0,-3.291094676×10^-2
5.222754583×10^-1,1.233812213×10^0,-1.324571490×10^0,1.106560677×10^-1
5.322254583×10^-1,1.229391217×10^0,-1.318576694×10^0,2.660739720×10^-1
5.421754583×10^-1,1.264025092×10^0,-1.226429820×10^0,3.381335139×10^-1
5.521254583×10^-1,1.359542370×10^0,-1.169185996×10^0,3.807555735×10^-1
5.620754583×10^-1,1.446434140×10^0,-1.249275565×10^0,4.329647124×10^-1
5.720264583×10^-1,1.470432639×10^0,-1.340376735×10^0,5.051595569×10^-1
5.819764583×10^-1,1.373187900×10^0,-1.405785561×10^0,6.229229569×10^-1
5.919264583×10^-1,1.240272403×10^0,-1.490700722×10^0,7.404757738×10^-1
6.018764583×10^-1,1.168386459×10^0,-1.568801641×10^0,7.743831277×10^-1
6.118264583×10^-1,1.137187481×10^0,-1.477824092×10^0,7.326734066×10^-1
6.217764583×10^-1,1.115393400×10^0,-1.142884731×10^0,6.763494015×10^-1
6.317264583×10^-1,1.175985575×10^0,-1.653455973×10^0,6.441921592×10^-1
6.416764583×10^-1,1.177736640×10^0,-2.275730610×10^0,6.113628745×10^-1
6.516264583×10^-1,1.064211488×10^0,-2.343393326×10^0,5.398235321×10^-1
6.615764583×10^-1,9.607598782×10^-1,-2.246963978×10^0,4.762194753×10^-1
6.715264583×10^-1,8.419829607×10^-1,-2.290614605×10^0,4.837999046×10^-1
6.814764583×10^-1,7.953177691×10^-1,-2.504091263×10^0,5.032519102×10^-1
6.914264583×10^-1,8.982931376×10^-1,-2.453115225×10^0,4.390321672×10^-1
7.013764583×10^-1,9.943552017×10^-1,-1.957465529×10^0,3.559348881×10^-1
7.113264583×10^-1,1.002939105×10^0,-1.541209698×10^0,4.140093923×10^-1
7.212764583×10^-1,1.012819886×10^0,-1.274516463×10^0,4.677810371×10^-1
7.312264583×10^-1,1.019172311×10^0,-1.125565767×10^0,5.109173656×10^-1
7.411764583×10^-1,1.057745337×10^0,-1.026023388×10^0,5.473377109×10^-1
7.511264583×10^-1,1.145681620×10^0,-8.952211142×10^-1,5.458975434×10^-1
7.610764583×10^-1,1.206945419×10^0,-8.683384061×10^-1,5.131662488×10^-1
7.710264583×10^-1,1.211570859×10^0,-8.684052825×10^-1,4.374668002×10^-1
7.809764583×10^-1,1.125353694×10^0,-7.921336293×10^-1,3.087700605×10^-1
7.909264583×10^-1,9.588800073×10^-1,-6.487630606×10^-1,1.298902482×10^-1
8.008764583×10^-1,7.568203807×10^-1,-4.573243558×10^-1,-5.715712160×10^-2
8.108274583×10^-1,5.565029383×10^-1,-3.121715188×10^-1,-1.966554224×10^-1
8.207774583×10^-1,3.804528415×10^-1,-2.414398193×10^-1,-2.978284061×10^-1
8.307274583×10^-1,2.877984941×10^-1,-2.093512118×10^-1,-3.496936560×10^-1
8.406774583×10^-1,2.985856235×10^-1,-2.570966184×10^-1,-3.331421316×10^-1
8.506274583×10^-1,4.045309722×10^-1,-5.298692584×10^-1,-2.576383054×10^-1
8.605774583×10^-1,5.268001556×10^-1,-8.588559628×10^-1,-1.497099847×10^-1
8.705274583×10^-1,5.752469897×10^-1,-1.041790843×10^0,-4.788468033×10^-2
8.804774583×10^-1,3.212168813×10^-1,-7.859553695×10^-1,1.247639395×10^-2
8.904275833×10^-1,-2.111645937×10^-1,-2.072553337×10^-1,9.616048634×10^-2
9.003775833×10^-1,-3.973331451×10^-1,-3.299165145×10^-2,1.691257805×10^-1
9.103275833×10^-1,-4.402623773×10^-1,3.042833321×10^-2,2.226673514×10^-1
9.202775833×10^-1,-3.856084347×10^-1,1.109117270×10^-1,3.149767816×10^-1
9.302275833×10^-1,-3.375790119×10^-1,2.115493417×10^-1,3.813501298×10^-1
9.401775833×10^-1,-2.044643462×10^-1,4.080442786×10^-1,2.991439402×10^-1
9.501275833×10^-1,-6.918890774×10^-2,5.183868408×10^-1,2.226433717×10^-2
9.600775833×10^-1,3.940494359×10^-2,4.250606000×10^-1,-1.040999964×10^-1
9.700275833×10^-1,1.695727110×10^-1,3.985075951×10^-1,-6.471875310×10^-2
9.799775833×10^-1,2.415731251×10^-1,4.778423607×10^-1,2.694698423×10^-2
9.899275833×10^-1,3.607813418×10^-1,2.786242664×10^-1,1.805853993×10^-1
9.998775833×10^-1,4.329404831×10^-1,1.250869334×10^-1,2.662765980×10^-1
1.009827583×10^0,3.758375049×10^-1,2.002719194×10^-1,2.505217791×10^-1
1.019777583×10^0,3.441096544×10^-1,1.783807278×10^-1,2.203028947×10^-1
1.029727583×10^0,3.984446526×10^-1,-1.567790210×10^-1,1.900109202×10^-1
1.039677583×10^0,6.521341801×10^-1,-7.592169046×10^-1,9.236345440×10^-2
1.049627583×10^0,8.230232596×10^-1,-7.036684752×10^-1,-9.013763070×10^-2
1.059578583×10^0,7.921258211×10^-1,-2.614734173×10^-1,-2.360836565×10^-1
1.069528583×10^0,6.872903109×10^-1,4.966821522×10^-2,-2.951074839×10^-1
1.079478583×10^0,6.016185284×10^-1,1.308088750×10^-1,-2.455335259×10^-1
1.089428583×10^0,5.462534428×10^-1,2.043990344×10^-1,-1.220657676×10^-1
1.099378583×10^0,4.839535654×10^-1,3.553211689×10^-1,1.961227134×10^-2
1.109328583×10^0,3.996959329×10^-1,5.464746356×10^-1,1.668270230×10^-1
1.119278583×10^0,2.730408013×10^-1,7.396118641×10^-1,3.092640638×10^-1
1.129228583×10^0,9.769435227×10^-2,8.640615940×10^-1,3.877211511×10^-1
1.139178583×10^0,-3.407059982×10^-2,9.344846010×10^-1,3.566522002×10^-1
1.149128583×10^0,-4.242546856×10^-2,1.012011886×10^0,3.876247406×10^-1
1.159078583×10^0,6.892277393×10^-3,1.065600872×10^0,3.771800995×10^-1
1.169028583×10^0,-1.218497567×10^-2,9.086523056×10^-1,2.572632134×10^-1
1.178978583×10^0,2.982346155×10^-2,7.656802535×10^-1,1.598796844×10^-1
1.188928583×10^0,2.187038958×10^-1,8.022135496×10^-1,1.032468677×10^-1
1.198878583×10^0,4.577340484×10^-1,8.730078340×10^-1,-2.301785722×10^-2
1.208828583×10^0,6.972336173×10^-1,7.973700762×10^-1,-1.462739520×10^-2
1.218778583×10^0,7.782134414×10^-1,5.228713751×10^-1,3.499944229×10^-3
1.228728583×10^0,8.531293273×10^-1,4.616832435×10^-1,2.064034715×10^-2
1.238678583×10^0,8.839372993×10^-1,5.092664957×10^-1,1.368044131×10^-2
1.248628583×10^0,8.126294017×10^-1,4.686404467×10^-1,9.763270617×10^-3
1.258578583×10^0,6.048626304×10^-1,2.979954481×10^-1,4.651066847×10^-3
1.268528583×10^0,3.693691790×10^-1,2.111662626×10^-1,-6.391038001×10^-2
1.278478583×10^0,1.772487164×10^-1,2.278499007×10^-1,-1.239742488×10^-1
1.288428583×10^0,6.723496318×10^-2,2.564774752×10^-1,-2.199220955×10^-1
1.298378583×10^0,-4.086351488×10^-3,1.029097512×10^-1,-3.279817104×10^-1
1.308328583×10^0,-7.060354203×10^-2,-2.008272409×10^-1,-3.859128058×10^-1
1.318279583×10^0,-2.286318690×10^-2,-3.759132922×10^-1,-4.160203636×10^-1
1.328229583×10^0,1.446070075×10^-1,-3.293392658×10^-1,-4.323440194×10^-1
1.338179583×10^0,5.027081370×10^-1,1.585084200×10^-1,-4.213217199×10^-1
1.348129583×10^0,7.804270983×10^-1,7.260254025×10^-1,-2.688574791×10^-1
1.358079583×10^0,8.149867058×10^-1,9.145271182×10^-1,1.294366419×10^-1
1.368029583×10^0,6.668249965×10^-1,1.039490819×10^0,5.515443087×10^-1
1.377979583×10^0,2.668890655×10^-1,8.766792417×10^-1,7.950683236×10^-1
1.387929583×10^0,-3.879602253×10^-1,3.867449760×10^-1,6.424304247×10^-1
1.397879583×10^0,-1.173989534×10^0,5.300960317×10^-2,5.456740856×10^-1
