"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
4.010958333×10^-3,4.755757004×10^-2,1.671137810×10^-1,2.521008551×10^-1
1.395995833×10^-2,-4.526344687×10^-2,8.721468598×10^-2,9.248641133×10^-2
2.390795833×10^-2,-1.541067809×10^-1,6.244146451×10^-2,-4.993488546×10^-4
3.385595833×10^-2,-2.748633027×10^-1,9.352907538×10^-2,-5.098755658×10^-2
4.380395833×10^-2,-3.584553301×10^-1,1.896543056×10^-1,-1.191766262×10^-1
5.375295833×10^-2,-3.924100995×10^-1,2.978644073×10^-1,-2.697397470×10^-1
6.370095833×10^-2,-3.457810581×10^-1,4.493542314×10^-1,-3.529244959×10^-1
7.364895833×10^-2,-1.945316046×10^-1,6.544575691×10^-1,-3.670261800×10^-1
8.359795833×10^-2,5.954707041×10^-2,9.651163816×10^-1,-3.795173466×10^-1
9.354583333×10^-2,4.416731298×10^-1,1.318168044×10^0,-4.162109196×10^-1
1.034938333×10^-1,9.745888710×10^-1,1.588829041×10^0,-4.936980307×10^-1
1.134418333×10^-1,1.518513203×10^0,1.726668358×10^0,-6.182484627×10^-1
1.233908333×10^-1,1.898339033×10^0,2.057056427×10^0,-7.491038442×10^-1
1.333388333×10^-1,2.143598080×10^0,2.471846819×10^0,-8.457070589×10^-1
1.432868333×10^-1,2.390820980×10^0,2.855755806×10^0,-1.001345277×10^0
1.532348333×10^-1,2.631809235×10^0,3.044673204×10^0,-1.192607880×10^0
1.631838333×10^-1,2.763582706×10^0,3.178574085×10^0,-1.433965325×10^0
1.731318333×10^-1,2.887431622×10^0,3.380441189×10^0,-1.716606855×10^0
1.830798333×10^-1,2.929173708×10^0,3.767863512×10^0,-1.944298387×10^0
1.930278333×10^-1,2.907144547×10^0,3.709712267×10^0,-2.082221508×10^0
2.029768333×10^-1,2.800709248×10^0,3.238753796×10^0,-2.105966091×10^0
2.129248333×10^-1,2.575146914×10^0,2.717003584×10^0,-2.048539877×10^0
2.228728333×10^-1,2.351664782×10^0,2.360274553×10^0,-2.013480425×10^0
2.328208333×10^-1,2.159740448×10^0,2.032614231×10^0,-2.009847164×10^0
2.427698333×10^-1,1.938216686×10^0,1.922149062×10^0,-1.956113219×10^0
2.527178333×10^-1,1.822673559×10^0,1.958676696×10^0,-1.822879314×10^0
2.626658333×10^-1,1.790957093×10^0,1.970055699×10^0,-1.725550175×10^0
2.726138333×10^-1,1.781479120×10^0,1.912819624×10^0,-1.703699231×10^0
2.825628333×10^-1,1.752181411×10^0,1.800169945×10^0,-1.650996566×10^0
2.925108333×10^-1,1.678659201×10^0,1.592274547×10^0,-1.434010983×10^0
3.024588333×10^-1,1.506191254×10^0,1.357822061×10^0,-1.183108449×10^0
3.124078333×10^-1,1.299610853×10^0,1.060154200×10^0,-8.629893661×10^-1
3.223558333×10^-1,1.095858812×10^0,7.799257040×10^-1,-5.819954276×10^-1
3.323038333×10^-1,1.068176746×10^0,4.772717953×10^-1,-4.694776833×10^-1
3.422518333×10^-1,1.193387389×10^0,3.815284669×10^-1,-5.430808663×10^-1
3.522008333×10^-1,1.342990994×10^0,6.362749338×10^-1,-6.034310460×10^-1
3.621488333×10^-1,1.502855897×10^0,9.083973169×10^-1,-5.814051628×10^-1
3.720968333×10^-1,1.579434872×10^0,8.773803115×10^-1,-5.056584477×10^-1
3.820448333×10^-1,1.454234958×10^0,6.388909221×10^-1,-3.881871998×10^-1
3.919938333×10^-1,1.215369105×10^0,3.758454621×10^-1,-2.000266016×10^-1
4.019418333×10^-1,1.175949931×10^0,2.235499173×10^-1,4.173281044×10^-2
4.118898333×10^-1,1.544501066×10^0,3.596326709×10^-1,2.564325929×10^-1
4.218378333×10^-1,1.731515050×10^0,3.574189544×10^-1,4.418586195×10^-1
4.317868333×10^-1,1.868915796×10^0,8.694940060×10^-2,5.003493428×10^-1
4.417348333×10^-1,1.992185473×10^0,-2.015672475×10^-1,4.405234456×10^-1
4.516828333×10^-1,1.938735843×10^0,-4.377757907×10^-1,5.162294507×10^-1
4.616308333×10^-1,1.888465405×10^0,-5.551588535×10^-1,6.845759153×10^-1
4.715798333×10^-1,1.949269056×10^0,-6.046840549×10^-1,7.924637794×10^-1
4.815278333×10^-1,2.014490604×10^0,-7.769808173×10^-1,8.200207353×10^-1
4.914758333×10^-1,2.032560110×10^0,-9.706341624×10^-1,7.422308922×10^-1
5.014238333×10^-1,1.912876010×10^0,-9.810354114×10^-1,7.127400637×10^-1
5.113728333×10^-1,1.727933407×10^0,-1.103488088×10^0,7.297345400×10^-1
5.213208333×10^-1,1.626708508×10^0,-1.559898019×10^0,7.439752221×10^-1
5.312688333×10^-1,1.680198789×10^0,-2.232823133×10^0,4.264396429×10^-1
5.412178333×10^-1,1.758364439×10^0,-3.124837160×10^0,4.590654969×10^-1
5.511658333×10^-1,1.985081792×10^0,-2.884458065×10^0,6.063607335×10^-2
5.611138333×10^-1,2.212599277×10^0,-2.523689985×10^0,-4.450018704×10^-2
5.710618333×10^-1,2.213390827×10^0,-2.451395750×10^0,4.020019174×10^-1
5.810108333×10^-1,2.193297863×10^0,-2.243192196×10^0,8.180907965×10^-1
5.909588333×10^-1,2.111459255×10^0,-1.846336007×10^0,1.237151265×10^0
6.009068333×10^-1,2.032004118×10^0,-1.314301372×10^0,1.720214009×10^0
6.108548333×10^-1,1.966309667×10^0,-8.574181795×10^-1,2.141742945×10^0
6.208038333×10^-1,1.915237188×10^0,-5.879397988×10^-1,2.387719631×10^0
6.307518333×10^-1,1.865805268×10^0,-5.122951269×10^-1,2.395497561×10^0
6.406998333×10^-1,1.852302432×10^0,-6.221315861×10^-1,2.155248404×10^0
6.506478333×10^-1,1.869977355×10^0,-9.571835995×10^-1,1.767125010×10^0
6.605968333×10^-1,1.816985488×10^0,-1.539261103×10^0,1.367959738×10^0
6.705448333×10^-1,1.700020790×10^0,-2.145372391×10^0,1.036887288×10^0
6.804928333×10^-1,1.512870669×10^0,-2.540760756×10^0,8.029937744×10^-1
6.904408333×10^-1,1.214097023×10^0,-2.584366083×10^0,6.421066523×10^-1
7.003898333×10^-1,8.645121455×10^-1,-2.284238815×10^0,5.254820585×10^-1
7.103378333×10^-1,5.795552135×10^-1,-1.924925804×10^0,4.615337253×10^-1
7.202858333×10^-1,3.513966203×10^-1,-1.705766559×10^0,4.763770103×10^-1
7.302348333×10^-1,1.177686825×10^-1,-1.582293034×10^0,4.983100295×10^-1
7.401828333×10^-1,-1.477574408×10^-1,-1.390063643×10^0,4.575082064×10^-1
7.501308333×10^-1,-3.948386014×10^-1,-1.038419366×10^0,4.012454748×10^-1
7.600788333×10^-1,-5.521947145×10^-1,-5.874660611×10^-1,3.357580602×10^-1
7.700278333×10^-1,-6.176936030×10^-1,-2.555373907×10^-1,1.711307466×10^-1
7.799758333×10^-1,-7.128020525×10^-1,-2.098543346×10^-1,-9.223851562×10^-2
7.899238333×10^-1,-9.577167630×10^-1,-4.228446186×10^-1,-4.661095738×10^-1
7.998718333×10^-1,-1.370244026×10^0,-6.562024951×10^-1,-8.778758049×10^-1
8.098208333×10^-1,-1.834255338×10^0,-6.025770903×10^-1,-1.285819054×10^0
