"event","experiment time","system time","system time text"
"START",0.000000000000000×10^0,1.758475030148188×10^9,"2025-09-21 19:17:10.148 UTC+02:00"
"PAUSE",2.576761837500089×10^1,1.758475055915699×10^9,"2025-09-21 19:17:35.916 UTC+02:00"
