"event","experiment time","system time","system time text"
"START",0.000000000000000×10^0,1.758529080422436×10^9,"2025-09-22 10:18:00.422 UTC+02:00"
"PAUSE",2.648425074999977×10^1,1.758529106906545×10^9,"2025-09-22 10:18:26.907 UTC+02:00"
