"event","experiment time","system time","system time text"
"START",0.000000000000000×10^0,1.757277714452707×10^9,"2025-09-07 22:41:54.453 UTC+02:00"
"PAUSE",1.760830616665771×10^1,1.757277732061011×10^9,"2025-09-07 22:42:12.061 UTC+02:00"
