"event","experiment time","system time","system time text"
"START",0.000000000000000×10^0,1.758405730104164×10^9,"2025-09-21 00:02:10.104 UTC+02:00"
"PAUSE",2.584632866666652×10^1,1.758405755950375×10^9,"2025-09-21 00:02:35.950 UTC+02:00"
