"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
7.335170833×10^-1,-1.182690582×10^0,4.468507690×10^0,9.381441193×10^0
7.434670833×10^-1,-1.138981476×10^0,4.396956482×10^0,9.260792084×10^0
7.534170833×10^-1,-1.124162292×10^0,4.337530060×10^0,9.157656555×10^0
7.633670833×10^-1,-1.103505249×10^0,4.332141266×10^0,9.065747681×10^0
7.733170833×10^-1,-1.104253693×10^0,4.392765198×10^0,9.047934723×10^0
7.832670833×10^-1,-1.063089294×10^0,4.470453644×10^0,9.149423676×10^0
7.932160833×10^-1,-1.135838013×10^0,4.457281036×10^0,9.271120605×10^0
8.031660833×10^-1,-1.039139099×10^0,4.377197571×10^0,9.579928436×10^0
8.131160833×10^-1,-8.710386658×10^-1,4.468208313×10^0,9.571994934×10^0
8.230660833×10^-1,-9.587562561×10^-1,4.577331390×10^0,9.809550934×10^0
8.330160833×10^-1,-9.544152832×10^-1,4.530478821×10^0,1.041309586×10^1
8.429660833×10^-1,-6.753955078×10^-1,4.744833069×10^0,9.631571045×10^0
8.529160833×10^-1,-6.828799438×10^-1,4.705914001×10^0,9.533674622×10^0
8.628660833×10^-1,-5.966592407×10^-1,4.694687347×10^0,9.510173492×10^0
8.728160833×10^-1,-2.862048340×10^-1,4.819228363×10^0,9.291927338×10^0
8.827660833×10^-1,-2.841091919×10^-1,4.824168091×10^0,8.996292114×10^0
8.927150833×10^-1,-3.760180664×10^-1,4.797673187×10^0,8.849297791×10^0
9.026650833×10^-1,-4.144880676×10^-1,4.782255249×10^0,8.781638489×10^0
9.126150833×10^-1,-4.318519592×10^-1,4.750371552×10^0,8.647367706×10^0
9.225650833×10^-1,-4.278103638×10^-1,4.672234039×10^0,8.644822998×10^0
9.325150833×10^-1,-3.474275208×10^-1,4.643044739×10^0,8.785680084×10^0
9.424650833×10^-1,-1.296304321×10^-1,4.725523224×10^0,9.151519318×10^0
9.524150833×10^-1,4.625381470×10^-2,4.716990967×10^0,9.682315521×10^0
9.623650833×10^-1,-3.124003601×10^-1,4.924160156×10^0,9.932595062×10^0
9.723150833×10^-1,-4.610412598×10^-1,5.817951508×10^0,9.211394806×10^0
9.822650833×10^-1,-6.089337158×10^-1,6.183940430×10^0,8.973988495×10^0
9.922140833×10^-1,-5.851332092×10^-1,6.255491638×10^0,8.776848450×10^0
1.002164083×10^0,-1.221759338×10^0,6.244564362×10^0,8.612939301×10^0
1.012114083×10^0,-1.259181519×10^0,6.668632507×10^0,8.448880463×10^0
1.022064083×10^0,-1.629960480×10^0,7.212601318×10^0,7.569758606×10^0
1.032014083×10^0,-1.378184052×10^0,6.783892822×10^0,7.995024261×10^0
1.041964083×10^0,-1.824106750×10^0,6.578819275×10^0,7.835156708×10^0
1.051914083×10^0,-1.643133087×10^0,6.895261230×10^0,7.584577789×10^0
1.061864083×10^0,-1.538350983×10^0,6.937174072×10^0,7.302414551×10^0
1.071814083×10^0,-1.076710968×10^0,6.750212860×10^0,7.151678009×10^0
1.081763083×10^0,-5.930667114×10^-1,6.864575043×10^0,7.187303925×10^0
1.091713083×10^0,-1.319356384×10^0,6.943011932×10^0,7.576344910×10^0
1.101663083×10^0,-9.818083191×10^-1,7.034322052×10^0,7.457941132×10^0
1.111613083×10^0,-1.325643311×10^0,7.013964386×10^0,6.768774261×10^0
1.121563083×10^0,-1.676363983×10^0,6.446045380×10^0,6.248905334×10^0
1.131513083×10^0,-7.348219299×10^-1,6.386918335×10^0,5.692811737×10^0
1.141463083×10^0,-6.271957397×10^-2,6.708150330×10^0,5.464386749×10^0
1.151413083×10^0,-1.224154358×10^0,6.172115021×10^0,6.153254242×10^0
1.161363083×10^0,-3.918850708×10^-1,6.100264435×10^0,6.925049286×10^0
1.171313083×10^0,1.242416382×10^-2,6.563101959×10^0,6.115083618×10^0
1.181262083×10^0,-3.671864319×10^-1,6.014193420×10^0,5.815855865×10^0
1.191212083×10^0,-4.670288086×10^-2,6.442452850×10^0,5.145400085×10^0
1.201162083×10^0,-9.484277344×10^-1,5.946833496×10^0,6.322701874×10^0
1.211112083×10^0,-5.492079163×10^-1,6.625372467×10^0,7.231462097×10^0
1.221062083×10^0,-3.344046021×10^-1,7.022646332×10^0,6.513405304×10^0
1.231012083×10^0,-8.674461365×10^-1,6.276448059×10^0,5.776936798×10^0
1.240962083×10^0,-6.336323547×10^-1,6.527476044×10^0,4.968617706×10^0
1.250912083×10^0,-3.499722290×10^-1,6.742728424×10^0,4.100872192×10^0
1.260862083×10^0,-2.567161560×10^-1,6.799161072×10^0,4.016447754×10^0
1.270812083×10^0,1.384620667×10^-1,7.191644897×10^0,4.380191345×10^0
1.280761083×10^0,-1.257385254×10^-2,7.329657898×10^0,4.381089478×10^0
1.290711083×10^0,-9.481283569×10^-1,7.614216156×10^0,5.322332153×10^0
1.300661083×10^0,-8.232879639×10^-1,8.205037537×10^0,4.820575562×10^0
1.310611083×10^0,-1.777104492×10^0,7.660020905×10^0,3.802841949×10^0
1.320561083×10^0,-1.916614380×10^0,7.869435425×10^0,3.022215271×10^0
1.330511083×10^0,-1.808838501×10^0,8.218210144×10^0,2.657723236×10^0
1.340461083×10^0,-1.812431030×10^0,8.179590454×10^0,2.724185028×10^0
1.350411083×10^0,-1.662742310×10^0,8.008645935×10^0,3.124003601×10^0
1.360361083×10^0,-1.870210876×10^0,8.221652985×10^0,3.266956329×10^0
1.370310083×10^0,-1.982327728×10^0,8.372389526×10^0,3.555556183×10^0
1.380260083×10^0,-2.064357147×10^0,8.489296417×10^0,3.807482300×10^0
1.390210083×10^0,-1.994452515×10^0,8.807384949×10^0,3.898942108×10^0
1.400160083×10^0,-1.864822083×10^0,9.192084961×10^0,4.180506592×10^0
1.410110083×10^0,-1.704954529×10^0,9.459578705×10^0,3.754642181×10^0
1.420060083×10^0,-1.717827759×10^0,9.436826019×10^0,3.105292511×10^0
1.430010083×10^0,-1.098715210×10^0,9.060209198×10^0,2.682870941×10^0
1.439960083×10^0,-9.282197571×10^-1,8.924890594×10^0,2.356399841×10^0
1.449910083×10^0,-1.024020538×10^0,9.172475739×10^0,2.290237427×10^0
1.459860083×10^0,-1.096170502×10^0,9.207203522×10^0,2.153871002×10^0
1.469809083×10^0,-1.220711517×10^0,9.162895660×10^0,2.299368439×10^0
1.479759083×10^0,-1.468895416×10^0,8.929980011×10^0,2.277214508×10^0
1.489709083×10^0,-1.297352142×10^0,8.785829773×10^0,2.016157379×10^0
1.499659083×10^0,-1.153950348×10^0,9.012458496×10^0,2.219584351×10^0
1.509609083×10^0,-1.501078491×10^0,8.327482910×10^0,1.071920929×10^0
1.519559083×10^0,-3.260819092×10^0,7.549700317×10^0,1.246158600×10^0
1.529509083×10^0,-1.651515656×10^0,9.038354645×10^0,3.361559601×10^0
1.539459083×10^0,-3.646417236×10^-1,1.037761963×10^1,3.591631165×10^0
1.549409083×10^0,-5.948629761×10^-1,9.326206055×10^0,3.088976440×10^0
1.559359083×10^0,7.484436035×10^-4,9.776320038×10^0,3.194357300×10^0
1.569308083×10^0,3.728746033×10^-1,1.031849258×10^1,2.471660156×10^0
1.579258083×10^0,-3.667373657×10^-1,8.987460480×10^0,9.780661011×10^-1
1.589208083×10^0,-6.400689697×10^-1,8.613837433×10^0,3.243754578×10^-1
1.599158083×10^0,-3.508703613×10^-1,1.047072601×10^1,-6.824308777×10^-1
1.609108083×10^0,-1.206341400×10^0,1.007494904×10^1,-1.275796967×10^0
1.619058083×10^0,-9.027726746×10^-1,9.019044800×10^0,-1.027463379×10^0
1.629008083×10^0,-9.744735718×10^-2,8.558901672×10^0,7.652087402×10^-1
1.638958083×10^0,-2.285746765×10^-1,8.886121216×10^0,1.290765839×10^0
1.648908083×10^0,-5.005740509×10^0,2.060330521×10^1,3.587439880×10^0
1.658857083×10^0,-3.400927734×10^-1,8.769962769×10^0,2.476450195×10^0
1.668807083×10^0,5.587879944×10^-1,1.082803299×10^1,7.481442261×10^-1
1.678757083×10^0,6.685098267×10^-1,1.067340454×10^1,9.662406921×10^-1
1.688707083×10^0,-5.912704468×10^-2,1.014575180×10^1,7.277865601×10^-1
1.698657083×10^0,-4.182302856×10^-1,9.778715057×10^0,4.369413757×10^-1
1.708607083×10^0,-8.620573425×10^-1,9.637558594×10^0,7.042854309×10^-1
1.718557083×10^0,-1.489851837×10^0,9.398655396×10^0,8.048762512×10^-1
1.728507083×10^0,-1.668879547×10^0,9.179211731×10^0,6.966513062×10^-1
