"event","experiment time","system time","system time text"
"START",0.000000000000000×10^0,1.758367146362131×10^9,"2025-09-20 13:19:06.362 UTC+02:00"
"PAUSE",2.939344404167059×10^1,1.758367175755479×10^9,"2025-09-20 13:19:35.755 UTC+02:00"
