"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.033875000×10^-3,-5.613327026×10^-2,5.664071503×10^0,5.838758240×10^0
1.098387499×10^-2,-2.621049500×10^-1,5.846841431×10^0,6.244264984×10^0
2.093387500×10^-2,-1.333726501×10^-1,6.129902802×10^0,6.254294128×10^0
3.088387501×10^-2,-4.415817261×10^-2,6.279441833×10^0,6.341562653×10^0
4.083387500×10^-2,-2.501298523×10^-1,6.434369659×10^0,6.350543976×10^0
5.078387501×10^-2,-8.981323242×10^-2,6.870113525×10^0,6.300248566×10^0
6.073387500×10^-2,-2.213896179×10^-1,7.090754700×10^0,6.418652344×10^0
7.068387500×10^-2,-3.891906738×10^-1,7.347171478×10^0,6.266867981×10^0
8.063387500×10^-2,-4.876858521×10^-1,7.620353394×10^0,6.168522491×10^0
9.058487500×10^-2,-6.051914978×10^-1,7.749235382×10^0,6.243366852×10^0
1.005348750×10^-1,-7.345225525×10^-1,7.809559937×10^0,6.316714325×10^0
1.104848750×10^-1,-7.688012695×10^-1,7.861352234×10^0,6.289620667×10^0
1.204348750×10^-1,-7.188052368×10^-1,7.881410522×10^0,6.323600006×10^0
1.303848750×10^-1,-8.059240723×10^-1,7.761060791×10^0,6.657106476×10^0
1.403348750×10^-1,-7.238946533×10^-1,7.702682190×10^0,6.991511078×10^0
1.502848750×10^-1,-4.577481079×10^-1,7.774682465×10^0,7.176376648×10^0
1.602348750×10^-1,-3.897894287×10^-1,7.796387329×10^0,7.604037323×10^0
1.701848750×10^-1,-8.845106506×10^-1,7.839347992×10^0,8.187673645×10^0
1.801348750×10^-1,-6.352789307×10^-1,7.988138580×10^0,8.519982605×10^0
1.900848750×10^-1,-1.153351593×10^0,7.574398956×10^0,8.013136597×10^0
2.000348750×10^-1,-2.177072754×10^0,7.723339233×10^0,7.952213287×10^0
2.099848750×10^-1,-2.108365631×10^0,7.776179352×10^0,8.427474976×10^0
2.199348750×10^-1,-2.368674316×10^0,7.378157043×10^0,8.673563232×10^0
2.298848750×10^-1,-2.688409424×10^0,7.039561157×10^0,8.269253998×10^0
2.398358750×10^-1,-3.058589630×10^0,6.527775421×10^0,7.911198578×10^0
2.497858750×10^-1,-3.589685211×10^0,6.169570312×10^0,7.557933197×10^0
2.597358750×10^-1,-4.634213104×10^0,5.944737854×10^0,7.286397858×10^0
2.696858750×10^-1,-5.814059601×10^0,6.163283386×10^0,7.030579834×10^0
2.796358750×10^-1,-6.334078217×10^0,6.465953979×10^0,5.819149017×10^0
2.895858750×10^-1,-6.729555817×10^0,6.496191101×10^0,4.249962158×10^0
2.995358750×10^-1,-6.790628815×10^0,6.825206909×10^0,3.396886139×10^0
3.094858750×10^-1,-6.327791290×10^0,7.091054077×10^0,3.187621307×10^0
3.194358750×10^-1,-5.701493683×10^0,6.760541382×10^0,2.823428650×10^0
3.293858750×10^-1,-5.466332703×10^0,6.174360352×10^0,2.013912048×10^0
3.393358750×10^-1,-5.232518921×10^0,5.793103180×10^0,1.428030396×10^0
3.492858750×10^-1,-4.857548676×10^0,5.450465698×10^0,1.062640228×10^0
3.592358750×10^-1,-5.053940277×10^0,5.297932892×10^0,9.071136475×10^-1
3.691858750×10^-1,-5.928272095×10^0,5.502407684×10^0,1.241368561×10^0
3.791358750×10^-1,-6.961872711×10^0,5.518274689×10^0,1.744921417×10^0
3.890858750×10^-1,-7.864495697×10^0,5.575755157×10^0,2.466570740×10^0
3.990368750×10^-1,-8.181087341×10^0,5.971083069×10^0,3.284320221×10^0
4.089868750×10^-1,-7.618108063×10^0,6.167624359×10^0,3.216062164×10^0
4.189368750×10^-1,-6.947203217×10^0,5.920937347×10^0,2.695444794×10^0
4.288868750×10^-1,-6.704707489×10^0,5.717360687×10^0,2.321821747×10^0
4.388368750×10^-1,-6.449937286×10^0,5.977968750×10^0,2.011217651×10^0
4.487868750×10^-1,-6.073021088×10^0,6.217021637×10^0,1.630559235×10^0
4.587359583×10^-1,-6.033503265×10^0,6.170019379×10^0,8.605604553×10^-1
4.686859583×10^-1,-6.116879883×10^0,6.167624359×10^0,3.200344849×10^-1
4.786359583×10^-1,-5.897735596×10^0,6.195466461×10^0,1.905537415×10^-1
4.885859583×10^-1,-5.898933105×10^0,5.967041473×10^0,2.900967407×10^-1
4.985359583×10^-1,-6.230194244×10^0,5.763315125×10^0,9.767189026×10^-1
5.084859583×10^-1,-6.706803131×10^0,5.481301575×10^0,1.754202118×10^0
5.184359583×10^-1,-6.659651184×10^0,5.381309509×10^0,1.616189117×10^0
5.283859583×10^-1,-6.785240021×10^0,4.991370392×10^0,6.274951172×10^-1
5.383359583×10^-1,-8.010142822×10^0,5.230273590×10^0,-5.363346863×10^-1
5.482859583×10^-1,-9.221423950×10^0,5.971382446×10^0,-2.096240845×10^0
5.582369583×10^-1,-9.974358215×10^0,6.763535156×10^0,-3.090922394×10^0
5.681869583×10^-1,-9.602381744×10^0,7.616012421×10^0,-2.577041016×10^0
5.781369583×10^-1,-8.772956543×10^0,7.877518616×10^0,-1.453627167×10^0
5.880869583×10^-1,-8.232131195×10^0,7.340734863×10^0,1.721420288×10^-1
5.980369583×10^-1,-7.619904327×10^0,7.120991821×10^0,1.914369049×10^0
6.079869583×10^-1,-8.056995392×10^0,6.897805939×10^0,3.010539551×10^0
6.179369583×10^-1,-8.706794128×10^0,6.857389984×10^0,3.552861786×10^0
6.278869583×10^-1,-8.586893463×10^0,7.281458130×10^0,3.307372284×10^0
6.378369583×10^-1,-9.091793518×10^0,7.453450470×10^0,1.641486511×10^0
6.477869583×10^-1,-8.767268372×10^0,8.128247223×10^0,5.498066711×10^-1
6.577369583×10^-1,-8.447832642×10^0,8.175249481×10^0,3.088078308×10^0
6.676869583×10^-1,-7.513924713×10^0,8.294102325×10^0,2.538421326×10^0
6.776369583×10^-1,-7.649692383×10^0,8.572223969×10^0,4.108955383×10^-1
6.875869583×10^-1,-8.022117920×10^0,8.704848175×10^0,1.405427399×10^0
6.975369583×10^-1,-7.287295990×10^0,8.580157471×10^0,1.616488495×10^0
7.074879583×10^-1,-7.023095398×10^0,8.665929108×10^0,1.263073425×10^0
7.174379583×10^-1,-7.226372681×10^0,8.871152344×10^0,8.318202209×10^-1
7.273879583×10^-1,-7.261250153×10^0,9.262887726×10^0,9.457333374×10^-1
7.373379583×10^-1,-7.056326294×10^0,9.225914612×10^0,1.057850189×10^0
7.472879583×10^-1,-7.251819763×10^0,8.952133942×10^0,1.090931396×10^0
7.572379583×10^-1,-7.683971100×10^0,8.743617554×10^0,1.312770081×10^0
7.671879583×10^-1,-7.410040741×10^0,8.559051361×10^0,1.458866272×10^0
7.771379583×10^-1,-7.029981079×10^0,8.425079956×10^0,1.887724457×10^0
7.870879583×10^-1,-6.821614380×10^0,8.277037811×10^0,2.303859100×10^0
7.970379583×10^-1,-6.389912109×10^0,8.118966522×10^0,2.624791718×10^0
8.069879583×10^-1,-6.251599731×10^0,8.053851929×10^0,2.357896729×10^0
8.169379583×10^-1,-6.264173584×10^0,8.081843719×10^0,1.825304260×10^0
8.268879583×10^-1,-6.129004669×10^0,8.067922668×10^0,1.603166199×10^0
8.368379583×10^-1,-5.863307190×10^0,8.152945862×10^0,1.415606232×10^0
8.467879583×10^-1,-5.778134308×10^0,8.172704773×10^0,1.461560669×10^0
8.567389583×10^-1,-5.705385590×10^0,8.014483795×10^0,1.907034302×10^0
8.666889583×10^-1,-5.746699677×10^0,7.886649628×10^0,2.078427887×10^0
8.766389583×10^-1,-5.795198822×10^0,8.044421539×10^0,1.789828033×10^0
8.865889583×10^-1,-6.315367126×10^0,7.968828735×10^0,8.138575745×10^-1
8.965389583×10^-1,-6.533164215×10^0,8.214767303×10^0,4.790039063×10^-2
9.064889583×10^-1,-6.991810455×10^0,8.286617889×10^0,1.610201569×10^0
9.164389583×10^-1,-6.997798004×10^0,7.675139465×10^0,2.259551239×10^0
9.263889583×10^-1,-6.580316162×10^0,7.479496307×10^0,2.460882568×10^0
9.363389583×10^-1,-6.507118378×10^0,8.211474152×10^0,1.598974915×10^0
9.462889583×10^-1,-6.762038269×10^0,8.349786530×10^0,-1.559756470×10^0
9.562389583×10^-1,-7.565417633×10^0,9.167236633×10^0,-4.750371552×10^0
