"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
8.496875002×10^-3,3.351145983×10^-1,-3.881489486×10^-2,-4.224819839×10^-1
1.844687499×10^-2,3.819713295×10^-1,-5.899899080×10^-2,-4.920749366×10^-1
2.839687500×10^-2,4.277082682×10^-1,-9.906659275×10^-2,-5.621415973×10^-1
3.834687499×10^-2,4.620763659×10^-1,-1.239383891×10^-1,-6.528835297×10^-1
4.829687500×10^-2,5.241163373×10^-1,-1.626786739×10^-1,-7.808746099×10^-1
5.824687499×10^-2,6.271526814×10^-1,-2.294406593×10^-1,-9.244309664×10^-1
6.819687500×10^-2,7.512640357×10^-1,-3.231880963×10^-1,-1.072129011×10^0
7.814687499×10^-2,8.802638650×10^-1,-3.908126950×10^-1,-1.214013457×10^0
8.809687500×10^-2,1.004966974×10^0,-3.829558194×10^-1,-1.330141664×10^0
9.804787500×10^-2,1.109829664×10^0,-2.947247624×10^-1,-1.434107423×10^0
1.079978750×10^-1,1.165894032×10^0,-1.260038614×10^-1,-1.517884970×10^0
1.179478750×10^-1,1.181485534×10^0,1.271354556×10^-1,-1.591030478×10^0
1.278978750×10^-1,1.195590734×10^0,4.099053144×10^-1,-1.689258456×10^0
1.378478750×10^-1,1.214362264×10^0,6.149743199×10^-1,-1.828589201×10^0
1.477978750×10^-1,1.261435628×10^0,7.514932156×10^-1,-1.986003399×10^0
1.577478750×10^-1,1.368166089×10^0,9.064324498×10^-1,-2.153189659×10^0
1.676978750×10^-1,1.516267776×10^0,1.212154508×10^0,-2.266349316×10^0
1.776478750×10^-1,1.692727208×10^0,1.565566659×10^0,-2.371294022×10^0
1.875978750×10^-1,1.846018076×10^0,1.852856636×10^0,-2.376656294×10^0
1.975478750×10^-1,1.932868600×10^0,2.265114784×10^0,-2.305251360×10^0
2.074978750×10^-1,2.053220034×10^0,2.571889162×10^0,-2.254464149×10^0
2.174478750×10^-1,2.170392513×10^0,2.723572493×10^0,-2.302640676×10^0
2.273978750×10^-1,2.225344181×10^0,2.788229227×10^0,-2.417854071×10^0
2.373478750×10^-1,2.290041685×10^0,2.734596252×10^0,-2.509828806×10^0
2.472988750×10^-1,2.399293661×10^0,2.632386684×10^0,-2.544189215×10^0
2.572488750×10^-1,2.562986135×10^0,2.330844879×10^0,-2.490369797×10^0
2.671988750×10^-1,2.673267126×10^0,2.061699629×10^0,-2.405159473×10^0
2.771488750×10^-1,2.650566101×10^0,1.898432374×10^0,-2.237453222×10^0
2.870988750×10^-1,2.522130728×10^0,1.752054930×10^0,-1.951627731×10^0
2.970488750×10^-1,2.441206932×10^0,1.574521184×10^0,-1.639546037×10^0
3.069988750×10^-1,2.400271654×10^0,1.405277252×10^0,-1.375277400×10^0
3.169488750×10^-1,2.318294048×10^0,1.300145030×10^0,-1.162054300×10^0
3.268988750×10^-1,2.146787643×10^0,1.247473359×10^0,-9.659691453×10^-1
3.368488750×10^-1,1.934086561×10^0,1.064688563×10^0,-8.205206394×10^-1
3.467988750×10^-1,1.661572576×10^0,8.284808993×10^-1,-7.692676783×10^-1
3.567488750×10^-1,1.393391371×10^0,5.234727859×10^-1,-7.305221558×10^-1
3.666988750×10^-1,1.151901960×10^0,2.380516976×10^-1,-6.321219206×10^-1
3.766488750×10^-1,9.540833831×10^-1,4.747615755×10^-2,-4.747197628×10^-1
3.865988750×10^-1,8.909124732×10^-1,-1.369778961×10^-1,-2.601878941×10^-1
3.965498750×10^-1,8.904967904×10^-1,-2.998347282×10^-1,-9.233047068×10^-2
4.064998750×10^-1,8.640824556×10^-1,-4.092838764×10^-1,-2.626957744×10^-2
